threads,batchsize,time[ms]
16,1,217
16,16,1072
16,32,1691
16,64,3463
16,128,6380
16,256,12305
16,512,22156
16,1024,48028
16,2048,102852
1,1,100
1,16,861
1,32,1737
1,64,3104
1,128,5496
1,256,10471
1,512,19653
1,1024,38985
1,2048,78866
2,1,101
2,16,780
2,32,1442
2,64,2472
2,128,4823
2,256,8228
2,512,16876
2,1024,30731
2,2048,60116
4,1,124
4,16,929
4,32,1520
4,64,3309
4,128,5494
4,256,10124
4,512,18508
4,1024,40707
4,2048,77868
8,1,126
8,16,991
8,32,1813
8,64,3095
8,128,5868
8,256,10705
8,512,23118
8,1024,45247
8,2048,90674
