threads,batchsize,time[ms]
16,1,111
16,16,574
16,32,1083
16,64,1738
16,128,3224
16,256,6048
16,512,12221
16,1024,23298
16,2048,46805
1,1,82
1,16,613
1,32,1111
1,64,2279
1,128,4177
1,256,8217
1,512,16581
1,1024,32514
1,2048,76954
2,1,128
2,16,434
2,32,830
2,64,1487
2,128,2943
2,256,5421
2,512,10810
2,1024,21411
2,2048,42849
4,1,104
4,16,440
4,32,836
4,64,1573
4,128,2957
4,256,5640
4,512,10577
4,1024,20964
4,2048,42787
8,1,111
8,16,507
8,32,885
8,64,1622
8,128,3103
8,256,5722
8,512,11080
8,1024,21768
8,2048,44738
