threads,batchsize,time[ms]
16,1,29
16,16,45
16,32,73
16,64,117
16,128,240
16,256,278
16,512,333
16,1024,427
16,2048,724
16,4096,1366
16,8192,2097
16,16384,3505
1,1,31
1,16,51
1,32,64
1,64,123
1,128,164
1,256,169
1,512,225
1,1024,345
1,2048,681
1,4096,1007
1,8192,1981
1,16384,3477
2,1,29
2,16,42
2,32,73
2,64,96
2,128,159
2,256,155
2,512,214
2,1024,390
2,2048,662
2,4096,1185
2,8192,1915
2,16384,3446
4,1,29
4,16,41
4,32,62
4,64,108
4,128,185
4,256,188
4,512,231
4,1024,450
4,2048,697
4,4096,1097
4,8192,1963
4,16384,3514
8,1,29
8,16,44
8,32,68
8,64,125
8,128,194
8,256,188
8,512,259
8,1024,426
8,2048,635
8,4096,1150
8,8192,1978
8,16384,3326
