threads,batchsize,time[ms]
16,1,23
16,16,62
16,32,81
16,64,78
16,128,132
16,256,189
16,512,213
16,1024,379
16,2048,591
16,4096,881
16,8192,1651
16,16384,3591
1,1,23
1,16,33
1,32,108
1,64,61
1,128,155
1,256,141
1,512,205
1,1024,288
1,2048,566
1,4096,876
1,8192,1790
1,16384,3493
2,1,23
2,16,32
2,32,52
2,64,120
2,128,150
2,256,170
2,512,164
2,1024,250
2,2048,630
2,4096,849
2,8192,1583
2,16384,3304
4,1,23
4,16,43
4,32,83
4,64,112
4,128,146
4,256,167
4,512,202
4,1024,435
4,2048,536
4,4096,846
4,8192,1720
4,16384,3120
8,1,23
8,16,40
8,32,110
8,64,112
8,128,201
8,256,172
8,512,203
8,1024,305
8,2048,631
8,4096,901
8,8192,1766
8,16384,3360
