threads,batchsize,time[ms]
16,1,403578
16,16,519148
16,32,635381
16,64,831472
16,128,1275464
16,256,412465
16,512,708199
16,750,994803
1,1,402532
1,16,510888
1,32,610246
1,64,827022
1,128,1252303
1,256,397936
1,512,697179
1,750,994698
2,1,400169
2,16,509029
2,32,619228
2,64,823577
2,128,1231814
2,256,390138
2,512,694490
2,750,987947
4,1,398441
4,16,509501
4,32,622449
4,64,820688
4,128,1250439
4,256,397779
4,512,699740
4,750,991261
8,1,399988
8,16,516765
8,32,624415
8,64,824844
8,128,1259588
8,256,406163
8,512,706282
8,750,986420
