threads,batchsize,time[ms]
16,1,183829
16,16,258991
16,32,332665
16,64,503722
16,128,827605
16,256,309366
16,512,604856
16,750,866123
1,1,184079
1,16,300297
1,32,340684
1,64,506208
1,128,790406
1,256,295942
1,512,592408
1,750,865821
2,1,184881
2,16,290223
2,32,345824
2,64,475108
2,128,797399
2,256,300724
2,512,601888
2,750,859690
4,1,200792
4,16,290388
4,32,344959
4,64,506595
4,128,804248
4,256,298531
4,512,573067
4,750,846029
8,1,175649
8,16,279139
8,32,348651
8,64,499299
8,128,776730
8,256,301098
8,512,600890
8,750,844241
