threads,batchsize,time[ms]
16,1,72378
16,16,88485
16,32,96480
16,64,110301
16,128,142167
16,256,37069
16,512,47539
16,1024,69583
16,2048,112839
16,4096,212612
1,1,75432
1,16,81115
1,32,97563
1,64,107402
1,128,135218
1,256,32269
1,512,44424
1,1024,65193
1,2048,115435
1,4096,213230
2,1,78999
2,16,81463
2,32,90524
2,64,109521
2,128,137628
2,256,33236
2,512,46687
2,1024,65177
2,2048,111868
2,4096,215665
4,1,73791
4,16,83256
4,32,92577
4,64,105233
4,128,137197
4,256,34785
4,512,46805
4,1024,66684
4,2048,112688
4,4096,210498
8,1,74144
8,16,83024
8,32,90402
8,64,111925
8,128,137993
8,256,36471
8,512,46567
8,1024,67026
8,2048,113898
8,4096,214827
