threads,batchsize,time[ms]
16,1,55735
16,16,61991
16,32,68651
16,64,81219
16,128,109821
16,256,22288
16,512,34168
16,1024,61911
16,2048,110165
16,4096,242718
1,1,53835
1,16,60607
1,32,68261
1,64,82349
1,128,110764
1,256,19954
1,512,31223
1,1024,60446
1,2048,118282
1,4096,230283
2,1,54226
2,16,63758
2,32,67081
2,64,81912
2,128,108975
2,256,21573
2,512,35140
2,1024,65457
2,2048,112062
2,4096,233978
4,1,56346
4,16,65632
4,32,67567
4,64,78551
4,128,111955
4,256,20601
4,512,32147
4,1024,64400
4,2048,113647
4,4096,212685
8,1,56291
8,16,59011
8,32,68523
8,64,82086
8,128,108341
8,256,21767
8,512,33224
8,1024,59994
8,2048,103308
8,4096,209395
