threads,batchsize,time[ms]
16,1,82059
16,16,97827
16,32,109956
16,64,119537
16,128,158754
16,256,51790
16,512,69001
16,1024,95902
16,2048,161702
16,3800,271023
1,1,90314
1,16,101734
1,32,102207
1,64,125777
1,128,161216
1,256,42745
1,512,60598
1,1024,92345
1,2048,159419
1,3800,268555
2,1,81720
2,16,90402
2,32,103288
2,64,124107
2,128,156105
2,256,45778
2,512,59927
2,1024,91847
2,2048,156197
2,3800,266651
4,1,84948
4,16,91752
4,32,101401
4,64,118700
4,128,151236
4,256,46338
4,512,65168
4,1024,92655
4,2048,159031
4,3800,267778
8,1,88770
8,16,88001
8,32,110933
8,64,117732
8,128,163003
8,256,50085
8,512,65855
8,1024,94371
8,2048,158840
8,3800,268861
