threads,batchsize,time[ms]
16,1,60180
16,16,70578
16,32,75776
16,64,89147
16,128,121352
16,256,29226
16,512,46054
16,1024,82347
16,2048,144315
16,3800,264285
1,1,59199
1,16,73093
1,32,80745
1,64,94681
1,128,126389
1,256,27708
1,512,46943
1,1024,88323
1,2048,163695
1,3800,303023
2,1,61100
2,16,68508
2,32,74286
2,64,87344
2,128,118852
2,256,27890
2,512,44188
2,1024,82226
2,2048,158883
2,3800,283110
4,1,60909
4,16,67484
4,32,74643
4,64,92383
4,128,119739
4,256,26702
4,512,43126
4,1024,79372
4,2048,160269
4,3800,281515
8,1,60508
8,16,70643
8,32,74957
8,64,89964
8,128,119942
8,256,27648
8,512,43278
8,1024,85515
8,2048,148943
8,3800,281372
