power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
149.00, 60.68, 44, 2, 12205, 667, 11538
149.00, 61.00, 44, 2, 12205, 668, 11537
149.00, 61.00, 44, 2, 12205, 670, 11535
149.00, 61.00, 44, 2, 12205, 671, 11534
149.00, 61.00, 44, 2, 12205, 673, 11532
149.00, 61.00, 44, 2, 12205, 674, 11531
149.00, 61.00, 44, 2, 12205, 676, 11529
149.00, 61.00, 44, 2, 12205, 677, 11528
149.00, 61.00, 44, 2, 12205, 678, 11527
149.00, 61.00, 44, 2, 12205, 679, 11526
149.00, 60.10, 44, 2, 12205, 681, 11524
149.00, 60.10, 44, 2, 12205, 701, 11504
149.00, 60.10, 44, 2, 12205, 702, 11503
149.00, 60.10, 18, 3, 12205, 702, 11503
149.00, 60.10, 18, 3, 12205, 702, 11503
149.00, 60.10, 18, 3, 12205, 702, 11503
149.00, 60.10, 18, 3, 12205, 702, 11503
149.00, 60.10, 18, 3, 12205, 702, 11503
149.00, 60.10, 18, 3, 12205, 702, 11503
149.00, 77.20, 18, 3, 12205, 702, 11503
149.00, 77.20, 18, 3, 12205, 702, 11503
149.00, 77.20, 18, 3, 12205, 702, 11503
149.00, 77.20, 18, 3, 12205, 702, 11503
149.00, 77.20, 18, 3, 12205, 702, 11503
149.00, 77.20, 18, 3, 12205, 702, 11503
149.00, 77.20, 18, 3, 12205, 702, 11503
149.00, 77.20, 18, 3, 12205, 702, 11503
149.00, 77.20, 18, 3, 12205, 702, 11503
149.00, 85.34, 100, 35, 12205, 702, 11503
149.00, 85.34, 100, 35, 12205, 702, 11503
149.00, 85.34, 100, 35, 12205, 702, 11503
149.00, 85.34, 100, 35, 12205, 702, 11503
149.00, 85.34, 100, 35, 12205, 702, 11503
149.00, 85.34, 100, 35, 12205, 702, 11503
149.00, 85.34, 100, 35, 12205, 702, 11503
149.00, 85.34, 100, 35, 12205, 702, 11503
149.00, 85.34, 100, 35, 12205, 702, 11503
149.00, 91.05, 100, 35, 12205, 702, 11503
149.00, 91.05, 100, 35, 12205, 702, 11503
149.00, 91.05, 100, 35, 12205, 702, 11503
149.00, 91.05, 100, 35, 12205, 702, 11503
149.00, 91.05, 100, 35, 12205, 702, 11503
149.00, 91.05, 100, 35, 12205, 702, 11503
149.00, 91.05, 100, 39, 12205, 702, 11503
149.00, 91.05, 100, 39, 12205, 702, 11503
149.00, 91.05, 100, 39, 12205, 702, 11503
149.00, 95.58, 100, 39, 12205, 702, 11503
149.00, 95.58, 100, 39, 12205, 702, 11503
149.00, 95.58, 100, 39, 12205, 702, 11503
149.00, 95.58, 100, 39, 12205, 702, 11503
149.00, 95.58, 100, 39, 12205, 702, 11503
