power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
75.00, 23.93, 35, 2, 7606, 779, 6827
75.00, 23.93, 35, 2, 7606, 781, 6825
75.00, 24.03, 35, 2, 7606, 783, 6823
75.00, 24.03, 35, 2, 7606, 785, 6821
75.00, 24.03, 35, 2, 7606, 789, 6817
75.00, 24.03, 35, 2, 7606, 793, 6813
75.00, 24.03, 35, 2, 7606, 795, 6811
75.00, 24.03, 35, 2, 7606, 799, 6807
75.00, 24.03, 35, 2, 7606, 801, 6805
75.00, 24.03, 35, 2, 7606, 805, 6801
75.00, 24.03, 22, 1, 7606, 811, 6795
75.00, 24.03, 22, 1, 7606, 813, 6793
75.00, 24.03, 22, 1, 7606, 815, 6791
75.00, 24.03, 22, 1, 7606, 815, 6791
75.00, 24.03, 22, 1, 7606, 819, 6787
75.00, 24.03, 22, 1, 7606, 823, 6783
75.00, 24.03, 22, 1, 7606, 825, 6781
75.00, 24.01, 22, 1, 7606, 829, 6777
75.00, 24.01, 22, 1, 7606, 831, 6775
75.00, 24.03, 22, 1, 7606, 833, 6773
75.00, 24.03, 22, 1, 7606, 839, 6767
75.00, 24.03, 22, 1, 7606, 843, 6763
75.00, 24.03, 22, 1, 7606, 843, 6763
75.00, 24.03, 22, 1, 7606, 847, 6759
75.00, 24.03, 10, 0, 7606, 849, 6757
75.00, 25.08, 10, 0, 7606, 871, 6735
75.00, 25.08, 10, 0, 7606, 875, 6731
75.00, 40.13, 10, 0, 7606, 875, 6731
75.00, 40.13, 10, 0, 7606, 875, 6731
75.00, 43.92, 10, 0, 7606, 875, 6731
75.00, 44.64, 10, 0, 7606, 875, 6731
75.00, 44.64, 10, 0, 7606, 875, 6731
75.00, 44.71, 10, 0, 7606, 875, 6731
75.00, 44.71, 10, 0, 7606, 875, 6731
75.00, 44.73, 10, 0, 7606, 875, 6731
75.00, 44.95, 10, 0, 7606, 875, 6731
75.00, 44.95, 10, 0, 7606, 875, 6731
75.00, 45.15, 10, 0, 7606, 875, 6731
75.00, 45.48, 90, 80, 7606, 875, 6731
75.00, 45.48, 90, 80, 7606, 875, 6731
75.00, 46.06, 90, 80, 7606, 875, 6731
75.00, 46.08, 90, 80, 7606, 875, 6731
75.00, 46.08, 90, 80, 7606, 875, 6731
75.00, 46.15, 90, 80, 7606, 875, 6731
75.00, 46.08, 90, 80, 7606, 875, 6731
75.00, 46.08, 90, 80, 7606, 875, 6731
75.00, 46.34, 90, 80, 7606, 875, 6731
75.00, 46.34, 90, 80, 7606, 875, 6731
75.00, 46.44, 90, 80, 7606, 875, 6731
75.00, 46.54, 90, 80, 7606, 875, 6731
75.00, 46.54, 90, 80, 7606, 875, 6731
75.00, 46.99, 100, 91, 7606, 875, 6731
75.00, 47.47, 100, 91, 7606, 875, 6731
75.00, 47.47, 100, 91, 7606, 875, 6731
75.00, 47.83, 100, 91, 7606, 875, 6731
75.00, 47.83, 100, 91, 7606, 875, 6731
75.00, 47.76, 100, 91, 7606, 875, 6731
