power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 83.67, 15, 1, 12205, 1098, 11107
250.00, 83.67, 15, 1, 12205, 1099, 11106
250.00, 83.57, 15, 1, 12205, 1100, 11105
250.00, 83.57, 15, 1, 12205, 1102, 11103
250.00, 83.57, 15, 1, 12205, 1103, 11102
250.00, 83.57, 15, 1, 12205, 1104, 11101
250.00, 83.57, 15, 1, 12205, 1106, 11099
250.00, 83.57, 15, 1, 12205, 1107, 11098
250.00, 83.57, 28, 2, 12205, 1108, 11097
250.00, 83.57, 28, 2, 12205, 1110, 11095
250.00, 83.57, 28, 2, 12205, 1111, 11094
250.00, 83.38, 28, 2, 12205, 1113, 11092
250.00, 83.38, 28, 2, 12205, 1115, 11090
250.00, 83.38, 28, 2, 12205, 1312, 10893
250.00, 83.38, 28, 2, 12205, 1312, 10893
250.00, 83.38, 28, 2, 12205, 1409, 10796
250.00, 83.38, 28, 2, 12205, 1409, 10796
250.00, 83.38, 28, 2, 12205, 1409, 10796
250.00, 83.38, 28, 2, 12205, 1409, 10796
250.00, 127.75, 28, 2, 12205, 1440, 10765
250.00, 127.75, 28, 2, 12205, 1441, 10764
250.00, 127.75, 28, 2, 12205, 1441, 10764
250.00, 127.75, 72, 15, 12205, 1464, 10741
250.00, 127.75, 72, 15, 12205, 1464, 10741
250.00, 127.75, 72, 15, 12205, 1464, 10741
250.00, 127.75, 72, 15, 12205, 1623, 10582
250.00, 127.75, 72, 15, 12205, 1623, 10582
250.00, 127.75, 72, 15, 12205, 1820, 10385
250.00, 144.07, 72, 15, 12205, 1820, 10385
250.00, 144.07, 72, 15, 12205, 1820, 10385
250.00, 144.07, 72, 15, 12205, 1820, 10385
250.00, 144.07, 72, 15, 12205, 1917, 10288
250.00, 144.07, 72, 15, 12205, 1917, 10288
250.00, 144.07, 72, 15, 12205, 1917, 10288
250.00, 144.07, 72, 15, 12205, 1917, 10288
250.00, 144.07, 72, 15, 12205, 1949, 10256
250.00, 144.07, 72, 15, 12205, 1949, 10256
250.00, 148.54, 95, 16, 12205, 1949, 10256
250.00, 148.54, 95, 16, 12205, 1972, 10233
250.00, 148.54, 95, 16, 12205, 1972, 10233
250.00, 148.54, 95, 16, 12205, 1976, 10229
250.00, 148.54, 95, 16, 12205, 2012, 10193
250.00, 148.54, 95, 16, 12205, 2012, 10193
