power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
149.00, 60.75, 10, 0, 12205, 701, 11504
149.00, 60.75, 44, 2, 12205, 702, 11503
149.00, 60.75, 44, 2, 12205, 704, 11501
149.00, 60.75, 44, 2, 12205, 705, 11500
149.00, 60.75, 44, 2, 12205, 706, 11499
149.00, 60.75, 44, 2, 12205, 708, 11497
149.00, 60.75, 44, 2, 12205, 709, 11496
149.00, 59.84, 44, 2, 12205, 710, 11495
149.00, 59.84, 44, 2, 12205, 712, 11493
149.00, 59.84, 44, 2, 12205, 714, 11491
149.00, 59.84, 44, 2, 12205, 715, 11490
149.00, 59.84, 44, 2, 12205, 746, 11459
149.00, 59.84, 44, 2, 12205, 770, 11435
149.00, 59.84, 44, 2, 12205, 847, 11358
149.00, 59.84, 44, 2, 12205, 847, 11358
149.00, 59.84, 44, 2, 12205, 847, 11358
149.00, 69.29, 37, 4, 12205, 847, 11358
