power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 84.27, 7, 0, 12205, 882, 11323
250.00, 84.27, 7, 0, 12205, 884, 11321
250.00, 84.27, 7, 0, 12205, 886, 11319
250.00, 84.27, 7, 0, 12205, 888, 11317
250.00, 84.27, 31, 2, 12205, 890, 11315
250.00, 84.27, 31, 2, 12205, 892, 11313
250.00, 84.27, 31, 2, 12205, 894, 11311
250.00, 84.27, 31, 2, 12205, 898, 11307
250.00, 84.27, 31, 2, 12205, 984, 11221
250.00, 84.27, 31, 2, 12205, 1085, 11120
250.00, 84.27, 31, 2, 12205, 1110, 11095
250.00, 108.88, 31, 2, 12205, 1126, 11079
250.00, 108.88, 31, 2, 12205, 1136, 11069
250.00, 108.88, 31, 2, 12205, 1136, 11069
250.00, 108.88, 31, 2, 12205, 1136, 11069
250.00, 108.88, 31, 2, 12205, 1136, 11069
250.00, 108.88, 31, 2, 12205, 1136, 11069
250.00, 108.88, 31, 2, 12205, 1136, 11069
250.00, 108.88, 31, 2, 12205, 1136, 11069
250.00, 108.88, 78, 12, 12205, 1136, 11069
250.00, 137.45, 78, 12, 12205, 1136, 11069
250.00, 137.45, 78, 12, 12205, 1136, 11069
250.00, 137.45, 78, 12, 12205, 1136, 11069
250.00, 137.45, 78, 12, 12205, 1136, 11069
250.00, 137.45, 78, 12, 12205, 1136, 11069
250.00, 137.45, 78, 12, 12205, 1136, 11069
250.00, 137.45, 78, 12, 12205, 1136, 11069
250.00, 137.45, 78, 12, 12205, 1136, 11069
250.00, 137.45, 78, 12, 12205, 1136, 11069
250.00, 148.71, 78, 12, 12205, 1136, 11069
250.00, 148.71, 78, 12, 12205, 1136, 11069
250.00, 148.71, 78, 12, 12205, 1136, 11069
250.00, 148.71, 78, 12, 12205, 1136, 11069
250.00, 148.71, 78, 12, 12205, 1136, 11069
250.00, 148.71, 95, 15, 12205, 1136, 11069
250.00, 148.71, 95, 15, 12205, 1136, 11069
250.00, 148.71, 95, 15, 12205, 1136, 11069
250.00, 152.04, 95, 15, 12205, 1136, 11069
250.00, 152.04, 95, 15, 12205, 1136, 11069
250.00, 152.04, 95, 15, 12205, 1136, 11069
250.00, 152.04, 95, 15, 12205, 1136, 11069
250.00, 152.04, 95, 15, 12205, 1136, 11069
250.00, 152.04, 95, 15, 12205, 1136, 11069
250.00, 152.04, 95, 15, 12205, 1136, 11069
250.00, 152.04, 95, 15, 12205, 1136, 11069
250.00, 152.04, 95, 15, 12205, 1136, 11069
250.00, 154.27, 95, 15, 12205, 1136, 11069
250.00, 154.27, 95, 15, 12205, 1136, 11069
