power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
149.00, 66.25, 7, 0, 12205, 737, 11468
149.00, 66.25, 7, 0, 12205, 738, 11467
149.00, 66.25, 7, 0, 12205, 740, 11465
149.00, 66.25, 7, 0, 12205, 741, 11464
149.00, 66.25, 7, 0, 12205, 743, 11462
149.00, 66.25, 32, 2, 12205, 744, 11461
149.00, 66.25, 32, 2, 12205, 745, 11460
149.00, 65.34, 32, 2, 12205, 747, 11458
149.00, 65.34, 32, 2, 12205, 748, 11457
149.00, 65.34, 32, 2, 12205, 750, 11455
149.00, 65.34, 32, 2, 12205, 751, 11454
149.00, 65.34, 32, 2, 12205, 763, 11442
149.00, 65.34, 32, 2, 12205, 847, 11358
149.00, 65.34, 32, 2, 12205, 947, 11258
149.00, 65.34, 32, 2, 12205, 975, 11230
149.00, 65.34, 32, 2, 12205, 976, 11229
149.00, 82.68, 32, 2, 12205, 983, 11222
149.00, 82.68, 32, 2, 12205, 992, 11213
149.00, 82.68, 32, 2, 12205, 992, 11213
149.00, 82.68, 60, 12, 12205, 992, 11213
149.00, 82.68, 60, 12, 12205, 992, 11213
149.00, 82.68, 60, 12, 12205, 992, 11213
149.00, 82.68, 60, 12, 12205, 992, 11213
149.00, 82.68, 60, 12, 12205, 992, 11213
149.00, 82.68, 60, 12, 12205, 992, 11213
149.00, 98.66, 60, 12, 12205, 992, 11213
149.00, 98.66, 60, 12, 12205, 992, 11213
149.00, 98.66, 60, 12, 12205, 992, 11213
149.00, 98.66, 60, 12, 12205, 992, 11213
149.00, 98.66, 60, 12, 12205, 992, 11213
149.00, 98.66, 60, 12, 12205, 992, 11213
149.00, 98.66, 60, 12, 12205, 992, 11213
149.00, 98.66, 60, 12, 12205, 992, 11213
149.00, 104.56, 60, 12, 12205, 992, 11213
149.00, 104.56, 100, 19, 12205, 992, 11213
149.00, 104.56, 100, 19, 12205, 992, 11213
149.00, 104.56, 100, 19, 12205, 992, 11213
149.00, 104.56, 100, 19, 12205, 992, 11213
149.00, 104.56, 100, 19, 12205, 992, 11213
149.00, 104.56, 100, 19, 12205, 992, 11213
149.00, 104.56, 100, 19, 12205, 992, 11213
149.00, 104.56, 100, 19, 12205, 992, 11213
149.00, 106.24, 100, 19, 12205, 992, 11213
149.00, 106.24, 100, 19, 12205, 992, 11213
149.00, 106.24, 100, 19, 12205, 992, 11213
149.00, 106.24, 100, 19, 12205, 992, 11213
149.00, 106.24, 100, 19, 12205, 992, 11213
149.00, 106.24, 100, 19, 12205, 992, 11213
149.00, 106.24, 100, 19, 12205, 992, 11213
