***Alexnet Benchmarking***
Usage ./run_gpu_alexnet_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_alexnet_iter_test.sh geforce_gtx_maxwell
**batch size 1**
[?1034h****GPU Data (iteration time in ms)****	
1 227.13208198547 ms	
2 0.78797340393066 ms	
3 0.75697898864746 ms	
4 0.72288513183594 ms	
5 0.69904327392578 ms	
6 0.72693824768066 ms	
7 0.68497657775879 ms	
8 0.68306922912598 ms	
9 0.63610076904297 ms	
10 0.78892707824707 ms	
11 0.67996978759766 ms	
12 0.65207481384277 ms	
13 0.63991546630859 ms	
14 0.66804885864258 ms	
15 0.64992904663086 ms	
16 0.65898895263672 ms	
17 0.63800811767578 ms	
18 0.640869140625 ms	
19 0.701904296875 ms	
20 0.66804885864258 ms	
21 0.65898895263672 ms	
22 0.67782402038574 ms	
23 0.74100494384766 ms	
24 0.67281723022461 ms	
25 0.6558895111084 ms	
26 0.6721019744873 ms	
27 0.69808959960938 ms	
28 0.79894065856934 ms	
29 2.0489692687988 ms	
30 2.0689964294434 ms	
31 2.0310878753662 ms	
32 2.0349025726318 ms	
33 2.0561218261719 ms	
34 2.0349025726318 ms	
35 2.0380020141602 ms	
36 2.0320415496826 ms	
37 2.0489692687988 ms	
38 2.0499229431152 ms	
39 2.0270347595215 ms	
40 2.0229816436768 ms	
41 2.0458698272705 ms	
42 2.0468235015869 ms	
43 2.0349025726318 ms	
44 2.039909362793 ms	
45 2.0549297332764 ms	
46 2.0620822906494 ms	
47 2.0458698272705 ms	
48 2.0389556884766 ms	
49 2.0248889923096 ms	
50 2.0508766174316 ms	
51 2.0160675048828 ms	
52 2.0239353179932 ms	
53 2.0308494567871 ms	
54 2.0530223846436 ms	
55 2.0191669464111 ms	
56 2.0270347595215 ms	
57 2.0279884338379 ms	
58 2.0270347595215 ms	
59 2.0360946655273 ms	
60 2.0220279693604 ms	
61 2.0239353179932 ms	
62 2.0420551300049 ms	
63 2.0430088043213 ms	
64 2.0380020141602 ms	
65 2.0380020141602 ms	
66 2.0389556884766 ms	
67 2.0802021026611 ms	
68 2.0401477813721 ms	
69 2.0260810852051 ms	
70 2.0320415496826 ms	
71 2.0339488983154 ms	
72 2.0520687103271 ms	
73 2.0220279693604 ms	
74 2.0279884338379 ms	
75 2.0279884338379 ms	
76 2.0239353179932 ms	
77 2.0339488983154 ms	
78 2.0391941070557 ms	
79 2.0580291748047 ms	
80 2.0289421081543 ms	
81 2.0341873168945 ms	
82 2.0411014556885 ms	
83 2.0489692687988 ms	
84 2.0370483398438 ms	
85 2.0298957824707 ms	
86 2.0358562469482 ms	
87 2.0039081573486 ms	
88 1.9259452819824 ms	
89 1.9290447235107 ms	
90 1.9259452819824 ms	
91 1.9180774688721 ms	
92 1.9140243530273 ms	
93 1.9059181213379 ms	
94 1.917839050293 ms	
95 1.9190311431885 ms	
96 1.9211769104004 ms	
97 1.9350051879883 ms	
98 1.9378662109375 ms	
99 1.9240379333496 ms	
100 1.917839050293 ms	
101 1.9240379333496 ms	
102 1.9161701202393 ms	
103 1.9021034240723 ms	
104 1.9159317016602 ms	
105 1.9228458404541 ms	
106 1.924991607666 ms	
107 1.9071102142334 ms	
108 1.9140243530273 ms	
109 1.9068717956543 ms	
110 1.9040107727051 ms	
111 1.9171237945557 ms	
112 1.9140243530273 ms	
113 1.924991607666 ms	
114 1.924991607666 ms	
115 1.9240379333496 ms	
116 1.9369125366211 ms	
117 1.8899440765381 ms	
118 1.9159317016602 ms	
119 1.9280910491943 ms	
120 1.9271373748779 ms	
121 1.9140243530273 ms	
122 1.910924911499 ms	
123 1.9099712371826 ms	
124 1.9140243530273 ms	
125 1.906156539917 ms	
126 1.9290447235107 ms	
127 1.9030570983887 ms	
128 1.9259452819824 ms	
129 1.9009113311768 ms	
130 1.917839050293 ms	
131 1.9068717956543 ms	
132 1.9190311431885 ms	
133 1.9309520721436 ms	
134 1.9280910491943 ms	
135 1.9080638885498 ms	
136 1.9299983978271 ms	
137 1.9040107727051 ms	
138 1.9221305847168 ms	
139 1.9180774688721 ms	
140 1.9140243530273 ms	
141 1.9009113311768 ms	
142 1.9190311431885 ms	
143 1.9199848175049 ms	
144 1.9140243530273 ms	
145 1.9171237945557 ms	
146 1.8818378448486 ms	
147 1.9228458404541 ms	
148 1.9118785858154 ms	
149 1.9128322601318 ms	
150 1.9090175628662 ms	
**batch size 16**
[?1034h****GPU Data (iteration time in ms)****	
1 318.69602203369 ms	
2 4.4209957122803 ms	
3 4.7268867492676 ms	
4 15.15793800354 ms	
5 21.973133087158 ms	
6 21.728038787842 ms	
7 21.790981292725 ms	
8 21.827936172485 ms	
9 21.707057952881 ms	
10 21.82412147522 ms	
11 21.749019622803 ms	
12 21.804094314575 ms	
13 21.736860275269 ms	
14 21.745920181274 ms	
15 21.708011627197 ms	
16 21.762132644653 ms	
17 21.74711227417 ms	
18 21.715879440308 ms	
19 21.70205116272 ms	
20 21.772146224976 ms	
21 21.68607711792 ms	
22 21.73900604248 ms	
23 21.686792373657 ms	
24 21.754026412964 ms	
25 21.679162979126 ms	
26 21.713972091675 ms	
27 21.716117858887 ms	
28 21.620035171509 ms	
29 21.656036376953 ms	
30 21.61693572998 ms	
31 21.659851074219 ms	
32 21.604061126709 ms	
33 21.636962890625 ms	
34 21.60906791687 ms	
35 21.610021591187 ms	
36 21.529912948608 ms	
37 21.437168121338 ms	
38 21.439075469971 ms	
39 21.378993988037 ms	
40 21.483898162842 ms	
41 21.415948867798 ms	
42 21.472930908203 ms	
43 21.496057510376 ms	
44 21.496057510376 ms	
45 21.373987197876 ms	
46 21.467924118042 ms	
47 21.476984024048 ms	
48 21.497011184692 ms	
49 21.412134170532 ms	
50 21.517038345337 ms	
51 21.570920944214 ms	
52 21.553993225098 ms	
53 21.475076675415 ms	
54 21.566867828369 ms	
55 21.667003631592 ms	
56 21.646976470947 ms	
57 21.536111831665 ms	
58 21.57998085022 ms	
59 21.533966064453 ms	
60 21.615982055664 ms	
61 21.467924118042 ms	
62 21.541833877563 ms	
63 21.502017974854 ms	
64 21.496057510376 ms	
65 21.514177322388 ms	
66 21.527051925659 ms	
67 21.538019180298 ms	
