***Alexnet Benchmarking***
Usage ./run_gpu_alexnet_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_alexnet_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iteration time in ms)****	
1 314.09788131714 ms	
2 0.46086311340332 ms	
3 0.47922134399414 ms	
4 0.46706199645996 ms	
5 0.46896934509277 ms	
6 0.93507766723633 ms	
7 0.92983245849609 ms	
8 0.92196464538574 ms	
9 0.90384483337402 ms	
10 1.1148452758789 ms	
11 0.92577934265137 ms	
12 0.87094306945801 ms	
13 0.85616111755371 ms	
14 0.89001655578613 ms	
15 0.91099739074707 ms	
16 0.8549690246582 ms	
17 0.85592269897461 ms	
18 0.94795227050781 ms	
19 1.1320114135742 ms	
20 0.52905082702637 ms	
21 0.52905082702637 ms	
22 0.57291984558105 ms	
23 0.55599212646484 ms	
24 0.54502487182617 ms	
25 1.6510486602783 ms	
26 2.7420520782471 ms	
27 2.936840057373 ms	
28 2.9518604278564 ms	
29 2.9470920562744 ms	
30 2.9361248016357 ms	
31 2.9489994049072 ms	
32 2.9401779174805 ms	
33 2.9690265655518 ms	
34 2.9230117797852 ms	
35 2.9428005218506 ms	
36 2.938985824585 ms	
37 2.938985824585 ms	
38 2.9339790344238 ms	
39 2.9451847076416 ms	
40 2.9411315917969 ms	
41 2.9408931732178 ms	
42 2.936840057373 ms	
43 2.9380321502686 ms	
44 2.938985824585 ms	
45 2.9399394989014 ms	
46 2.9380321502686 ms	
47 2.938985824585 ms	
48 2.953052520752 ms	
49 2.9280185699463 ms	
50 2.938985824585 ms	
51 2.9501914978027 ms	
52 2.9361248016357 ms	
53 2.9220581054688 ms	
54 2.9339790344238 ms	
55 2.9408931732178 ms	
56 2.9380321502686 ms	
57 2.9330253601074 ms	
58 2.9380321502686 ms	
59 2.9418468475342 ms	
60 2.9580593109131 ms	
61 2.9299259185791 ms	
62 2.9420852661133 ms	
63 2.9439926147461 ms	
64 2.953052520752 ms	
65 2.9330253601074 ms	
66 2.9380321502686 ms	
67 2.9299259185791 ms	
68 2.9418468475342 ms	
69 2.9370784759521 ms	
70 2.8891563415527 ms	
71 2.8541088104248 ms	
72 2.8398036956787 ms	
73 2.8729438781738 ms	
74 2.8531551361084 ms	
75 2.8541088104248 ms	
76 2.852201461792 ms	
77 2.8560161590576 ms	
78 2.8548240661621 ms	
79 2.8460025787354 ms	
80 2.8550624847412 ms	
81 3.1149387359619 ms	
82 2.5978088378906 ms	
83 2.8419494628906 ms	
84 2.8560161590576 ms	
85 2.8560161590576 ms	
86 2.8460025787354 ms	
87 2.8679370880127 ms	
88 2.8460025787354 ms	
89 2.8500556945801 ms	
90 2.8409957885742 ms	
91 2.8481483459473 ms	
92 2.8541088104248 ms	
93 2.8557777404785 ms	
94 2.8519630432129 ms	
95 2.8340816497803 ms	
96 2.856969833374 ms	
97 2.8541088104248 ms	
98 2.8548240661621 ms	
99 2.8660297393799 ms	
100 2.8469562530518 ms	
101 2.899169921875 ms	
102 2.8212070465088 ms	
103 2.8629302978516 ms	
104 2.8510093688965 ms	
105 2.8550624847412 ms	
106 2.8479099273682 ms	
107 2.8507709503174 ms	
108 2.8400421142578 ms	
109 2.8460025787354 ms	
110 2.8409957885742 ms	
111 2.8378963470459 ms	
112 2.8488636016846 ms	
113 2.8510093688965 ms	
114 2.8510093688965 ms	
115 2.8469562530518 ms	
116 2.9540061950684 ms	
