power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 69.87, 9, 0, 12205, 453, 11752
250.00, 69.87, 9, 0, 12205, 455, 11750
250.00, 69.87, 9, 0, 12205, 458, 11747
250.00, 69.87, 9, 0, 12205, 459, 11746
250.00, 69.87, 15, 1, 12205, 461, 11744
250.00, 69.87, 15, 1, 12205, 463, 11742
250.00, 69.87, 15, 1, 12205, 465, 11740
250.00, 69.87, 15, 1, 12205, 467, 11738
250.00, 69.87, 15, 1, 12205, 469, 11736
250.00, 69.87, 15, 1, 12205, 469, 11736
