power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
149.00, 59.76, 8, 0, 12205, 238, 11967
149.00, 59.58, 8, 0, 12205, 239, 11966
149.00, 59.58, 8, 0, 12205, 240, 11965
149.00, 59.58, 8, 0, 12205, 242, 11963
149.00, 59.58, 8, 0, 12205, 243, 11962
149.00, 59.58, 8, 0, 12205, 244, 11961
149.00, 59.58, 8, 0, 12205, 245, 11960
149.00, 59.58, 8, 0, 12205, 247, 11958
149.00, 59.58, 8, 0, 12205, 248, 11957
149.00, 59.58, 8, 0, 12205, 250, 11955
149.00, 59.76, 12, 0, 12205, 251, 11954
149.00, 59.76, 12, 0, 12205, 253, 11952
149.00, 59.76, 12, 0, 12205, 255, 11950
149.00, 59.76, 12, 0, 12205, 255, 11950
149.00, 59.76, 12, 0, 12205, 255, 11950
149.00, 59.76, 12, 0, 12205, 255, 11950
149.00, 59.76, 12, 0, 12205, 255, 11950
