power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 90.88, 7, 0, 12205, 399, 11806
250.00, 90.88, 7, 0, 12205, 401, 11804
250.00, 90.88, 7, 0, 12205, 403, 11802
250.00, 90.88, 7, 0, 12205, 405, 11800
250.00, 90.88, 11, 0, 12205, 407, 11798
250.00, 90.88, 11, 0, 12205, 409, 11796
250.00, 90.88, 11, 0, 12205, 411, 11794
250.00, 95.41, 11, 0, 12205, 415, 11790
250.00, 95.41, 11, 0, 12205, 415, 11790
250.00, 95.41, 11, 0, 12205, 415, 11790
250.00, 95.41, 11, 0, 12205, 415, 11790
250.00, 95.41, 11, 0, 12205, 415, 11790
250.00, 95.41, 11, 0, 12205, 415, 11790
250.00, 95.41, 11, 0, 12205, 415, 11790
250.00, 95.41, 11, 0, 12205, 415, 11790
250.00, 195.66, 11, 0, 12205, 415, 11790
