power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
149.00, 60.83, 31, 1, 12205, 525, 11680
149.00, 60.83, 31, 1, 12205, 526, 11679
149.00, 60.83, 31, 1, 12205, 528, 11677
149.00, 60.83, 31, 1, 12205, 529, 11676
149.00, 60.66, 31, 1, 12205, 531, 11674
149.00, 60.66, 31, 1, 12205, 532, 11673
149.00, 60.66, 31, 1, 12205, 533, 11672
149.00, 60.66, 31, 1, 12205, 534, 11671
149.00, 60.66, 31, 1, 12205, 536, 11669
149.00, 60.66, 31, 1, 12205, 537, 11668
149.00, 60.66, 31, 1, 12205, 539, 11666
149.00, 60.66, 31, 1, 12205, 542, 11663
149.00, 60.66, 31, 1, 12205, 542, 11663
149.00, 66.88, 31, 1, 12205, 542, 11663
149.00, 66.88, 29, 4, 12205, 542, 11663
149.00, 66.88, 29, 4, 12205, 542, 11663
149.00, 66.88, 29, 4, 12205, 542, 11663
149.00, 66.88, 29, 4, 12205, 542, 11663
149.00, 66.88, 29, 4, 12205, 542, 11663
149.00, 66.88, 29, 4, 12205, 542, 11663
149.00, 66.88, 29, 4, 12205, 542, 11663
149.00, 66.88, 29, 4, 12205, 542, 11663
149.00, 94.18, 29, 4, 12205, 542, 11663
149.00, 94.18, 29, 4, 12205, 542, 11663
149.00, 94.18, 29, 4, 12205, 542, 11663
149.00, 94.18, 29, 4, 12205, 542, 11663
149.00, 94.18, 29, 4, 12205, 542, 11663
149.00, 94.18, 29, 4, 12205, 542, 11663
149.00, 94.18, 29, 4, 12205, 542, 11663
149.00, 94.18, 29, 4, 12205, 542, 11663
149.00, 94.18, 100, 21, 12205, 542, 11663
149.00, 105.82, 100, 21, 12205, 542, 11663
149.00, 105.82, 100, 21, 12205, 542, 11663
149.00, 105.82, 100, 21, 12205, 542, 11663
149.00, 105.82, 100, 21, 12205, 542, 11663
149.00, 105.82, 100, 21, 12205, 542, 11663
149.00, 105.82, 100, 21, 12205, 542, 11663
149.00, 105.82, 100, 21, 12205, 542, 11663
149.00, 105.82, 100, 21, 12205, 542, 11663
149.00, 105.82, 100, 21, 12205, 542, 11663
149.00, 114.76, 100, 21, 12205, 542, 11663
149.00, 114.76, 100, 21, 12205, 542, 11663
149.00, 114.76, 100, 21, 12205, 542, 11663
149.00, 114.76, 100, 21, 12205, 542, 11663
149.00, 114.76, 100, 21, 12205, 542, 11663
149.00, 114.76, 100, 24, 12205, 542, 11663
149.00, 114.76, 100, 24, 12205, 542, 11663
149.00, 114.76, 100, 24, 12205, 542, 11663
149.00, 114.76, 100, 24, 12205, 542, 11663
149.00, 122.77, 100, 24, 12205, 542, 11663
149.00, 122.77, 100, 24, 12205, 542, 11663
149.00, 122.77, 100, 24, 12205, 542, 11663
149.00, 122.77, 100, 24, 12205, 542, 11663
149.00, 122.77, 100, 24, 12205, 542, 11663
149.00, 122.77, 100, 24, 12205, 542, 11663
149.00, 122.77, 100, 24, 12205, 542, 11663
149.00, 122.77, 100, 24, 12205, 542, 11663
149.00, 122.77, 100, 24, 12205, 542, 11663
149.00, 130.12, 100, 24, 12205, 542, 11663
149.00, 130.12, 100, 24, 12205, 542, 11663
149.00, 130.12, 100, 24, 12205, 542, 11663
149.00, 130.12, 100, 24, 12205, 542, 11663
149.00, 130.12, 100, 24, 12205, 542, 11663
149.00, 130.12, 100, 24, 12205, 542, 11663
149.00, 130.12, 100, 24, 12205, 542, 11663
149.00, 130.12, 100, 24, 12205, 542, 11663
149.00, 130.12, 100, 24, 12205, 542, 11663
149.00, 134.94, 100, 24, 12205, 542, 11663
149.00, 134.94, 100, 24, 12205, 542, 11663
149.00, 134.94, 100, 24, 12205, 542, 11663
149.00, 134.94, 100, 24, 12205, 542, 11663
149.00, 134.94, 100, 24, 12205, 542, 11663
149.00, 134.94, 100, 24, 12205, 542, 11663
149.00, 134.94, 100, 24, 12205, 542, 11663
149.00, 134.94, 100, 24, 12205, 542, 11663
149.00, 134.94, 100, 23, 12205, 542, 11663
149.00, 137.81, 100, 23, 12205, 542, 11663
149.00, 137.81, 100, 23, 12205, 542, 11663
149.00, 137.81, 100, 23, 12205, 542, 11663
149.00, 137.81, 100, 23, 12205, 542, 11663
149.00, 137.81, 100, 23, 12205, 542, 11663
149.00, 137.81, 100, 23, 12205, 542, 11663
149.00, 137.81, 100, 23, 12205, 542, 11663
149.00, 137.81, 100, 23, 12205, 542, 11663
149.00, 137.81, 100, 23, 12205, 542, 11663
149.00, 137.84, 100, 23, 12205, 542, 11663
149.00, 137.84, 100, 23, 12205, 542, 11663
149.00, 137.84, 100, 23, 12205, 542, 11663
149.00, 137.84, 100, 23, 12205, 542, 11663
149.00, 137.84, 100, 23, 12205, 542, 11663
149.00, 137.84, 100, 24, 12205, 542, 11663
149.00, 137.84, 100, 24, 12205, 542, 11663
149.00, 137.84, 100, 24, 12205, 542, 11663
149.00, 137.84, 100, 24, 12205, 542, 11663
149.00, 138.66, 100, 24, 12205, 542, 11663
149.00, 138.66, 100, 24, 12205, 542, 11663
149.00, 138.66, 100, 24, 12205, 542, 11663
149.00, 138.66, 100, 24, 12205, 542, 11663
149.00, 138.66, 100, 24, 12205, 542, 11663
149.00, 138.66, 100, 24, 12205, 542, 11663
149.00, 138.66, 100, 24, 12205, 542, 11663
149.00, 138.66, 100, 24, 12205, 542, 11663
149.00, 138.66, 100, 24, 12205, 542, 11663
149.00, 138.43, 100, 24, 12205, 542, 11663
149.00, 138.43, 100, 24, 12205, 542, 11663
149.00, 138.43, 100, 24, 12205, 542, 11663
149.00, 138.43, 100, 24, 12205, 542, 11663
149.00, 138.43, 100, 24, 12205, 542, 11663
149.00, 138.43, 100, 24, 12205, 542, 11663
149.00, 138.43, 100, 24, 12205, 542, 11663
149.00, 138.43, 100, 24, 12205, 542, 11663
149.00, 138.43, 100, 24, 12205, 542, 11663
149.00, 138.97, 100, 24, 12205, 542, 11663
149.00, 138.97, 100, 24, 12205, 542, 11663
