power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
75.00, 24.40, 39, 2, 7606, 633, 6973
75.00, 24.50, 39, 2, 7606, 635, 6971
75.00, 24.50, 39, 2, 7606, 637, 6969
75.00, 24.50, 39, 2, 7606, 641, 6965
75.00, 24.50, 39, 2, 7606, 645, 6961
75.00, 24.50, 39, 2, 7606, 647, 6959
75.00, 24.50, 39, 2, 7606, 651, 6955
75.00, 24.50, 39, 2, 7606, 655, 6951
75.00, 24.50, 39, 2, 7606, 657, 6949
75.00, 24.50, 39, 2, 7606, 663, 6943
75.00, 46.54, 39, 2, 7606, 663, 6943
75.00, 53.56, 39, 2, 7606, 663, 6943
75.00, 54.94, 39, 2, 7606, 663, 6943
75.00, 58.63, 34, 14, 7606, 663, 6943
75.00, 58.44, 34, 14, 7606, 663, 6943
75.00, 57.71, 34, 14, 7606, 663, 6943
75.00, 59.39, 34, 14, 7606, 663, 6943
75.00, 57.51, 34, 14, 7606, 663, 6943
75.00, 56.59, 34, 14, 7606, 663, 6943
75.00, 58.19, 34, 14, 7606, 663, 6943
75.00, 58.91, 34, 14, 7606, 663, 6943
75.00, 60.41, 100, 60, 7606, 663, 6943
75.00, 63.29, 100, 60, 7606, 663, 6943
75.00, 61.99, 100, 60, 7606, 663, 6943
75.00, 60.85, 100, 60, 7606, 663, 6943
75.00, 60.79, 100, 60, 7606, 663, 6943
75.00, 60.98, 100, 60, 7606, 663, 6943
75.00, 62.72, 100, 60, 7606, 663, 6943
75.00, 62.91, 100, 60, 7606, 663, 6943
75.00, 65.69, 100, 68, 7606, 663, 6943
75.00, 66.51, 100, 68, 7606, 663, 6943
75.00, 66.13, 100, 68, 7606, 663, 6943
75.00, 66.70, 100, 68, 7606, 663, 6943
75.00, 67.04, 100, 68, 7606, 663, 6943
75.00, 69.09, 100, 68, 7606, 663, 6943
75.00, 70.47, 100, 68, 7606, 663, 6943
75.00, 68.56, 100, 68, 7606, 663, 6943
75.00, 65.79, 100, 64, 7606, 663, 6943
75.00, 62.49, 100, 64, 7606, 663, 6943
75.00, 62.95, 100, 64, 7606, 663, 6943
75.00, 62.81, 100, 64, 7606, 663, 6943
75.00, 63.92, 100, 64, 7606, 663, 6943
75.00, 65.98, 100, 64, 7606, 663, 6943
75.00, 64.93, 100, 64, 7606, 663, 6943
75.00, 63.58, 100, 64, 7606, 663, 6943
75.00, 63.67, 100, 64, 7606, 663, 6943
75.00, 70.09, 100, 70, 7606, 663, 6943
75.00, 72.47, 100, 70, 7606, 663, 6943
75.00, 70.04, 100, 67, 7606, 663, 6943
75.00, 67.18, 100, 67, 7606, 663, 6943
75.00, 65.12, 100, 67, 7606, 663, 6943
75.00, 64.07, 100, 67, 7606, 663, 6943
75.00, 64.26, 100, 67, 7606, 663, 6943
75.00, 64.93, 100, 67, 7606, 663, 6943
75.00, 67.27, 100, 67, 7606, 663, 6943
75.00, 68.85, 100, 67, 7606, 663, 6943
75.00, 69.38, 100, 67, 7606, 663, 6943
75.00, 69.33, 100, 67, 7606, 663, 6943
75.00, 68.81, 100, 67, 7606, 663, 6943
75.00, 68.86, 100, 67, 7606, 663, 6943
75.00, 68.81, 100, 67, 7606, 663, 6943
75.00, 69.19, 100, 67, 7606, 663, 6943
75.00, 70.57, 100, 71, 7606, 663, 6943
75.00, 68.52, 100, 71, 7606, 663, 6943
75.00, 67.95, 100, 71, 7606, 663, 6943
75.00, 67.99, 100, 69, 7606, 663, 6943
75.00, 68.66, 100, 69, 7606, 663, 6943
75.00, 69.33, 100, 69, 7606, 663, 6943
75.00, 67.42, 100, 69, 7606, 663, 6943
75.00, 66.89, 100, 69, 7606, 663, 6943
75.00, 66.32, 100, 69, 7606, 663, 6943
75.00, 64.83, 100, 66, 7606, 663, 6943
75.00, 64.40, 100, 66, 7606, 663, 6943
