***mlp_l4_iter_test Benchmarking***
Usage ./run_gpu_mlp_l4_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_mlp_l4_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iteration  time in ms)****	
1 72.793006896973 ms	
2 0.17499923706055 ms	
3 0.13899803161621 ms	
4 0.1370906829834 ms	
5 0.14305114746094 ms	
6 0.13399124145508 ms	
7 0.1370906829834 ms	
8 0.13399124145508 ms	
9 0.15497207641602 ms	
10 0.13303756713867 ms	
11 0.1370906829834 ms	
12 0.15997886657715 ms	
13 0.13399124145508 ms	
14 0.12993812561035 ms	
15 0.13518333435059 ms	
16 0.12707710266113 ms	
17 0.12993812561035 ms	
18 0.12993812561035 ms	
19 0.12993812561035 ms	
20 0.12898445129395 ms	
21 0.12898445129395 ms	
22 0.13113021850586 ms	
23 0.13089179992676 ms	
24 0.13089179992676 ms	
25 0.13017654418945 ms	
26 0.13184547424316 ms	
27 0.14615058898926 ms	
28 0.13089179992676 ms	
29 0.13089179992676 ms	
30 0.14901161193848 ms	
31 0.13113021850586 ms	
32 0.1380443572998 ms	
33 0.12993812561035 ms	
34 0.13017654418945 ms	
35 0.12803077697754 ms	
36 0.14591217041016 ms	
37 0.13613700866699 ms	
38 0.12898445129395 ms	
39 0.12803077697754 ms	
40 0.12898445129395 ms	
41 0.12993812561035 ms	
42 0.12898445129395 ms	
43 0.12803077697754 ms	
44 0.12898445129395 ms	
45 0.12993812561035 ms	
46 0.12993812561035 ms	
47 0.12803077697754 ms	
48 0.13208389282227 ms	
49 0.13279914855957 ms	
50 0.13113021850586 ms	
51 0.12898445129395 ms	
52 0.12898445129395 ms	
53 0.13208389282227 ms	
54 0.12993812561035 ms	
55 0.13279914855957 ms	
56 0.13113021850586 ms	
57 0.14090538024902 ms	
58 0.14901161193848 ms	
59 0.13303756713867 ms	
60 0.1528263092041 ms	
61 0.1368522644043 ms	
62 0.14710426330566 ms	
63 0.12803077697754 ms	
64 0.12993812561035 ms	
65 0.12993812561035 ms	
66 0.13899803161621 ms	
67 0.13113021850586 ms	
68 0.13208389282227 ms	
69 0.13113021850586 ms	
70 0.13208389282227 ms	
71 0.13113021850586 ms	
72 0.13279914855957 ms	
73 0.15020370483398 ms	
74 0.13303756713867 ms	
75 0.12993812561035 ms	
76 0.13208389282227 ms	
77 0.13113021850586 ms	
78 0.12803077697754 ms	
79 0.13184547424316 ms	
80 0.13113021850586 ms	
81 0.12922286987305 ms	
82 0.13089179992676 ms	
83 0.12898445129395 ms	
84 0.12898445129395 ms	
85 0.12803077697754 ms	
86 0.12612342834473 ms	
87 0.12898445129395 ms	
88 0.1378059387207 ms	
89 0.12898445129395 ms	
90 0.12993812561035 ms	
91 0.12803077697754 ms	
92 0.13208389282227 ms	
93 0.12898445129395 ms	
94 0.12993812561035 ms	
95 0.12707710266113 ms	
96 0.12803077697754 ms	
97 0.12707710266113 ms	
98 0.12993812561035 ms	
99 0.12898445129395 ms	
100 0.12803077697754 ms	
101 0.14114379882812 ms	
102 0.12993812561035 ms	
103 0.13303756713867 ms	
104 0.12993812561035 ms	
105 0.12993812561035 ms	
106 0.13399124145508 ms	
107 0.13017654418945 ms	
108 0.13399124145508 ms	
109 0.13303756713867 ms	
110 0.14901161193848 ms	
111 0.14805793762207 ms	
112 0.13613700866699 ms	
113 0.14209747314453 ms	
114 0.13208389282227 ms	
115 0.13399124145508 ms	
116 0.14710426330566 ms	
117 0.13399124145508 ms	
118 0.13589859008789 ms	
119 0.14114379882812 ms	
