power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
149.00, 59.76, 12, 0, 12205, 381, 11824
149.00, 59.76, 12, 0, 12205, 382, 11823
149.00, 59.84, 12, 0, 12205, 384, 11821
149.00, 59.84, 12, 0, 12205, 386, 11819
149.00, 59.84, 12, 0, 12205, 387, 11818
149.00, 59.84, 12, 0, 12205, 388, 11817
149.00, 59.84, 19, 1, 12205, 390, 11815
149.00, 59.84, 19, 1, 12205, 391, 11814
149.00, 59.84, 19, 1, 12205, 393, 11812
149.00, 59.84, 19, 1, 12205, 394, 11811
149.00, 59.84, 19, 1, 12205, 396, 11809
149.00, 62.02, 19, 1, 12205, 526, 11679
149.00, 62.02, 19, 1, 12205, 526, 11679
149.00, 62.02, 19, 1, 12205, 526, 11679
149.00, 62.02, 19, 1, 12205, 526, 11679
