***mlp_l5_iter_test Benchmarking***
Usage ./run_gpu_mlp_l5_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_mlp_l5_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iter,time)****	
1 72.51501083374 ms	
2 0.16093254089355 ms	
3 0.1521110534668 ms	
4 0.15115737915039 ms	
5 0.20480155944824 ms	
6 0.14901161193848 ms	
7 0.16498565673828 ms	
8 0.15020370483398 ms	
9 0.14686584472656 ms	
10 0.14710426330566 ms	
11 0.14591217041016 ms	
12 0.14591217041016 ms	
13 0.14615058898926 ms	
14 0.14901161193848 ms	
15 0.16283988952637 ms	
16 0.14901161193848 ms	
17 0.1680850982666 ms	
18 0.16117095947266 ms	
19 0.14710426330566 ms	
20 0.14805793762207 ms	
21 0.14591217041016 ms	
22 0.14495849609375 ms	
23 0.14615058898926 ms	
24 0.14615058898926 ms	
25 0.14591217041016 ms	
26 0.14615058898926 ms	
27 0.14591217041016 ms	
28 0.14686584472656 ms	
29 0.14495849609375 ms	
30 0.14710426330566 ms	
31 0.14495849609375 ms	
32 0.14591217041016 ms	
33 0.1671314239502 ms	
34 0.14805793762207 ms	
35 0.14877319335938 ms	
36 0.14400482177734 ms	
37 0.14996528625488 ms	
38 0.14710426330566 ms	
39 0.14591217041016 ms	
40 0.14805793762207 ms	
41 0.14591217041016 ms	
42 0.14686584472656 ms	
43 0.15711784362793 ms	
44 0.16212463378906 ms	
45 0.14400482177734 ms	
46 0.14710426330566 ms	
47 0.15020370483398 ms	
48 0.14805793762207 ms	
49 0.14495849609375 ms	
50 0.14400482177734 ms	
51 0.14591217041016 ms	
52 0.15115737915039 ms	
53 0.14519691467285 ms	
54 0.14209747314453 ms	
55 0.14996528625488 ms	
56 0.17094612121582 ms	
57 0.14901161193848 ms	
58 0.14805793762207 ms	
59 0.14710426330566 ms	
60 0.14591217041016 ms	
61 0.14400482177734 ms	
62 0.14495849609375 ms	
63 0.14305114746094 ms	
64 0.14805793762207 ms	
65 0.15020370483398 ms	
66 0.14996528625488 ms	
67 0.1521110534668 ms	
68 0.15401840209961 ms	
69 0.15091896057129 ms	
70 0.15091896057129 ms	
71 0.14996528625488 ms	
72 0.1521110534668 ms	
73 0.15521049499512 ms	
74 0.15115737915039 ms	
75 0.14996528625488 ms	
76 0.15020370483398 ms	
77 0.15592575073242 ms	
78 0.36883354187012 ms	
79 0.71501731872559 ms	
80 0.71597099304199 ms	
81 0.70786476135254 ms	
82 0.72002410888672 ms	
83 0.70405006408691 ms	
84 0.70500373840332 ms	
85 0.70500373840332 ms	
86 0.71096420288086 ms	
87 0.71001052856445 ms	
88 0.71501731872559 ms	
89 0.70500373840332 ms	
90 0.71310997009277 ms	
91 0.7328987121582 ms	
92 0.71501731872559 ms	
93 0.701904296875 ms	
94 0.71406364440918 ms	
95 0.71501731872559 ms	
96 0.71597099304199 ms	
97 0.70810317993164 ms	
98 0.70977210998535 ms	
99 0.71501731872559 ms	
100 0.70786476135254 ms	
101 0.71001052856445 ms	
102 0.72097778320312 ms	
103 0.71001052856445 ms	
104 0.70691108703613 ms	
105 0.71597099304199 ms	
106 0.70500373840332 ms	
107 0.69618225097656 ms	
108 0.70881843566895 ms	
109 0.70810317993164 ms	
110 0.70500373840332 ms	
111 0.7021427154541 ms	
112 0.71001052856445 ms	
113 0.71310997009277 ms	
114 0.72908401489258 ms	
115 0.71287155151367 ms	
116 0.71310997009277 ms	
117 0.71001052856445 ms	
118 0.72097778320312 ms	
119 0.70500373840332 ms	
120 0.71191787719727 ms	
121 0.70691108703613 ms	
122 0.70714950561523 ms	
123 0.71811676025391 ms	
124 0.70405006408691 ms	
125 0.71096420288086 ms	
126 0.71215629577637 ms	
127 0.70619583129883 ms	
128 0.72097778320312 ms	
129 0.70285797119141 ms	
130 0.70905685424805 ms	
131 0.701904296875 ms	
132 0.7169246673584 ms	
133 0.71215629577637 ms	
134 0.7171630859375 ms	
135 0.71001052856445 ms	
136 0.70405006408691 ms	
137 0.73599815368652 ms	
138 0.71096420288086 ms	
139 0.701904296875 ms	
140 0.71597099304199 ms	
141 0.7169246673584 ms	
142 0.71811676025391 ms	
143 0.71215629577637 ms	
144 0.70905685424805 ms	
145 0.72002410888672 ms	
146 0.71001052856445 ms	
147 0.71191787719727 ms	
148 0.71001052856445 ms	
149 0.70810317993164 ms	
150 0.71501731872559 ms	
**batch size 16**
****GPU Data (iter,time)****	
1 69.931983947754 ms	
2 0.16498565673828 ms	
3 0.15807151794434 ms	
4 0.15401840209961 ms	
5 0.15497207641602 ms	
6 0.17118453979492 ms	
7 0.1521110534668 ms	
8 0.15091896057129 ms	
9 0.1521110534668 ms	
10 0.16403198242188 ms	
11 0.1521110534668 ms	
12 0.17881393432617 ms	
13 0.15401840209961 ms	
14 0.16593933105469 ms	
15 0.15497207641602 ms	
16 0.14996528625488 ms	
17 0.14996528625488 ms	
18 0.14901161193848 ms	
19 0.16403198242188 ms	
20 0.15091896057129 ms	
21 0.14996528625488 ms	
22 0.1680850982666 ms	
23 0.15091896057129 ms	
24 0.15091896057129 ms	
25 0.14805793762207 ms	
26 0.14591217041016 ms	
27 0.14710426330566 ms	
28 0.15020370483398 ms	
29 0.14901161193848 ms	
30 0.14996528625488 ms	
31 0.14901161193848 ms	
32 0.14901161193848 ms	
33 0.14996528625488 ms	
34 0.15711784362793 ms	
35 0.15091896057129 ms	
36 0.14710426330566 ms	
37 0.14901161193848 ms	
38 0.14901161193848 ms	
39 0.14686584472656 ms	
40 0.15115737915039 ms	
41 0.14805793762207 ms	
42 0.14901161193848 ms	
43 0.14686584472656 ms	
44 0.15401840209961 ms	
45 0.14805793762207 ms	
46 0.14901161193848 ms	
47 0.14781951904297 ms	
48 0.15091896057129 ms	
49 0.14710426330566 ms	
50 0.14901161193848 ms	
51 0.14901161193848 ms	
52 0.14495849609375 ms	
53 0.15997886657715 ms	
54 0.1521110534668 ms	
55 0.15115737915039 ms	
56 0.14901161193848 ms	
57 0.15401840209961 ms	
58 0.1680850982666 ms	
59 0.17189979553223 ms	
60 0.15807151794434 ms	
61 0.16403198242188 ms	
62 0.14781951904297 ms	
63 0.1521110534668 ms	
64 0.14996528625488 ms	
65 0.1518726348877 ms	
66 0.15091896057129 ms	
67 0.1530647277832 ms	
68 0.14901161193848 ms	
69 0.15091896057129 ms	
70 0.14996528625488 ms	
71 0.14996528625488 ms	
72 0.1521110534668 ms	
73 0.50497055053711 ms	
74 0.98800659179688 ms	
75 0.9610652923584 ms	
76 0.96511840820312 ms	
77 0.98490715026855 ms	
78 0.95796585083008 ms	
79 0.96797943115234 ms	
80 0.96011161804199 ms	
81 0.94103813171387 ms	
82 0.96607208251953 ms	
83 0.98490715026855 ms	
84 0.9610652923584 ms	
85 0.9620189666748 ms	
86 0.96988677978516 ms	
87 0.96607208251953 ms	
88 0.96583366394043 ms	
89 0.96321105957031 ms	
90 0.9770393371582 ms	
91 0.96893310546875 ms	
92 0.9610652923584 ms	
93 0.96392631530762 ms	
94 0.9620189666748 ms	
95 0.97203254699707 ms	
96 0.96487998962402 ms	
97 0.96511840820312 ms	
98 0.96487998962402 ms	
