***mlp_l5_iter_test Benchmarking***
Usage ./run_gpu_mlp_l5_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_mlp_l5_iter_test.sh geforce_gtx_maxwell
**batch size 1**
[?1034h****GPU Data (iter,time)****	
1 126.77597999573 ms	
2 0.18501281738281 ms	
3 0.15997886657715 ms	
4 0.1528263092041 ms	
5 0.18215179443359 ms	
6 0.16283988952637 ms	
7 0.20003318786621 ms	
8 0.16999244689941 ms	
9 0.14209747314453 ms	
10 0.19097328186035 ms	
11 0.18501281738281 ms	
12 0.16093254089355 ms	
13 0.17499923706055 ms	
14 0.16093254089355 ms	
15 0.17499923706055 ms	
16 0.13899803161621 ms	
17 0.15997886657715 ms	
18 0.15497207641602 ms	
19 0.14209747314453 ms	
20 0.1530647277832 ms	
21 0.16093254089355 ms	
22 0.1530647277832 ms	
23 0.14996528625488 ms	
24 0.15783309936523 ms	
25 0.1990795135498 ms	
26 0.15592575073242 ms	
27 0.14591217041016 ms	
28 0.13494491577148 ms	
29 0.14901161193848 ms	
30 0.1380443572998 ms	
31 0.13995170593262 ms	
32 0.14996528625488 ms	
33 0.16283988952637 ms	
34 0.13494491577148 ms	
35 0.15902519226074 ms	
36 0.15401840209961 ms	
37 0.14209747314453 ms	
38 0.16307830810547 ms	
39 0.1518726348877 ms	
40 0.16498565673828 ms	
41 0.14495849609375 ms	
42 0.14114379882812 ms	
43 0.14519691467285 ms	
44 0.14710426330566 ms	
45 0.16188621520996 ms	
46 0.14090538024902 ms	
47 0.14781951904297 ms	
48 0.14710426330566 ms	
49 0.14901161193848 ms	
50 0.14781951904297 ms	
51 0.15592575073242 ms	
52 0.14686584472656 ms	
53 0.14686584472656 ms	
54 0.14305114746094 ms	
55 0.14591217041016 ms	
56 0.1518726348877 ms	
57 0.16903877258301 ms	
58 0.16903877258301 ms	
59 0.1530647277832 ms	
60 0.15497207641602 ms	
61 0.15091896057129 ms	
62 0.14591217041016 ms	
63 0.17619132995605 ms	
64 0.15497207641602 ms	
65 0.1528263092041 ms	
66 0.14996528625488 ms	
67 0.1528263092041 ms	
68 0.16307830810547 ms	
69 0.15687942504883 ms	
70 0.14686584472656 ms	
71 0.15807151794434 ms	
72 0.15711784362793 ms	
73 0.15997886657715 ms	
74 0.14996528625488 ms	
75 0.15902519226074 ms	
76 0.1680850982666 ms	
77 0.15902519226074 ms	
78 0.14615058898926 ms	
79 0.15807151794434 ms	
80 0.16403198242188 ms	
81 0.15687942504883 ms	
82 0.15497207641602 ms	
83 0.16093254089355 ms	
84 0.16307830810547 ms	
85 0.16021728515625 ms	
86 0.1530647277832 ms	
87 0.15997886657715 ms	
88 0.16093254089355 ms	
89 0.16307830810547 ms	
90 0.15091896057129 ms	
91 0.16999244689941 ms	
92 0.16617774963379 ms	
93 0.16188621520996 ms	
94 0.15401840209961 ms	
95 0.27585029602051 ms	
96 0.75793266296387 ms	
97 0.74505805969238 ms	
98 0.74887275695801 ms	
99 0.74601173400879 ms	
100 0.75221061706543 ms	
101 0.74195861816406 ms	
102 0.75602531433105 ms	
103 0.75101852416992 ms	
104 0.74911117553711 ms	
105 0.75006484985352 ms	
106 0.75006484985352 ms	
107 0.75387954711914 ms	
108 0.75387954711914 ms	
109 0.74291229248047 ms	
110 0.72908401489258 ms	
111 0.74219703674316 ms	
112 0.75507164001465 ms	
113 0.74887275695801 ms	
114 0.74601173400879 ms	
115 0.75101852416992 ms	
116 0.73885917663574 ms	
117 0.73599815368652 ms	
118 0.75101852416992 ms	
119 0.75697898864746 ms	
120 0.75197219848633 ms	
121 0.75006484985352 ms	
122 0.75602531433105 ms	
123 0.74887275695801 ms	
124 0.92697143554688 ms	
125 0.55909156799316 ms	
126 0.74505805969238 ms	
127 0.74100494384766 ms	
128 0.74410438537598 ms	
129 0.75101852416992 ms	
130 0.74601173400879 ms	
131 0.75507164001465 ms	
132 0.75697898864746 ms	
133 0.75507164001465 ms	
134 0.75197219848633 ms	
135 0.75316429138184 ms	
136 0.73385238647461 ms	
137 0.75101852416992 ms	
138 0.74577331542969 ms	
139 0.75507164001465 ms	
140 0.75197219848633 ms	
141 0.75101852416992 ms	
142 0.75101852416992 ms	
143 0.73814392089844 ms	
144 0.74982643127441 ms	
145 0.76007843017578 ms	
146 0.75411796569824 ms	
147 0.7472038269043 ms	
148 0.75697898864746 ms	
149 0.75292587280273 ms	
150 0.74100494384766 ms	
**batch size 16**
[?1034h****GPU Data (iter,time)****	
1 127.4139881134 ms	
2 0.17905235290527 ms	
3 0.1680850982666 ms	
4 0.16117095947266 ms	
5 0.16903877258301 ms	
6 0.16093254089355 ms	
7 0.23198127746582 ms	
8 0.16903877258301 ms	
9 0.16307830810547 ms	
10 0.16903877258301 ms	
11 0.16903877258301 ms	
12 0.16093254089355 ms	
13 0.20098686218262 ms	
14 0.15711784362793 ms	
15 0.15521049499512 ms	
16 0.1530647277832 ms	
17 0.16880035400391 ms	
