power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
149.00, 67.57, 26, 1, 12205, 1188, 11017
149.00, 123.56, 100, 28, 12205, 1294, 10911
149.00, 124.94, 100, 28, 12205, 1294, 10911
149.00, 124.32, 100, 28, 12205, 1294, 10911
149.00, 122.98, 100, 28, 12205, 1294, 10911
149.00, 123.28, 100, 28, 12205, 1294, 10911
149.00, 123.58, 100, 28, 12205, 1294, 10911
149.00, 123.28, 100, 28, 12205, 1294, 10911
149.00, 123.58, 100, 28, 12205, 1294, 10911
149.00, 123.28, 100, 28, 12205, 1294, 10911
149.00, 123.28, 100, 28, 12205, 1294, 10911
149.00, 123.88, 100, 28, 12205, 1294, 10911
149.00, 123.58, 100, 28, 12205, 1294, 10911
