power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 45.34, 50, 5, 16276, 1475, 14801
250.00, 46.79, 0, 0, 16276, 1477, 14799
250.00, 46.79, 0, 0, 16276, 1477, 14799
250.00, 46.79, 0, 0, 16276, 1477, 14799
250.00, 46.79, 0, 0, 16276, 1477, 14799
250.00, 46.57, 0, 0, 16276, 1477, 14799
250.00, 46.57, 0, 0, 16276, 1477, 14799
250.00, 46.55, 0, 0, 16276, 1477, 14799
250.00, 46.05, 0, 0, 16276, 1477, 14799
250.00, 46.05, 0, 0, 16276, 1477, 14799
250.00, 46.08, 0, 0, 16276, 1477, 14799
250.00, 46.08, 0, 0, 16276, 1477, 14799
250.00, 45.83, 0, 0, 16276, 1477, 14799
250.00, 45.81, 0, 0, 16276, 1477, 14799
250.00, 45.83, 0, 0, 16276, 1477, 14799
250.00, 45.83, 0, 0, 16276, 1477, 14799
250.00, 45.56, 0, 0, 16276, 1477, 14799
250.00, 45.59, 0, 0, 16276, 1477, 14799
250.00, 45.59, 0, 0, 16276, 1477, 14799
250.00, 45.34, 0, 0, 16276, 1477, 14799
250.00, 45.34, 0, 0, 16276, 1477, 14799
250.00, 45.32, 0, 0, 16276, 1477, 14799
250.00, 45.34, 0, 0, 16276, 1477, 14799
250.00, 45.34, 0, 0, 16276, 1477, 14799
250.00, 45.34, 0, 0, 16276, 1477, 14799
250.00, 45.10, 0, 0, 16276, 1477, 14799
250.00, 45.10, 0, 0, 16276, 1477, 14799
250.00, 44.85, 0, 0, 16276, 1477, 14799
250.00, 45.10, 0, 0, 16276, 1477, 14799
250.00, 44.85, 0, 0, 16276, 1477, 14799
250.00, 44.85, 0, 0, 16276, 1477, 14799
250.00, 44.60, 0, 0, 16276, 1477, 14799
250.00, 44.60, 0, 0, 16276, 1477, 14799
250.00, 44.60, 0, 0, 16276, 1477, 14799
250.00, 44.36, 0, 0, 16276, 1477, 14799
250.00, 44.36, 0, 0, 16276, 1477, 14799
250.00, 44.36, 0, 0, 16276, 1477, 14799
250.00, 44.36, 0, 0, 16276, 1477, 14799
250.00, 44.36, 0, 0, 16276, 1477, 14799
250.00, 44.36, 0, 0, 16276, 1477, 14799
250.00, 44.36, 0, 0, 16276, 1477, 14799
250.00, 44.11, 0, 0, 16276, 1477, 14799
250.00, 44.11, 0, 0, 16276, 1477, 14799
250.00, 44.11, 0, 0, 16276, 1477, 14799
250.00, 43.86, 0, 0, 16276, 1477, 14799
250.00, 43.86, 0, 0, 16276, 1477, 14799
250.00, 43.86, 0, 0, 16276, 1477, 14799
250.00, 43.86, 0, 0, 16276, 1477, 14799
250.00, 43.86, 0, 0, 16276, 1477, 14799
250.00, 43.86, 0, 0, 16276, 1477, 14799
250.00, 43.86, 0, 0, 16276, 1477, 14799
