***nmt_l3_iter_test Benchmarking***
Usage ./run_gpu_nmt_l3_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_nmt_l3_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iteration time in ms)****	
1 2779.205083847 ms	
2 2746.8369007111 ms	
3 2747.6069927216 ms	
4 2748.8160133362 ms	
5 2751.3120174408 ms	
6 2753.5130977631 ms	
7 2754.5869350433 ms	
8 2755.7599544525 ms	
9 2757.1401596069 ms	
10 2757.7769756317 ms	
11 2758.4609985352 ms	
12 2759.850025177 ms	
13 2759.4459056854 ms	
14 2762.2740268707 ms	
15 2761.9271278381 ms	
16 2763.6330127716 ms	
17 2763.897895813 ms	
18 2765.3150558472 ms	
19 2766.8468952179 ms	
20 2799.5808124542 ms	
21 2817.9609775543 ms	
22 2817.9049491882 ms	
23 2817.5919055939 ms	
24 2819.2021846771 ms	
25 2821.5789794922 ms	
26 2821.3210105896 ms	
27 2821.6280937195 ms	
28 2821.9888210297 ms	
29 2822.8490352631 ms	
30 2818.7429904938 ms	
31 2821.2859630585 ms	
32 2819.934129715 ms	
33 2821.8159675598 ms	
34 2822.1399784088 ms	
35 2822.390794754 ms	
36 2822.6249217987 ms	
37 2823.7428665161 ms	
38 2823.0800628662 ms	
39 2822.8108882904 ms	
40 2823.5809803009 ms	
41 2824.2690563202 ms	
42 2826.4288902283 ms	
43 2824.597120285 ms	
44 2824.6879577637 ms	
45 2827.3179531097 ms	
46 2826.3688087463 ms	
47 2824.0261077881 ms	
48 2824.3420124054 ms	
49 2825.7880210876 ms	
50 2826.103925705 ms	
51 2825.5488872528 ms	
52 2871.5929985046 ms	
53 2872.6489543915 ms	
54 2870.0840473175 ms	
55 2872.3230361938 ms	
56 2871.0238933563 ms	
57 2871.4981079102 ms	
58 2873.5198974609 ms	
59 2871.9899654388 ms	
60 2871.4089393616 ms	
61 2873.1150627136 ms	
62 2874.7692108154 ms	
63 2875.1749992371 ms	
64 2873.3749389648 ms	
65 2873.6979961395 ms	
66 2872.9147911072 ms	
67 2872.1630573273 ms	
68 2872.2069263458 ms	
69 2873.2349872589 ms	
70 2872.4520206451 ms	
71 2873.2070922852 ms	
72 2876.4111995697 ms	
73 2877.0959377289 ms	
74 2875.659942627 ms	
75 2875.2899169922 ms	
76 2875.9808540344 ms	
77 2874.7451305389 ms	
78 2875.1180171967 ms	
79 2876.0590553284 ms	
80 2873.918056488 ms	
81 2875.303030014 ms	
82 2876.0809898376 ms	
83 2874.2759227753 ms	
84 2875.0019073486 ms	
85 2873.8679885864 ms	
86 2874.8979568481 ms	
87 2876.4061927795 ms	
88 2876.9190311432 ms	
89 2877.1500587463 ms	
90 2875.5619525909 ms	
91 2873.9619255066 ms	
92 2876.1720657349 ms	
93 2876.1458396912 ms	
94 2874.6480941772 ms	
95 2874.8710155487 ms	
96 2875.8788108826 ms	
97 2874.8350143433 ms	
98 2877.3000240326 ms	
99 2873.0020523071 ms	
100 2876.5480518341 ms	
101 2878.6239624023 ms	
102 2876.3370513916 ms	
103 2875.9729862213 ms	
104 2876.1229515076 ms	
105 2874.3460178375 ms	
106 2876.2309551239 ms	
107 2875.9388923645 ms	
108 2875.433921814 ms	
109 2874.037027359 ms	
110 2877.0208358765 ms	
111 2874.5141029358 ms	
112 2875.1950263977 ms	
113 2872.1888065338 ms	
114 2875.4580020905 ms	
115 2876.0879039764 ms	
116 2876.1341571808 ms	
117 2877.2881031036 ms	
118 2878.3459663391 ms	
119 2877.9859542847 ms	
120 2877.3620128632 ms	
121 2874.5901584625 ms	
122 2876.8219947815 ms	
123 2874.4440078735 ms	
124 2877.0849704742 ms	
125 2876.9550323486 ms	
126 2874.9690055847 ms	
127 2873.2089996338 ms	
128 2876.1830329895 ms	
129 2875.3399848938 ms	
130 2875.6079673767 ms	
131 2875.0188350677 ms	
132 2875.4470348358 ms	
133 2875.2589225769 ms	
134 2874.0358352661 ms	
135 2872.9259967804 ms	
136 2875.4379749298 ms	
137 2875.9570121765 ms	
138 2873.8269805908 ms	
139 2876.1501312256 ms	
140 2875.4100799561 ms	
141 2874.6089935303 ms	
142 2876.0759830475 ms	
143 2875.2200603485 ms	
144 2873.6569881439 ms	
145 2875.5738735199 ms	
146 2874.9010562897 ms	
147 2876.0299682617 ms	
148 2874.419927597 ms	
149 2874.1028308868 ms	
150 2875.5960464478 ms	
**batch size 16**
****GPU Data (iteration time in ms)****	
1 3097.7210998535 ms	
2 3068.8381195068 ms	
3 3068.1819915771 ms	
4 3069.1139698029 ms	
5 3071.0308551788 ms	
6 3070.7550048828 ms	
7 3072.1318721771 ms	
8 3072.8330612183 ms	
9 3073.4040737152 ms	
10 3071.515083313 ms	
11 3072.6940631866 ms	
12 3072.8230476379 ms	
13 3072.1530914307 ms	
14 3072.6718902588 ms	
15 3073.6951828003 ms	
16 3072.4010467529 ms	
17 3076.789855957 ms	
18 3108.3228588104 ms	
19 3106.7309379578 ms	
20 3107.498884201 ms	
21 3107.9430580139 ms	
22 3108.1418991089 ms	
23 3107.1810722351 ms	
24 3108.0420017242 ms	
25 3107.656955719 ms	
26 3108.61992836 ms	
27 3108.6781024933 ms	
28 3108.0319881439 ms	
29 3109.4069480896 ms	
30 3109.0500354767 ms	
31 3108.1409454346 ms	
32 3107.9819202423 ms	
33 3108.3290576935 ms	
34 3108.4699630737 ms	
35 3107.7060699463 ms	
36 3107.5232028961 ms	
37 3107.626914978 ms	
38 3107.7969074249 ms	
