***nmt_l3_iter_test Benchmarking***
Usage ./run_gpu_nmt_l3_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_nmt_l3_iter_test.sh geforce_gtx_maxwell
**batch size 1**
[?1034h****GPU Data (iteration time in ms)****	
1 1978.8770675659 ms	
2 1825.1979351044 ms	
3 1825.5639076233 ms	
4 1825.2398967743 ms	
5 1825.178861618 ms	
6 1825.2489566803 ms	
7 1825.1638412476 ms	
8 1825.8249759674 ms	
9 1825.5689144135 ms	
10 1825.8469104767 ms	
11 1825.1559734344 ms	
12 1825.131893158 ms	
13 1825.3920078278 ms	
14 1825.0250816345 ms	
15 1825.5169391632 ms	
16 1825.2811431885 ms	
17 1825.6409168243 ms	
18 1825.3309726715 ms	
19 1825.0141143799 ms	
20 1825.2167701721 ms	
21 1825.3719806671 ms	
22 1825.5698680878 ms	
23 1825.2389431 ms	
24 1825.2131938934 ms	
25 1825.5050182343 ms	
26 1825.660943985 ms	
27 1825.3130912781 ms	
28 1825.886964798 ms	
29 1825.5460262299 ms	
30 1825.5939483643 ms	
31 1825.8240222931 ms	
32 1825.6220817566 ms	
33 1825.06108284 ms	
34 1825.5331516266 ms	
35 1825.5169391632 ms	
36 1825.5269527435 ms	
37 1825.7369995117 ms	
38 1825.5281448364 ms	
39 1825.7610797882 ms	
40 1825.3471851349 ms	
41 1825.9470462799 ms	
42 1825.6649971008 ms	
43 1825.6959915161 ms	
44 1825.4239559174 ms	
45 1825.4499435425 ms	
46 1825.432062149 ms	
47 1825.9630203247 ms	
48 1825.5839347839 ms	
49 1826.0362148285 ms	
50 1825.453042984 ms	
51 1825.5469799042 ms	
52 1825.630903244 ms	
53 1825.8030414581 ms	
54 1825.9909152985 ms	
55 1826.2939453125 ms	
56 1825.7398605347 ms	
57 1825.6340026855 ms	
58 1826.1868953705 ms	
59 1825.9708881378 ms	
60 1826.1780738831 ms	
61 1826.0059356689 ms	
62 1825.9282112122 ms	
63 1825.9398937225 ms	
64 1825.5178928375 ms	
65 1825.5062103271 ms	
66 1825.6988525391 ms	
67 1825.6788253784 ms	
68 1826.0838985443 ms	
69 1825.5250453949 ms	
70 1826.199054718 ms	
71 1826.0400295258 ms	
72 1826.0450363159 ms	
73 1826.2629508972 ms	
74 1825.4821300507 ms	
75 1826.1158466339 ms	
76 1826.4899253845 ms	
77 1825.9470462799 ms	
78 1825.8101940155 ms	
79 1825.6170749664 ms	
80 1825.4690170288 ms	
81 1825.9029388428 ms	
82 1825.8109092712 ms	
83 1826.0869979858 ms	
84 1825.4380226135 ms	
85 1825.7701396942 ms	
86 1826.2021541595 ms	
87 1826.1020183563 ms	
88 1827.0568847656 ms	
89 1824.2130279541 ms	
90 1825.7751464844 ms	
91 1825.9019851685 ms	
92 1825.3540992737 ms	
93 1825.8340358734 ms	
94 1825.2930641174 ms	
95 1825.8221149445 ms	
96 1825.5670070648 ms	
97 1825.5441188812 ms	
98 1826.4191150665 ms	
99 1827.2840976715 ms	
100 1824.3539333344 ms	
101 1825.2930641174 ms	
102 1826.1609077454 ms	
103 1826.0860443115 ms	
104 1825.6969451904 ms	
105 1825.6680965424 ms	
106 1825.5209922791 ms	
107 1825.6008625031 ms	
108 1825.9410858154 ms	
109 1825.5519866943 ms	
110 1827.8570175171 ms	
111 1823.970079422 ms	
112 1825.7780075073 ms	
113 1825.8140087128 ms	
114 1825.4110813141 ms	
115 1825.8469104767 ms	
116 1825.4871368408 ms	
117 1827.027797699 ms	
118 1824.8620033264 ms	
119 1825.8121013641 ms	
120 1825.6390094757 ms	
121 1827.5430202484 ms	
122 1824.0578174591 ms	
123 1825.9611129761 ms	
124 1825.9689807892 ms	
125 1825.8628845215 ms	
126 1825.5228996277 ms	
127 1825.6089687347 ms	
128 1826.43699646 ms	
129 1825.0939846039 ms	
130 1825.5298137665 ms	
131 1825.3200054169 ms	
132 1827.507019043 ms	
133 1823.8689899445 ms	
134 1826.3831138611 ms	
135 1825.7229328156 ms	
136 1825.2019882202 ms	
137 1826.2500762939 ms	
138 1825.8299827576 ms	
139 1825.9708881378 ms	
140 1825.5951404572 ms	
141 1825.8848190308 ms	
142 1825.9079456329 ms	
143 1827.9452323914 ms	
144 1823.6839771271 ms	
145 1825.7710933685 ms	
146 1825.6478309631 ms	
147 1825.572013855 ms	
148 1825.7529735565 ms	
149 1825.9358406067 ms	
150 1826.1420726776 ms	
**batch size 16**
[?1034h****GPU Data (iteration time in ms)****	
1 5956.5689563751 ms	
2 5792.3679351807 ms	
3 5794.0490245819 ms	
4 5794.3677902222 ms	
5 5795.441865921 ms	
6 5795.1879501343 ms	
7 5795.1600551605 ms	
8 5795.8960533142 ms	
9 5795.3720092773 ms	
10 5795.2089309692 ms	
11 5795.361995697 ms	
12 5795.0909137726 ms	
13 5794.3339347839 ms	
14 5794.8279380798 ms	
15 5793.5600280762 ms	
16 5793.487071991 ms	
17 5794.0669059753 ms	
18 5793.1499481201 ms	
19 5793.4629917145 ms	
20 5793.3611869812 ms	
21 5793.6189174652 ms	
22 5793.9360141754 ms	
23 5794.0120697021 ms	
24 5793.8778400421 ms	
25 5794.1961288452 ms	
26 5793.3921813965 ms	
27 5794.7609424591 ms	
28 5794.2070960999 ms	
29 5793.8430309296 ms	
30 5794.2190170288 ms	
31 5794.7390079498 ms	
32 5794.0080165863 ms	
33 5793.8249111176 ms	
34 5794.429063797 ms	
35 5794.2969799042 ms	
36 5793.4880256653 ms	
37 5793.5481071472 ms	
38 5793.8501834869 ms	
39 5793.8280105591 ms	
40 5793.1468486786 ms	
41 5793.8568592072 ms	
42 5794.0249443054 ms	
43 5794.6510314941 ms	
44 5793.967962265 ms	
45 5794.8589324951 ms	
46 5795.0088977814 ms	
47 5795.3488826752 ms	
48 5795.2151298523 ms	
49 5795.0820922852 ms	
50 5794.0421104431 ms	
51 5794.5659160614 ms	
52 5794.7640419006 ms	
53 5794.2399978638 ms	
54 5794.2368984222 ms	
55 5794.2409515381 ms	
56 5793.8411235809 ms	
57 5794.1060066223 ms	
58 5794.3751811981 ms	
