***nmt_l3_iter_test Benchmarking***
Usage ./run_gpu_nmt_l3_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_nmt_l3_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iteration time in ms)****	
1 2170.0160503387 ms	
2 2094.4559574127 ms	
3 2094.3989753723 ms	
4 2094.3870544434 ms	
5 2094.3930149078 ms	
6 2094.4540500641 ms	
7 2094.5520401001 ms	
8 2094.5250988007 ms	
9 2094.465970993 ms	
10 2094.5541858673 ms	
11 2094.7420597076 ms	
12 2094.4418907166 ms	
13 2094.4991111755 ms	
14 2094.5301055908 ms	
15 2094.6161746979 ms	
16 2094.8119163513 ms	
17 2094.6381092072 ms	
18 2094.5341587067 ms	
19 2094.5839881897 ms	
20 2094.5160388947 ms	
21 2094.4910049438 ms	
22 2096.2970256805 ms	
23 2092.5550460815 ms	
24 2094.4020748138 ms	
25 2094.7158336639 ms	
26 2094.6869850159 ms	
27 2094.621181488 ms	
28 2094.574213028 ms	
29 2094.5188999176 ms	
30 2094.8750972748 ms	
31 2094.516992569 ms	
32 2094.5818424225 ms	
33 2094.603061676 ms	
34 2094.5138931274 ms	
35 2094.5639610291 ms	
36 2094.4480895996 ms	
37 2094.5720672607 ms	
38 2094.5060253143 ms	
39 2094.6350097656 ms	
40 2094.4981575012 ms	
41 2094.447851181 ms	
42 2094.4199562073 ms	
43 2094.6581363678 ms	
44 2094.5870876312 ms	
45 2094.3570137024 ms	
46 2094.574213028 ms	
47 2094.4068431854 ms	
48 2094.5508480072 ms	
49 2094.6199893951 ms	
50 2094.496011734 ms	
51 2094.8350429535 ms	
52 2094.4650173187 ms	
53 2094.810962677 ms	
54 2094.5651531219 ms	
55 2094.514131546 ms	
56 2094.6521759033 ms	
57 2094.7608947754 ms	
58 2094.7070121765 ms	
59 2094.465970993 ms	
60 2094.6309566498 ms	
61 2094.6388244629 ms	
62 2094.496011734 ms	
63 2094.6261882782 ms	
64 2094.7060585022 ms	
65 2094.5730209351 ms	
66 2094.7360992432 ms	
67 2094.7859287262 ms	
68 2094.5229530334 ms	
69 2094.7070121765 ms	
70 2094.8419570923 ms	
71 2094.4449901581 ms	
72 2094.5291519165 ms	
73 2094.5281982422 ms	
74 2094.5420265198 ms	
75 2094.3901538849 ms	
76 2094.5000648499 ms	
77 2094.5990085602 ms	
78 2094.367980957 ms	
79 2094.4199562073 ms	
80 2094.5198535919 ms	
81 2094.5401191711 ms	
82 2094.7210788727 ms	
83 2094.5680141449 ms	
84 2094.5920944214 ms	
85 2094.4368839264 ms	
86 2120.395898819 ms	
87 2093.4588909149 ms	
88 2093.6918258667 ms	
89 2093.9958095551 ms	
90 2093.9400196075 ms	
91 2094.2811965942 ms	
92 2094.4650173187 ms	
93 2094.7051048279 ms	
94 2095.0601100922 ms	
95 2095.3140258789 ms	
96 2094.9108600616 ms	
97 2094.8579311371 ms	
98 2095.3450202942 ms	
99 2095.253944397 ms	
100 2095.8800315857 ms	
101 2095.3350067139 ms	
102 2095.1209068298 ms	
103 2094.8498249054 ms	
104 2094.2499637604 ms	
105 2094.7730541229 ms	
106 2094.7000980377 ms	
107 2094.3410396576 ms	
108 2094.7558879852 ms	
109 2094.7749614716 ms	
110 2094.7580337524 ms	
111 2094.8758125305 ms	
112 2094.5401191711 ms	
113 2094.8340892792 ms	
114 2094.6409702301 ms	
115 2095.2880382538 ms	
116 2094.8300361633 ms	
117 2095.0169563293 ms	
118 2094.8898792267 ms	
119 2094.869852066 ms	
120 2094.6650505066 ms	
121 2094.8009490967 ms	
122 2094.8240756989 ms	
123 2094.5301055908 ms	
124 2094.654083252 ms	
125 2094.6998596191 ms	
126 2094.9158668518 ms	
127 2094.810962677 ms	
128 2094.664812088 ms	
129 2095.0388908386 ms	
130 2094.7349071503 ms	
131 2096.7960357666 ms	
132 2092.7360057831 ms	
133 2094.694852829 ms	
134 2094.9048995972 ms	
135 2094.7179794312 ms	
136 2095.0388908386 ms	
137 2094.9771404266 ms	
138 2095.9551334381 ms	
139 2093.5559272766 ms	
140 2094.4149494171 ms	
141 2094.7561264038 ms	
142 2095.3950881958 ms	
143 2094.1679477692 ms	
144 2094.5410728455 ms	
145 2094.6860313416 ms	
146 2094.5019721985 ms	
147 2094.6290493011 ms	
148 2094.3348407745 ms	
149 2094.2139625549 ms	
150 2094.6419239044 ms	
**batch size 16**
****GPU Data (iteration time in ms)****	
1 2592.6840305328 ms	
2 2512.1440887451 ms	
3 2513.1351947784 ms	
4 2513.6277675629 ms	
5 2513.0770206451 ms	
6 2512.6678943634 ms	
7 2512.8870010376 ms	
8 2513.3700370789 ms	
9 2513.3059024811 ms	
10 2513.8530731201 ms	
11 2514.9540901184 ms	
12 2511.5880966187 ms	
13 2512.6490592957 ms	
14 2513.6179924011 ms	
15 2513.0231380463 ms	
16 2513.3769512177 ms	
17 2513.8990879059 ms	
18 2514.1289234161 ms	
19 2514.5518779755 ms	
20 2514.2319202423 ms	
21 2514.2259597778 ms	
22 2514.1651630402 ms	
23 2513.7450695038 ms	
24 2514.6560668945 ms	
25 2514.5790576935 ms	
26 2514.6400928497 ms	
27 2514.2600536346 ms	
28 2515.0110721588 ms	
29 2514.7478580475 ms	
30 2514.5900249481 ms	
31 2515.035867691 ms	
32 2514.219045639 ms	
33 2515.1679515839 ms	
34 2514.4670009613 ms	
35 2514.7039890289 ms	
36 2514.575958252 ms	
37 2514.5390033722 ms	
38 2514.7111415863 ms	
39 2515.4149532318 ms	
40 2515.3110027313 ms	
41 2514.436006546 ms	
42 2514.2951011658 ms	
43 2514.9471759796 ms	
44 2514.4319534302 ms	
