power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 90.79, 74, 4, 12205, 2471, 9734
250.00, 227.76, 99, 58, 12205, 3151, 9054
250.00, 230.08, 99, 58, 12205, 3151, 9054
250.00, 231.54, 98, 57, 12205, 3151, 9054
250.00, 232.04, 99, 58, 12205, 3151, 9054
250.00, 230.88, 99, 58, 12205, 3151, 9054
250.00, 231.73, 99, 58, 12205, 3151, 9054
250.00, 233.29, 98, 58, 12205, 3151, 9054
250.00, 232.52, 99, 58, 12205, 3151, 9054
250.00, 231.93, 99, 58, 12205, 3151, 9054
250.00, 233.54, 98, 57, 12205, 3151, 9054
250.00, 233.97, 99, 58, 12205, 3151, 9054
250.00, 232.81, 99, 58, 12205, 3151, 9054
250.00, 233.77, 98, 57, 12205, 3151, 9054
