power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 102.96, 74, 4, 12205, 2471, 9734
250.00, 239.05, 99, 55, 12205, 3151, 9054
250.00, 241.09, 99, 55, 12205, 3151, 9054
250.00, 243.15, 98, 54, 12205, 3151, 9054
250.00, 242.04, 99, 55, 12205, 3151, 9054
250.00, 241.76, 99, 55, 12205, 3151, 9054
250.00, 243.77, 98, 54, 12205, 3151, 9054
250.00, 240.43, 99, 54, 12205, 3151, 9054
250.00, 235.81, 99, 54, 12205, 3151, 9054
250.00, 236.14, 98, 54, 12205, 3151, 9054
250.00, 236.30, 99, 54, 12205, 3151, 9054
250.00, 237.28, 98, 54, 12205, 3151, 9054
250.00, 237.05, 99, 54, 12205, 3151, 9054
250.00, 235.20, 99, 54, 12205, 3151, 9054
250.00, 237.37, 98, 54, 12205, 3151, 9054
250.00, 237.40, 99, 54, 12205, 3151, 9054
250.00, 235.72, 99, 54, 12205, 3151, 9054
250.00, 238.74, 99, 54, 12205, 3151, 9054
250.00, 237.08, 99, 54, 12205, 3151, 9054
250.00, 238.04, 98, 53, 12205, 3151, 9054
250.00, 238.39, 99, 54, 12205, 3151, 9054
250.00, 236.90, 99, 54, 12205, 3151, 9054
250.00, 238.62, 98, 54, 12205, 3151, 9054
250.00, 238.93, 99, 54, 12205, 3151, 9054
250.00, 237.70, 99, 54, 12205, 3151, 9054
250.00, 239.10, 99, 54, 12205, 3151, 9054
250.00, 237.73, 99, 54, 12205, 3151, 9054
250.00, 238.46, 98, 54, 12205, 3151, 9054
250.00, 239.24, 99, 54, 12205, 3151, 9054
250.00, 237.71, 99, 54, 12205, 3151, 9054
250.00, 239.32, 98, 54, 12205, 3151, 9054
250.00, 238.68, 99, 54, 12205, 3151, 9054
250.00, 238.64, 98, 54, 12205, 3151, 9054
250.00, 239.25, 99, 54, 12205, 3151, 9054
250.00, 239.08, 99, 54, 12205, 3151, 9054
250.00, 238.56, 98, 54, 12205, 3151, 9054
250.00, 239.85, 99, 54, 12205, 3151, 9054
250.00, 239.82, 99, 54, 12205, 3151, 9054
250.00, 238.19, 98, 54, 12205, 3151, 9054
250.00, 240.16, 99, 54, 12205, 3151, 9054
250.00, 239.81, 98, 54, 12205, 3151, 9054
250.00, 240.21, 99, 54, 12205, 3151, 9054
250.00, 239.75, 99, 54, 12205, 3151, 9054
250.00, 239.75, 98, 54, 12205, 3151, 9054
250.00, 241.55, 99, 54, 12205, 3151, 9054
250.00, 240.08, 98, 54, 12205, 3151, 9054
250.00, 239.66, 99, 54, 12205, 3151, 9054
250.00, 241.05, 99, 54, 12205, 3151, 9054
250.00, 240.27, 99, 54, 12205, 3151, 9054
250.00, 240.70, 99, 54, 12205, 3151, 9054
250.00, 241.75, 99, 54, 12205, 3151, 9054
250.00, 239.09, 98, 54, 12205, 3151, 9054
250.00, 241.71, 99, 54, 12205, 3151, 9054
250.00, 241.24, 99, 54, 12205, 3151, 9054
250.00, 227.53, 99, 53, 12205, 3151, 9054
250.00, 216.42, 99, 52, 12205, 3151, 9054
250.00, 205.86, 99, 51, 12205, 3151, 9054
250.00, 205.13, 99, 50, 12205, 3151, 9054
250.00, 205.99, 99, 51, 12205, 3151, 9054
250.00, 204.61, 99, 51, 12205, 3151, 9054
250.00, 205.00, 99, 51, 12205, 3151, 9054
250.00, 205.89, 99, 51, 12205, 3151, 9054
250.00, 204.32, 99, 50, 12205, 3151, 9054
250.00, 205.50, 99, 51, 12205, 3151, 9054
250.00, 205.57, 99, 51, 12205, 3151, 9054
250.00, 204.80, 99, 51, 12205, 3151, 9054
250.00, 206.05, 99, 51, 12205, 3151, 9054
250.00, 204.61, 99, 51, 12205, 3151, 9054
250.00, 205.29, 99, 50, 12205, 3151, 9054
250.00, 205.60, 99, 51, 12205, 3151, 9054
250.00, 204.13, 99, 51, 12205, 3151, 9054
250.00, 205.86, 99, 51, 12205, 3151, 9054
250.00, 205.31, 99, 51, 12205, 3151, 9054
250.00, 204.84, 99, 50, 12205, 3151, 9054
250.00, 205.76, 99, 51, 12205, 3151, 9054
250.00, 204.45, 99, 51, 12205, 3151, 9054
250.00, 205.03, 99, 51, 12205, 3151, 9054
250.00, 205.76, 99, 51, 12205, 3151, 9054
250.00, 204.45, 99, 51, 12205, 3151, 9054
250.00, 205.76, 99, 50, 12205, 3151, 9054
250.00, 205.31, 99, 51, 12205, 3151, 9054
250.00, 204.82, 99, 51, 12205, 3151, 9054
250.00, 205.86, 99, 51, 12205, 3151, 9054
250.00, 204.35, 99, 51, 12205, 3151, 9054
250.00, 205.31, 99, 50, 12205, 3151, 9054
250.00, 205.28, 99, 51, 12205, 3151, 9054
250.00, 204.06, 99, 51, 12205, 3151, 9054
250.00, 205.40, 99, 50, 12205, 3151, 9054
250.00, 204.93, 99, 51, 12205, 3151, 9054
250.00, 204.55, 99, 51, 12205, 3151, 9054
250.00, 205.60, 99, 50, 12205, 3151, 9054
250.00, 204.35, 99, 51, 12205, 3151, 9054
250.00, 210.13, 99, 51, 12205, 3151, 9054
250.00, 212.80, 99, 52, 12205, 3151, 9054
