***nmt_l5_iter_test Benchmarking***
Usage ./run_gpu_nmt_l5_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_nmt_l5_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iteration time in ms)****	
1 3181.2701225281 ms	
2 3007.2078704834 ms	
3 3008.061170578 ms	
4 3007.8639984131 ms	
5 3007.6730251312 ms	
6 3007.8670978546 ms	
7 3008.1281661987 ms	
8 3007.5879096985 ms	
9 3007.7831745148 ms	
10 3008.3751678467 ms	
11 3007.7710151672 ms	
12 3007.7931880951 ms	
13 3007.8349113464 ms	
14 3008.1820487976 ms	
15 3007.7910423279 ms	
16 3008.0618858337 ms	
17 3007.7731609344 ms	
18 3008.317232132 ms	
19 3008.0721378326 ms	
20 3008.3718299866 ms	
21 3008.9130401611 ms	
22 3008.8219642639 ms	
23 3008.4230899811 ms	
24 3008.6607933044 ms	
25 3008.2199573517 ms	
26 3008.2309246063 ms	
27 3008.3920955658 ms	
28 3008.2831382751 ms	
29 3008.3448886871 ms	
30 3008.7950229645 ms	
31 3007.9281330109 ms	
32 3008.761882782 ms	
33 3008.5768699646 ms	
34 3008.5520744324 ms	
35 3009.1440677643 ms	
36 3008.8679790497 ms	
37 3008.7521076202 ms	
38 3008.5110664368 ms	
39 3008.9921951294 ms	
40 3008.7819099426 ms	
41 3008.269071579 ms	
42 3008.2631111145 ms	
43 3009.1080665588 ms	
44 3008.9681148529 ms	
45 3008.2380771637 ms	
46 3008.5368156433 ms	
47 3008.5430145264 ms	
48 3009.3560218811 ms	
49 3008.6960792542 ms	
50 3007.9779624939 ms	
51 3008.3849430084 ms	
52 3008.7349414825 ms	
53 3008.9390277863 ms	
54 3008.7611675262 ms	
55 3008.5458755493 ms	
56 3008.533000946 ms	
57 3008.5458755493 ms	
58 3009.003162384 ms	
59 3009.1030597687 ms	
60 3009.4568729401 ms	
61 3008.1479549408 ms	
62 3009.1090202332 ms	
63 3008.9139938354 ms	
64 3008.4412097931 ms	
65 3008.6159706116 ms	
66 3008.339881897 ms	
67 3008.25715065 ms	
68 3008.8560581207 ms	
69 3012.1011734009 ms	
70 3006.1378479004 ms	
71 3008.96692276 ms	
72 3008.7440013885 ms	
73 3008.5399150848 ms	
74 3009.3598365784 ms	
75 3008.8918209076 ms	
76 3009.0570449829 ms	
77 3008.6879730225 ms	
78 3008.5048675537 ms	
79 3009.3348026276 ms	
80 3008.800983429 ms	
81 3008.9609622955 ms	
82 3008.9890956879 ms	
83 3009.0448856354 ms	
84 3008.9750289917 ms	
85 3008.4800720215 ms	
86 3008.8391304016 ms	
87 3008.7928771973 ms	
88 3009.1400146484 ms	
89 3008.2559585571 ms	
90 3009.1562271118 ms	
91 3009.0479850769 ms	
92 3008.5937976837 ms	
93 3008.7609291077 ms	
94 3008.3820819855 ms	
95 3008.358001709 ms	
96 3009.2930793762 ms	
97 3008.4328651428 ms	
98 3009.2461109161 ms	
99 3009.1400146484 ms	
100 3008.7690353394 ms	
101 3008.9600086212 ms	
102 3008.8310241699 ms	
103 3009.507894516 ms	
104 3008.7480545044 ms	
105 3009.0329647064 ms	
106 3008.2590579987 ms	
107 3008.6240768433 ms	
108 3008.5091590881 ms	
109 3008.9128017426 ms	
110 3008.4588527679 ms	
111 3008.2430839539 ms	
112 3008.917093277 ms	
113 3008.7358951569 ms	
114 3008.8651180267 ms	
115 3008.7180137634 ms	
116 3008.4500312805 ms	
117 3009.1829299927 ms	
118 3008.9039802551 ms	
119 3008.6629390717 ms	
120 3008.6441040039 ms	
121 3008.9521408081 ms	
122 3008.9569091797 ms	
123 3009.0360641479 ms	
124 3008.073091507 ms	
125 3008.3620548248 ms	
126 3008.7020397186 ms	
127 3008.5959434509 ms	
128 3008.376121521 ms	
129 3009.1209411621 ms	
130 3008.8109970093 ms	
131 3008.4729194641 ms	
132 3008.4819793701 ms	
133 3008.6178779602 ms	
134 3008.4660053253 ms	
135 3008.1970691681 ms	
136 3008.1388950348 ms	
137 3008.8379383087 ms	
138 3010.7970237732 ms	
139 3005.5358409882 ms	
140 3008.8469982147 ms	
141 3009.6459388733 ms	
142 3009.0081691742 ms	
143 3008.7180137634 ms	
144 3008.780002594 ms	
145 3008.4099769592 ms	
146 3008.6591243744 ms	
147 3008.6669921875 ms	
148 3009.222984314 ms	
149 3009.1581344604 ms	
150 3008.8670253754 ms	
**batch size 16**
****GPU Data (iteration time in ms)****	
1 9698.9560127258 ms	
2 9553.9321899414 ms	
3 9555.0079345703 ms	
4 9556.1180114746 ms	
