power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 74.80, 9, 0, 12205, 1405, 10800
250.00, 74.80, 57, 4, 12205, 1606, 10599
250.00, 74.80, 57, 4, 12205, 1607, 10598
250.00, 74.80, 57, 4, 12205, 1608, 10597
250.00, 74.80, 57, 4, 12205, 1609, 10596
250.00, 74.80, 57, 4, 12205, 1611, 10594
250.00, 74.80, 57, 4, 12205, 1612, 10593
250.00, 74.80, 57, 4, 12205, 1613, 10592
250.00, 75.78, 57, 4, 12205, 1615, 10590
250.00, 75.78, 57, 4, 12205, 1616, 10589
250.00, 75.78, 57, 4, 12205, 1618, 10587
250.00, 75.78, 57, 4, 12205, 1619, 10586
250.00, 75.78, 57, 4, 12205, 1621, 10584
250.00, 75.78, 57, 4, 12205, 2202, 10003
250.00, 75.78, 57, 4, 12205, 2790, 9415
250.00, 75.78, 25, 16, 12205, 2843, 9362
250.00, 115.91, 25, 16, 12205, 2843, 9362
250.00, 115.91, 25, 16, 12205, 2843, 9362
