power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
149.00, 61.74, 75, 4, 12205, 1271, 10934
149.00, 61.74, 75, 4, 12205, 1272, 10933
149.00, 61.74, 75, 4, 12205, 1273, 10932
149.00, 61.74, 75, 4, 12205, 1275, 10930
149.00, 61.74, 75, 4, 12205, 1276, 10929
149.00, 61.74, 75, 4, 12205, 1278, 10927
149.00, 61.09, 75, 4, 12205, 1279, 10926
149.00, 61.09, 75, 4, 12205, 1281, 10924
149.00, 61.09, 75, 4, 12205, 1282, 10923
149.00, 61.09, 75, 4, 12205, 1283, 10922
149.00, 61.09, 75, 4, 12205, 1285, 10920
149.00, 61.09, 75, 4, 12205, 1300, 10905
149.00, 61.09, 9, 0, 12205, 1598, 10607
149.00, 61.09, 9, 0, 12205, 1654, 10551
149.00, 61.09, 9, 0, 12205, 1654, 10551
149.00, 71.57, 9, 0, 12205, 1654, 10551
