***vgg16_iter_test Benchmarking***
Usage ./run_gpu_vgg16_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_vgg16_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iteration time in ms)****	
1 149.24502372742 ms	
2 0.79917907714844 ms	
3 0.85091590881348 ms	
4 0.77199935913086 ms	
5 0.77486038208008 ms	
6 0.88095664978027 ms	
7 0.78892707824707 ms	
8 0.80704689025879 ms	
9 0.82087516784668 ms	
10 0.79488754272461 ms	
11 0.81086158752441 ms	
12 0.82087516784668 ms	
13 0.84686279296875 ms	
14 0.83684921264648 ms	
15 0.86092948913574 ms	
16 22.097110748291 ms	
17 28.455972671509 ms	
18 28.433799743652 ms	
19 28.564929962158 ms	
20 28.50604057312 ms	
21 28.57518196106 ms	
22 26.09395980835 ms	
23 26.044845581055 ms	
24 26.008129119873 ms	
25 26.077032089233 ms	
26 26.079893112183 ms	
27 26.040077209473 ms	
28 24.691820144653 ms	
29 23.674964904785 ms	
30 23.804187774658 ms	
31 23.720979690552 ms	
32 23.734092712402 ms	
33 23.72407913208 ms	
34 23.689985275269 ms	
35 23.438930511475 ms	
36 23.19598197937 ms	
37 23.163080215454 ms	
38 23.176193237305 ms	
39 23.159980773926 ms	
40 23.141145706177 ms	
41 23.107051849365 ms	
42 23.173809051514 ms	
43 23.196935653687 ms	
44 23.142099380493 ms	
45 23.221015930176 ms	
46 23.219108581543 ms	
47 23.235082626343 ms	
48 23.20384979248 ms	
49 23.174047470093 ms	
50 23.21195602417 ms	
51 23.188829421997 ms	
52 23.146152496338 ms	
53 23.156881332397 ms	
54 23.141860961914 ms	
55 23.138046264648 ms	
56 23.156881332397 ms	
57 23.089170455933 ms	
58 23.092985153198 ms	
59 23.21195602417 ms	
60 23.138046264648 ms	
61 23.259162902832 ms	
62 23.162126541138 ms	
63 23.126125335693 ms	
64 23.200988769531 ms	
65 23.109912872314 ms	
66 23.158073425293 ms	
67 23.226976394653 ms	
68 23.183107376099 ms	
69 23.152112960815 ms	
70 23.148059844971 ms	
71 23.221015930176 ms	
72 23.118019104004 ms	
73 23.155927658081 ms	
74 23.159027099609 ms	
75 23.159980773926 ms	
76 24.651050567627 ms	
77 21.57998085022 ms	
78 23.276090621948 ms	
79 23.165941238403 ms	
80 23.179054260254 ms	
81 23.128032684326 ms	
82 23.206949234009 ms	
83 23.149967193604 ms	
84 23.258924484253 ms	
85 23.184061050415 ms	
86 23.199081420898 ms	
87 23.194074630737 ms	
88 23.236036300659 ms	
89 23.15878868103 ms	
90 23.153066635132 ms	
91 23.236989974976 ms	
92 23.113965988159 ms	
93 23.186922073364 ms	
94 23.203134536743 ms	
95 23.108959197998 ms	
96 23.146867752075 ms	
97 23.161888122559 ms	
98 23.181915283203 ms	
99 23.074865341187 ms	
100 23.109912872314 ms	
101 23.169040679932 ms	
102 23.093938827515 ms	
103 23.152112960815 ms	
104 23.195028305054 ms	
105 23.07391166687 ms	
106 23.216009140015 ms	
107 23.162126541138 ms	
108 23.228168487549 ms	
109 23.132085800171 ms	
110 23.108005523682 ms	
111 23.102998733521 ms	
112 23.158073425293 ms	
113 23.185014724731 ms	
114 23.145914077759 ms	
115 23.102045059204 ms	
116 23.24390411377 ms	
117 23.203134536743 ms	
118 23.185014724731 ms	
119 23.154973983765 ms	
120 23.219108581543 ms	
121 23.140907287598 ms	
122 23.149013519287 ms	
123 23.167133331299 ms	
124 23.11897277832 ms	
125 23.193836212158 ms	
