power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 102.46, 43, 2, 12205, 3085, 9120
250.00, 102.46, 43, 2, 12205, 3088, 9117
250.00, 102.46, 43, 2, 12205, 3090, 9115
250.00, 102.46, 43, 2, 12205, 3093, 9112
250.00, 102.46, 43, 2, 12205, 3095, 9110
250.00, 102.46, 43, 2, 12205, 3097, 9108
250.00, 102.46, 43, 2, 12205, 3101, 9104
250.00, 102.46, 43, 2, 12205, 6739, 5466
250.00, 102.46, 37, 11, 12205, 7606, 4599
250.00, 128.70, 37, 11, 12205, 7606, 4599
250.00, 128.70, 37, 11, 12205, 7606, 4599
250.00, 128.70, 37, 11, 12205, 7606, 4599
250.00, 128.70, 37, 11, 12205, 7606, 4599
250.00, 128.70, 37, 11, 12205, 7606, 4599
250.00, 128.70, 37, 11, 12205, 7606, 4599
250.00, 128.70, 37, 11, 12205, 8600, 3605
250.00, 128.70, 37, 11, 12205, 8600, 3605
250.00, 128.70, 37, 11, 12205, 8600, 3605
250.00, 214.97, 37, 11, 12205, 8600, 3605
250.00, 214.97, 37, 11, 12205, 8600, 3605
250.00, 214.97, 37, 11, 12205, 8600, 3605
250.00, 214.97, 37, 11, 12205, 8600, 3605
250.00, 214.97, 37, 11, 12205, 8600, 3605
250.00, 214.97, 99, 92, 12205, 8600, 3605
250.00, 214.97, 99, 92, 12205, 8600, 3605
250.00, 214.97, 99, 92, 12205, 8600, 3605
250.00, 214.97, 99, 92, 12205, 8600, 3605
250.00, 235.64, 99, 92, 12205, 8600, 3605
250.00, 235.64, 99, 92, 12205, 8600, 3605
250.00, 235.64, 99, 92, 12205, 8600, 3605
250.00, 235.64, 99, 92, 12205, 8992, 3213
250.00, 235.64, 99, 92, 12205, 9020, 3185
250.00, 235.64, 99, 92, 12205, 9020, 3185
250.00, 235.64, 99, 92, 12205, 9020, 3185
250.00, 235.64, 99, 92, 12205, 9020, 3185
250.00, 235.64, 99, 92, 12205, 9020, 3185
250.00, 238.63, 99, 92, 12205, 9020, 3185
250.00, 238.63, 99, 92, 12205, 9020, 3185
250.00, 238.63, 99, 68, 12205, 9020, 3185
250.00, 238.63, 99, 68, 12205, 9020, 3185
250.00, 238.63, 99, 68, 12205, 9020, 3185
250.00, 238.63, 99, 68, 12205, 9020, 3185
250.00, 238.63, 99, 68, 12205, 9020, 3185
250.00, 238.63, 99, 68, 12205, 9020, 3185
250.00, 238.63, 99, 68, 12205, 9020, 3185
250.00, 241.03, 99, 68, 12205, 9020, 3185
250.00, 241.03, 99, 68, 12205, 9439, 2766
250.00, 241.03, 99, 68, 12205, 9439, 2766
250.00, 241.03, 99, 68, 12205, 9439, 2766
250.00, 241.03, 99, 68, 12205, 9439, 2766
250.00, 241.03, 99, 68, 12205, 9439, 2766
250.00, 241.03, 99, 68, 12205, 9439, 2766
250.00, 241.03, 99, 68, 12205, 9859, 2346
250.00, 241.03, 99, 62, 12205, 9859, 2346
250.00, 255.93, 99, 62, 12205, 9859, 2346
250.00, 255.93, 99, 62, 12205, 9859, 2346
250.00, 255.93, 99, 62, 12205, 9859, 2346
250.00, 255.93, 99, 62, 12205, 9859, 2346
250.00, 255.93, 99, 62, 12205, 9859, 2346
250.00, 255.93, 99, 62, 12205, 9859, 2346
250.00, 255.93, 99, 62, 12205, 9859, 2346
250.00, 255.93, 99, 62, 12205, 9859, 2346
250.00, 255.93, 99, 62, 12205, 10356, 1849
250.00, 256.80, 99, 60, 12205, 10356, 1849
250.00, 256.80, 99, 60, 12205, 10356, 1849
250.00, 256.80, 99, 60, 12205, 10356, 1849
250.00, 256.80, 99, 60, 12205, 10356, 1849
250.00, 256.80, 99, 60, 12205, 10356, 1849
250.00, 256.80, 99, 60, 12205, 10356, 1849
250.00, 256.80, 99, 60, 12205, 10356, 1849
250.00, 256.80, 99, 60, 12205, 10356, 1849
250.00, 252.62, 99, 60, 12205, 10356, 1849
250.00, 252.62, 99, 60, 12205, 10566, 1639
250.00, 252.62, 99, 60, 12205, 10566, 1639
250.00, 252.62, 99, 60, 12205, 10566, 1639
250.00, 252.62, 99, 60, 12205, 10566, 1639
250.00, 252.62, 99, 60, 12205, 10566, 1639
250.00, 252.62, 99, 60, 12205, 10566, 1639
250.00, 252.62, 99, 60, 12205, 10566, 1639
250.00, 252.62, 99, 60, 12205, 10566, 1639
250.00, 248.55, 99, 60, 12205, 10566, 1639
250.00, 248.55, 99, 60, 12205, 10566, 1639
250.00, 248.55, 99, 59, 12205, 10566, 1639
250.00, 248.55, 99, 59, 12205, 10566, 1639
250.00, 248.55, 99, 59, 12205, 10776, 1429
250.00, 248.55, 99, 59, 12205, 10776, 1429
250.00, 248.55, 99, 59, 12205, 10776, 1429
250.00, 248.55, 99, 59, 12205, 10776, 1429
250.00, 248.55, 99, 59, 12205, 10776, 1429
250.00, 242.86, 99, 59, 12205, 10975, 1230
250.00, 242.86, 99, 59, 12205, 10975, 1230
250.00, 242.86, 99, 59, 12205, 10975, 1230
250.00, 242.86, 99, 59, 12205, 10975, 1230
250.00, 242.86, 99, 59, 12205, 10975, 1230
250.00, 242.86, 99, 59, 12205, 10975, 1230
250.00, 242.86, 99, 59, 12205, 10975, 1230
250.00, 242.86, 99, 59, 12205, 10975, 1230
250.00, 242.86, 99, 33, 12205, 10975, 1230
250.00, 247.43, 99, 33, 12205, 11028, 1177
250.00, 247.43, 99, 33, 12205, 11028, 1177
250.00, 247.43, 99, 33, 12205, 11028, 1177
250.00, 247.43, 99, 33, 12205, 11028, 1177
250.00, 247.43, 99, 33, 12205, 11028, 1177
250.00, 247.43, 99, 33, 12205, 11028, 1177
250.00, 247.43, 99, 33, 12205, 11028, 1177
250.00, 247.43, 99, 33, 12205, 11028, 1177
250.00, 247.43, 99, 33, 12205, 11028, 1177
250.00, 252.16, 99, 33, 12205, 11028, 1177
250.00, 252.16, 99, 33, 12205, 11080, 1125
250.00, 252.16, 99, 33, 12205, 11080, 1125
250.00, 252.16, 99, 33, 12205, 11080, 1125
250.00, 252.16, 99, 33, 12205, 11080, 1125
250.00, 252.16, 99, 26, 12205, 11080, 1125
250.00, 252.16, 99, 26, 12205, 11080, 1125
250.00, 252.16, 99, 26, 12205, 11080, 1125
250.00, 252.16, 99, 26, 12205, 11080, 1125
250.00, 225.95, 99, 27, 12205, 11133, 1072
