power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 44.58, 67, 7, 16276, 3245, 13031
250.00, 44.58, 67, 7, 16276, 3245, 13031
250.00, 44.58, 67, 7, 16276, 3247, 13029
250.00, 44.58, 67, 7, 16276, 3249, 13027
250.00, 44.58, 67, 7, 16276, 3251, 13025
250.00, 44.82, 67, 7, 16276, 3253, 13023
250.00, 44.82, 67, 7, 16276, 3255, 13021
250.00, 44.82, 67, 7, 16276, 3257, 13019
250.00, 45.07, 67, 7, 16276, 3259, 13017
250.00, 45.07, 7, 0, 16276, 3261, 13015
250.00, 45.07, 7, 0, 16276, 3265, 13011
250.00, 45.07, 7, 0, 16276, 3265, 13011
250.00, 45.07, 7, 0, 16276, 3269, 13007
250.00, 45.07, 7, 0, 16276, 3269, 13007
250.00, 45.07, 7, 0, 16276, 3271, 13005
250.00, 45.07, 7, 0, 16276, 3271, 13005
250.00, 45.07, 7, 0, 16276, 3273, 13003
250.00, 100.72, 7, 0, 16276, 3277, 12999
250.00, 100.72, 7, 0, 16276, 5349, 10927
250.00, 150.97, 7, 0, 16276, 7729, 8547
250.00, 170.95, 7, 0, 16276, 7785, 8491
250.00, 177.22, 39, 100, 16276, 7785, 8491
250.00, 177.22, 39, 100, 16276, 8779, 7497
250.00, 180.65, 39, 100, 16276, 8779, 7497
250.00, 180.89, 39, 100, 16276, 8779, 7497
250.00, 180.89, 39, 100, 16276, 8779, 7497
250.00, 181.54, 39, 100, 16276, 8779, 7497
250.00, 182.12, 39, 100, 16276, 8779, 7497
250.00, 182.12, 39, 100, 16276, 8779, 7497
250.00, 153.18, 39, 100, 16276, 8779, 7497
250.00, 148.04, 39, 100, 16276, 8779, 7497
250.00, 148.04, 39, 100, 16276, 9199, 7077
250.00, 147.13, 39, 100, 16276, 9199, 7077
250.00, 142.73, 99, 100, 16276, 9199, 7077
250.00, 142.73, 99, 100, 16276, 9199, 7077
250.00, 153.66, 99, 100, 16276, 9199, 7077
250.00, 154.89, 99, 100, 16276, 9619, 6657
250.00, 154.89, 99, 100, 16276, 9619, 6657
250.00, 154.65, 99, 100, 16276, 9619, 6657
250.00, 155.14, 99, 100, 16276, 9619, 6657
250.00, 155.14, 99, 100, 16276, 9619, 6657
250.00, 153.91, 99, 100, 16276, 9619, 6657
250.00, 155.88, 99, 100, 16276, 10039, 6237
250.00, 155.88, 99, 100, 16276, 10039, 6237
250.00, 154.65, 99, 100, 16276, 10039, 6237
250.00, 163.38, 99, 100, 16276, 10039, 6237
250.00, 163.38, 99, 100, 16276, 10039, 6237
250.00, 165.34, 99, 100, 16276, 10537, 5739
250.00, 166.80, 99, 100, 16276, 10537, 5739
250.00, 166.80, 99, 100, 16276, 10537, 5739
250.00, 168.03, 99, 100, 16276, 10537, 5739
250.00, 166.80, 99, 100, 16276, 10537, 5739
250.00, 166.80, 99, 100, 16276, 10537, 5739
250.00, 169.50, 99, 100, 16276, 10747, 5529
250.00, 169.99, 99, 100, 16276, 10747, 5529
250.00, 169.99, 99, 100, 16276, 10747, 5529
