power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
149.00, 61.58, 85, 4, 12205, 1294, 10911
149.00, 61.18, 85, 4, 12205, 1311, 10894
149.00, 61.18, 85, 4, 12205, 1312, 10893
149.00, 61.18, 85, 4, 12205, 1314, 10891
149.00, 61.18, 85, 4, 12205, 1315, 10890
149.00, 61.18, 85, 4, 12205, 1316, 10889
149.00, 61.18, 85, 4, 12205, 1318, 10887
149.00, 61.18, 85, 4, 12205, 1319, 10886
149.00, 61.18, 85, 4, 12205, 1320, 10885
149.00, 61.18, 85, 4, 12205, 1322, 10883
149.00, 60.27, 85, 4, 12205, 1324, 10881
149.00, 60.27, 85, 4, 12205, 1325, 10880
149.00, 60.27, 11, 0, 12205, 1563, 10642
149.00, 60.27, 11, 0, 12205, 1733, 10472
149.00, 60.27, 11, 0, 12205, 1733, 10472
149.00, 60.27, 11, 0, 12205, 1733, 10472
149.00, 60.27, 11, 0, 12205, 1733, 10472
149.00, 60.27, 11, 0, 12205, 1733, 10472
149.00, 60.27, 11, 0, 12205, 1733, 10472
149.00, 83.70, 11, 0, 12205, 1733, 10472
149.00, 83.70, 11, 0, 12205, 1733, 10472
149.00, 83.70, 11, 0, 12205, 1733, 10472
149.00, 83.70, 11, 0, 12205, 1733, 10472
149.00, 83.70, 11, 0, 12205, 1733, 10472
149.00, 83.70, 11, 0, 12205, 1733, 10472
149.00, 83.70, 11, 0, 12205, 1733, 10472
149.00, 83.70, 11, 0, 12205, 1733, 10472
149.00, 98.96, 97, 32, 12205, 1733, 10472
149.00, 98.96, 97, 32, 12205, 1733, 10472
149.00, 98.96, 97, 32, 12205, 1733, 10472
149.00, 98.96, 97, 32, 12205, 1733, 10472
149.00, 98.96, 97, 32, 12205, 1733, 10472
149.00, 98.96, 97, 32, 12205, 1733, 10472
149.00, 98.96, 97, 32, 12205, 1733, 10472
149.00, 98.96, 97, 32, 12205, 1733, 10472
149.00, 98.96, 97, 32, 12205, 1733, 10472
149.00, 110.87, 97, 32, 12205, 1733, 10472
149.00, 110.87, 97, 32, 12205, 1733, 10472
149.00, 110.87, 97, 32, 12205, 1733, 10472
149.00, 110.87, 97, 32, 12205, 1733, 10472
149.00, 110.87, 97, 32, 12205, 1733, 10472
149.00, 110.87, 99, 38, 12205, 1733, 10472
149.00, 110.87, 99, 38, 12205, 1733, 10472
149.00, 110.87, 99, 38, 12205, 1733, 10472
149.00, 110.87, 99, 38, 12205, 1733, 10472
149.00, 119.76, 99, 38, 12205, 1733, 10472
149.00, 119.76, 99, 38, 12205, 1733, 10472
149.00, 119.76, 99, 38, 12205, 1733, 10472
149.00, 119.76, 99, 38, 12205, 1733, 10472
149.00, 119.76, 99, 38, 12205, 1733, 10472
149.00, 119.76, 99, 38, 12205, 1733, 10472
149.00, 119.76, 99, 38, 12205, 1733, 10472
149.00, 119.76, 99, 38, 12205, 1733, 10472
149.00, 119.76, 99, 38, 12205, 1733, 10472
149.00, 127.27, 99, 38, 12205, 1733, 10472
149.00, 127.27, 99, 38, 12205, 1733, 10472
149.00, 127.27, 99, 38, 12205, 1733, 10472
149.00, 127.27, 99, 38, 12205, 1733, 10472
149.00, 127.27, 99, 38, 12205, 1733, 10472
149.00, 127.27, 99, 38, 12205, 1733, 10472
149.00, 127.27, 99, 38, 12205, 1733, 10472
149.00, 127.27, 99, 38, 12205, 1733, 10472
149.00, 127.27, 99, 38, 12205, 1733, 10472
