***vgg19_iter_test Benchmarking***
Usage ./run_gpu_vgg19_iter_test.sh <typeofgpu> <number of iterations>--> e.g: ./run_gpu_vgg19_iter_test.sh geforce_gtx_maxwell 100
**batch size 1**
****GPU Data (iteration time in ms)****	
1 88.966131210327 ms	
2 0.8690357208252 ms	
3 0.89192390441895 ms	
4 0.84686279296875 ms	
5 0.85306167602539 ms	
6 0.84400177001953 ms	
7 0.81992149353027 ms	
8 0.83804130554199 ms	
9 0.81706047058105 ms	
10 0.81896781921387 ms	
11 0.82492828369141 ms	
12 0.82802772521973 ms	
13 10.446071624756 ms	
14 15.018939971924 ms	
15 15.185117721558 ms	
16 15.103816986084 ms	
17 15.177011489868 ms	
18 15.084981918335 ms	
19 15.043973922729 ms	
20 15.167951583862 ms	
21 15.123844146729 ms	
22 15.154838562012 ms	
23 15.742063522339 ms	
24 15.110969543457 ms	
25 15.161991119385 ms	
26 15.159130096436 ms	
27 15.084981918335 ms	
28 15.154838562012 ms	
29 15.167951583862 ms	
30 15.067100524902 ms	
31 15.083074569702 ms	
32 15.00391960144 ms	
33 15.208959579468 ms	
34 15.213966369629 ms	
35 15.033006668091 ms	
36 15.254974365234 ms	
37 15.153884887695 ms	
38 14.993906021118 ms	
39 14.967918395996 ms	
40 15.05184173584 ms	
41 15.208005905151 ms	
42 15.17391204834 ms	
43 15.117883682251 ms	
44 15.118837356567 ms	
45 15.062093734741 ms	
46 15.067100524902 ms	
47 15.244960784912 ms	
48 15.15007019043 ms	
49 15.048980712891 ms	
50 15.143156051636 ms	
51 15.187978744507 ms	
52 15.317916870117 ms	
53 15.18988609314 ms	
54 15.08092880249 ms	
55 14.972925186157 ms	
56 15.825033187866 ms	
57 15.039205551147 ms	
58 15.199184417725 ms	
59 15.114068984985 ms	
60 15.193939208984 ms	
61 15.16318321228 ms	
62 15.212059020996 ms	
63 15.205860137939 ms	
64 15.210866928101 ms	
65 15.254020690918 ms	
66 15.249967575073 ms	
67 15.043020248413 ms	
68 15.108108520508 ms	
69 15.271902084351 ms	
70 15.036106109619 ms	
71 15.141010284424 ms	
72 15.18988609314 ms	
73 14.968872070312 ms	
74 15.107870101929 ms	
75 15.26403427124 ms	
76 15.174150466919 ms	
77 15.326023101807 ms	
78 15.103816986084 ms	
79 14.981031417847 ms	
80 15.218019485474 ms	
81 15.147924423218 ms	
82 15.094995498657 ms	
83 15.273809432983 ms	
84 15.125036239624 ms	
85 15.021800994873 ms	
86 15.182018280029 ms	
87 15.162944793701 ms	
88 15.188932418823 ms	
89 16.560792922974 ms	
90 15.166044235229 ms	
91 15.169143676758 ms	
92 15.058994293213 ms	
93 15.263080596924 ms	
94 15.079021453857 ms	
95 15.06781578064 ms	
96 15.151977539062 ms	
97 15.115976333618 ms	
98 14.965057373047 ms	
