***vgg19_iter_test Benchmarking***
Usage ./run_gpu_vgg19_iter_test.sh <typeofgpu> <number of iterations>--> e.g: ./run_gpu_vgg19_iter_test.sh geforce_gtx_maxwell 100
**batch size 1**
[?1034h****GPU Data (iteration time in ms)****	
1 149.6250629425 ms	
2 0.94699859619141 ms	
3 0.97012519836426 ms	
4 0.87285041809082 ms	
5 0.92911720275879 ms	
6 0.87308883666992 ms	
7 0.87904930114746 ms	
8 0.91195106506348 ms	
9 0.9160041809082 ms	
10 0.91910362243652 ms	
11 0.93317031860352 ms	
12 0.95701217651367 ms	
13 6.7849159240723 ms	
14 31.477928161621 ms	
15 33.920049667358 ms	
16 33.93816947937 ms	
17 33.903837203979 ms	
18 31.113147735596 ms	
19 30.945062637329 ms	
20 31.023979187012 ms	
21 30.965805053711 ms	
22 31.033039093018 ms	
23 29.35004234314 ms	
24 27.988910675049 ms	
25 28.043031692505 ms	
26 28.004884719849 ms	
27 28.066158294678 ms	
28 28.018951416016 ms	
29 27.624845504761 ms	
30 27.317047119141 ms	
31 27.330160140991 ms	
32 27.204036712646 ms	
33 27.30393409729 ms	
34 27.483940124512 ms	
35 26.896953582764 ms	
36 26.911973953247 ms	
37 26.890993118286 ms	
38 26.834011077881 ms	
39 26.901960372925 ms	
40 26.836156845093 ms	
41 26.84497833252 ms	
42 26.937007904053 ms	
43 26.89003944397 ms	
44 26.906967163086 ms	
45 26.849985122681 ms	
46 26.857852935791 ms	
47 26.824951171875 ms	
48 26.873826980591 ms	
49 26.844024658203 ms	
50 26.859045028687 ms	
51 26.863813400269 ms	
52 26.80516242981 ms	
53 26.880025863647 ms	
54 26.90601348877 ms	
55 26.931047439575 ms	
56 26.856899261475 ms	
57 26.813983917236 ms	
58 26.876926422119 ms	
59 26.875019073486 ms	
60 26.897192001343 ms	
61 26.859998703003 ms	
62 26.88193321228 ms	
63 26.909112930298 ms	
64 26.885032653809 ms	
65 26.90315246582 ms	
66 26.886940002441 ms	
67 26.81303024292 ms	
68 26.82089805603 ms	
69 26.80516242981 ms	
70 26.948928833008 ms	
71 26.834964752197 ms	
72 26.844024658203 ms	
73 26.887178421021 ms	
74 26.923179626465 ms	
75 26.910066604614 ms	
76 26.827096939087 ms	
77 26.849985122681 ms	
78 26.805877685547 ms	
79 26.863098144531 ms	
80 26.840925216675 ms	
81 26.884078979492 ms	
82 26.880979537964 ms	
83 26.912927627563 ms	
84 26.917934417725 ms	
85 26.898145675659 ms	
86 26.869058609009 ms	
87 26.843070983887 ms	
88 26.790142059326 ms	
89 26.837110519409 ms	
90 26.865005493164 ms	
91 26.886940002441 ms	
92 26.918888092041 ms	
93 26.907920837402 ms	
94 26.95894241333 ms	
95 26.920080184937 ms	
96 26.879072189331 ms	
97 26.80778503418 ms	
98 26.888847351074 ms	
99 26.877880096436 ms	
100 26.898145675659 ms	
101 26.843070983887 ms	
102 26.91388130188 ms	
103 26.867866516113 ms	
104 26.852130889893 ms	
105 26.834964752197 ms	
106 26.827096939087 ms	
107 26.900053024292 ms	
108 26.89790725708 ms	
109 26.89003944397 ms	
110 26.885986328125 ms	
111 26.869058609009 ms	
112 26.839017868042 ms	
113 26.891946792603 ms	
114 26.899099349976 ms	
115 26.872873306274 ms	
116 26.932001113892 ms	
117 26.849985122681 ms	
118 26.906967163086 ms	
119 26.86619758606 ms	
120 26.956081390381 ms	
121 26.86882019043 ms	
122 26.906967163086 ms	
123 26.859045028687 ms	
124 26.921033859253 ms	
125 26.86595916748 ms	
126 26.892900466919 ms	
127 26.90315246582 ms	
128 26.92985534668 ms	
129 26.85284614563 ms	
130 26.934146881104 ms	
131 26.893138885498 ms	
132 26.834964752197 ms	
133 26.920080184937 ms	
134 26.933908462524 ms	
135 26.921987533569 ms	
136 26.890993118286 ms	
137 26.911020278931 ms	
138 26.952981948853 ms	
139 26.825904846191 ms	
140 26.818990707397 ms	
141 26.925086975098 ms	
142 26.833057403564 ms	
143 26.836156845093 ms	
144 26.89003944397 ms	
145 26.893854141235 ms	
146 26.818990707397 ms	
147 26.884794235229 ms	
148 26.817083358765 ms	
149 26.857852935791 ms	
150 26.916027069092 ms	
**batch size 16**
[?1034h****GPU Data (iteration time in ms)****	
1 155.47800064087 ms	
2 394.45304870605 ms	
3 401.82185173035 ms	
4 399.86300468445 ms	
