***vgg19_iter_test Benchmarking***
Usage ./run_gpu_vgg19_iter_test.sh <typeofgpu> <number of iterations>--> e.g: ./run_gpu_vgg19_iter_test.sh geforce_gtx_maxwell 100
**batch size 1**
****GPU Data (iteration time in ms)****	
1 300.60410499573 ms	
2 0.62108039855957 ms	
3 0.54693222045898 ms	
4 0.52309036254883 ms	
5 0.5180835723877 ms	
6 0.53215026855469 ms	
7 0.56099891662598 ms	
8 0.54001808166504 ms	
9 0.54097175598145 ms	
10 0.52785873413086 ms	
11 0.53906440734863 ms	
12 0.53095817565918 ms	
13 0.53000450134277 ms	
14 0.5340576171875 ms	
15 17.421960830688 ms	
16 18.847942352295 ms	
17 18.913984298706 ms	
18 18.70584487915 ms	
19 18.716096878052 ms	
20 18.703937530518 ms	
21 18.151044845581 ms	
22 17.718076705933 ms	
23 17.716884613037 ms	
24 17.690181732178 ms	
25 17.711877822876 ms	
26 17.726182937622 ms	
27 17.622947692871 ms	
28 17.613887786865 ms	
29 17.799139022827 ms	
30 17.731904983521 ms	
31 17.522096633911 ms	
32 17.489910125732 ms	
33 17.531156539917 ms	
34 17.388105392456 ms	
35 17.384052276611 ms	
36 17.38715171814 ms	
37 17.359018325806 ms	
38 17.25697517395 ms	
39 17.257928848267 ms	
40 17.232179641724 ms	
41 17.28892326355 ms	
42 17.253160476685 ms	
43 17.269849777222 ms	
44 17.285108566284 ms	
45 17.285823822021 ms	
46 17.297983169556 ms	
47 17.237186431885 ms	
48 17.393827438354 ms	
49 17.267942428589 ms	
50 17.322063446045 ms	
51 17.424821853638 ms	
52 17.268180847168 ms	
53 17.393827438354 ms	
54 17.292022705078 ms	
55 17.27819442749 ms	
56 17.375946044922 ms	
57 17.335176467896 ms	
58 17.291784286499 ms	
59 17.263174057007 ms	
60 17.254829406738 ms	
61 17.279148101807 ms	
62 17.289876937866 ms	
63 17.251014709473 ms	
64 17.400979995728 ms	
65 17.271995544434 ms	
66 17.279148101807 ms	
67 17.266035079956 ms	
68 17.294883728027 ms	
69 17.359972000122 ms	
70 17.258882522583 ms	
71 17.251014709473 ms	
72 17.274141311646 ms	
73 17.27294921875 ms	
74 17.435073852539 ms	
75 17.271995544434 ms	
76 17.39501953125 ms	
77 17.398834228516 ms	
78 17.277002334595 ms	
79 17.323017120361 ms	
80 17.275094985962 ms	
81 17.297983169556 ms	
82 17.269849777222 ms	
83 17.218112945557 ms	
84 17.246961593628 ms	
85 17.271041870117 ms	
86 17.374992370605 ms	
87 17.298936843872 ms	
88 17.257928848267 ms	
89 17.289161682129 ms	
90 17.3180103302 ms	
91 17.282009124756 ms	
92 17.295837402344 ms	
93 17.352819442749 ms	
94 17.338037490845 ms	
95 17.343044281006 ms	
96 17.47989654541 ms	
97 17.182111740112 ms	
98 17.250061035156 ms	
99 17.298936843872 ms	
100 17.250061035156 ms	
101 17.248868942261 ms	
102 17.280101776123 ms	
103 17.28892326355 ms	
104 17.266035079956 ms	
105 17.287969589233 ms	
106 17.282009124756 ms	
107 17.274141311646 ms	
108 17.294883728027 ms	
109 17.352104187012 ms	
110 17.266035079956 ms	
111 17.278909683228 ms	
112 17.247915267944 ms	
113 17.400026321411 ms	
