power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
149.00, 67.30, 83, 5, 12205, 4885, 7320
149.00, 67.30, 83, 5, 12205, 4925, 7280
149.00, 67.30, 59, 4, 12205, 5093, 7112
149.00, 67.30, 59, 4, 12205, 5095, 7110
149.00, 67.73, 59, 4, 12205, 5096, 7109
149.00, 67.73, 59, 4, 12205, 5098, 7107
149.00, 67.73, 59, 4, 12205, 5099, 7106
149.00, 67.73, 59, 4, 12205, 5101, 7104
149.00, 67.73, 59, 4, 12205, 5102, 7103
149.00, 67.73, 59, 4, 12205, 5103, 7102
149.00, 67.73, 59, 4, 12205, 5105, 7100
149.00, 67.73, 59, 4, 12205, 5106, 7099
149.00, 66.57, 59, 4, 12205, 5107, 7098
149.00, 66.57, 59, 4, 12205, 5174, 7031
149.00, 66.57, 59, 4, 12205, 5174, 7031
149.00, 66.57, 59, 4, 12205, 5174, 7031
149.00, 66.57, 59, 4, 12205, 5174, 7031
149.00, 66.57, 32, 4, 12205, 5174, 7031
149.00, 66.57, 32, 4, 12205, 5174, 7031
149.00, 66.57, 32, 4, 12205, 5174, 7031
149.00, 66.57, 32, 4, 12205, 5174, 7031
149.00, 112.12, 32, 4, 12205, 5174, 7031
149.00, 112.12, 32, 4, 12205, 5174, 7031
149.00, 112.12, 32, 4, 12205, 5174, 7031
149.00, 112.12, 32, 4, 12205, 5174, 7031
149.00, 112.12, 32, 4, 12205, 5174, 7031
149.00, 112.12, 32, 4, 12205, 5174, 7031
149.00, 112.12, 32, 4, 12205, 5174, 7031
149.00, 112.12, 32, 4, 12205, 5174, 7031
149.00, 112.12, 32, 4, 12205, 5174, 7031
149.00, 133.90, 32, 4, 12205, 5174, 7031
149.00, 133.90, 32, 4, 12205, 5174, 7031
149.00, 133.90, 100, 31, 12205, 5174, 7031
149.00, 133.90, 100, 31, 12205, 5174, 7031
149.00, 133.90, 100, 31, 12205, 5174, 7031
149.00, 133.90, 100, 31, 12205, 5174, 7031
149.00, 133.90, 100, 31, 12205, 5174, 7031
149.00, 133.90, 100, 31, 12205, 5174, 7031
149.00, 133.90, 100, 31, 12205, 5174, 7031
149.00, 141.23, 100, 31, 12205, 5174, 7031
149.00, 141.23, 100, 31, 12205, 5174, 7031
149.00, 141.23, 100, 31, 12205, 5174, 7031
149.00, 141.23, 100, 31, 12205, 5174, 7031
149.00, 141.23, 100, 31, 12205, 5174, 7031
149.00, 141.23, 100, 31, 12205, 5174, 7031
149.00, 141.23, 100, 31, 12205, 5174, 7031
149.00, 141.23, 100, 31, 12205, 5174, 7031
149.00, 141.23, 100, 33, 12205, 5174, 7031
149.00, 148.11, 100, 32, 12205, 5174, 7031
149.00, 148.11, 100, 32, 12205, 5174, 7031
149.00, 148.11, 100, 32, 12205, 5174, 7031
149.00, 148.11, 100, 32, 12205, 5174, 7031
149.00, 148.11, 100, 32, 12205, 5174, 7031
149.00, 148.11, 100, 32, 12205, 5174, 7031
149.00, 148.11, 100, 32, 12205, 5174, 7031
149.00, 148.11, 100, 32, 12205, 5174, 7031
149.00, 148.11, 100, 32, 12205, 5174, 7031
149.00, 144.04, 100, 32, 12205, 5174, 7031
149.00, 144.04, 100, 32, 12205, 5174, 7031
149.00, 144.04, 100, 32, 12205, 5174, 7031
149.00, 144.04, 100, 32, 12205, 5174, 7031
149.00, 144.04, 100, 32, 12205, 5174, 7031
149.00, 144.04, 100, 27, 12205, 5174, 7031
