power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 79.61, 82, 5, 12205, 3304, 8901
250.00, 79.61, 82, 5, 12205, 3307, 8898
250.00, 79.61, 82, 5, 12205, 3309, 8896
250.00, 79.61, 82, 5, 12205, 3311, 8894
250.00, 79.61, 82, 5, 12205, 3314, 8891
250.00, 82.61, 82, 5, 12205, 3316, 8889
250.00, 82.61, 82, 5, 12205, 3321, 8884
250.00, 82.61, 82, 5, 12205, 3329, 8876
250.00, 82.61, 82, 5, 12205, 3329, 8876
250.00, 82.61, 82, 5, 12205, 3329, 8876
