power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 97.43, 80, 4, 12205, 3032, 9173
250.00, 97.43, 80, 4, 12205, 3035, 9170
250.00, 97.43, 80, 4, 12205, 3037, 9168
250.00, 97.43, 80, 4, 12205, 3040, 9165
250.00, 97.43, 80, 4, 12205, 3042, 9163
250.00, 97.43, 80, 4, 12205, 3044, 9161
250.00, 110.33, 80, 4, 12205, 3047, 9158
250.00, 110.33, 80, 4, 12205, 3047, 9158
250.00, 110.33, 80, 4, 12205, 3047, 9158
250.00, 110.33, 80, 4, 12205, 3047, 9158
250.00, 110.33, 80, 4, 12205, 3047, 9158
250.00, 110.33, 80, 4, 12205, 3047, 9158
250.00, 110.33, 80, 4, 12205, 3047, 9158
250.00, 110.33, 80, 4, 12205, 3047, 9158
250.00, 197.65, 58, 41, 12205, 3047, 9158
250.00, 197.65, 58, 41, 12205, 3047, 9158
250.00, 197.65, 58, 41, 12205, 3047, 9158
250.00, 197.65, 58, 41, 12205, 3047, 9158
250.00, 197.65, 58, 41, 12205, 3047, 9158
250.00, 197.65, 58, 41, 12205, 3047, 9158
250.00, 197.65, 58, 41, 12205, 3047, 9158
250.00, 197.65, 58, 41, 12205, 3047, 9158
250.00, 197.65, 58, 41, 12205, 3047, 9158
250.00, 237.52, 58, 41, 12205, 3047, 9158
250.00, 237.52, 58, 41, 12205, 3047, 9158
250.00, 237.52, 58, 41, 12205, 3047, 9158
250.00, 237.52, 58, 41, 12205, 3047, 9158
250.00, 237.52, 58, 41, 12205, 3047, 9158
250.00, 237.52, 100, 77, 12205, 3047, 9158
250.00, 237.52, 100, 77, 12205, 3047, 9158
250.00, 237.52, 100, 77, 12205, 3047, 9158
250.00, 237.52, 100, 77, 12205, 3047, 9158
250.00, 251.77, 100, 77, 12205, 3047, 9158
250.00, 251.77, 100, 77, 12205, 3047, 9158
250.00, 251.77, 100, 77, 12205, 3047, 9158
250.00, 251.77, 100, 77, 12205, 3047, 9158
250.00, 251.77, 100, 77, 12205, 3047, 9158
250.00, 251.77, 100, 77, 12205, 3047, 9158
250.00, 251.77, 100, 77, 12205, 3047, 9158
250.00, 251.77, 100, 77, 12205, 3047, 9158
250.00, 251.77, 100, 77, 12205, 3047, 9158
250.00, 253.46, 100, 76, 12205, 3047, 9158
250.00, 253.46, 100, 76, 12205, 3047, 9158
250.00, 253.46, 100, 76, 12205, 3047, 9158
250.00, 253.46, 100, 76, 12205, 3047, 9158
250.00, 253.46, 100, 76, 12205, 3047, 9158
250.00, 253.46, 100, 76, 12205, 3047, 9158
250.00, 253.46, 100, 76, 12205, 3047, 9158
250.00, 253.46, 100, 76, 12205, 3047, 9158
250.00, 252.12, 100, 76, 12205, 3047, 9158
250.00, 252.12, 100, 75, 12205, 3047, 9158
250.00, 252.12, 100, 75, 12205, 3047, 9158
250.00, 252.12, 100, 75, 12205, 3047, 9158
250.00, 252.12, 100, 75, 12205, 3047, 9158
250.00, 252.12, 100, 75, 12205, 3047, 9158
250.00, 252.12, 100, 75, 12205, 3047, 9158
250.00, 252.12, 100, 75, 12205, 3047, 9158
250.00, 252.12, 100, 78, 12205, 3047, 9158
250.00, 248.61, 100, 78, 12205, 3047, 9158
250.00, 248.61, 100, 78, 12205, 3047, 9158
250.00, 248.61, 100, 78, 12205, 3047, 9158
250.00, 248.61, 100, 78, 12205, 3047, 9158
250.00, 248.61, 100, 78, 12205, 3047, 9158
250.00, 248.61, 100, 78, 12205, 3047, 9158
250.00, 248.61, 100, 78, 12205, 3047, 9158
250.00, 248.61, 100, 78, 12205, 3047, 9158
250.00, 248.61, 100, 78, 12205, 3047, 9158
250.00, 244.18, 100, 78, 12205, 3047, 9158
250.00, 244.18, 100, 78, 12205, 3047, 9158
250.00, 244.18, 100, 78, 12205, 3047, 9158
250.00, 244.18, 100, 78, 12205, 3047, 9158
250.00, 244.18, 100, 78, 12205, 3047, 9158
250.00, 244.18, 100, 76, 12205, 3047, 9158
250.00, 244.18, 100, 76, 12205, 3047, 9158
250.00, 244.18, 100, 76, 12205, 3047, 9158
250.00, 241.51, 100, 76, 12205, 3047, 9158
250.00, 241.51, 100, 76, 12205, 3047, 9158
250.00, 241.51, 100, 76, 12205, 3047, 9158
250.00, 241.51, 100, 76, 12205, 3047, 9158
250.00, 241.51, 100, 76, 12205, 3047, 9158
250.00, 241.51, 100, 76, 12205, 3047, 9158
250.00, 241.51, 100, 76, 12205, 3047, 9158
250.00, 241.51, 100, 76, 12205, 3047, 9158
250.00, 241.51, 100, 76, 12205, 3047, 9158
250.00, 247.90, 100, 76, 12205, 3047, 9158
250.00, 247.90, 100, 76, 12205, 3047, 9158
250.00, 247.90, 100, 79, 12205, 3047, 9158
250.00, 247.90, 100, 79, 12205, 3047, 9158
250.00, 247.90, 100, 79, 12205, 3047, 9158
250.00, 247.90, 100, 79, 12205, 3047, 9158
250.00, 247.90, 100, 79, 12205, 3047, 9158
250.00, 247.90, 100, 79, 12205, 3047, 9158
250.00, 247.90, 100, 79, 12205, 3047, 9158
250.00, 249.09, 100, 79, 12205, 3047, 9158
250.00, 249.09, 100, 79, 12205, 3047, 9158
250.00, 249.09, 100, 79, 12205, 3047, 9158
250.00, 249.09, 100, 79, 12205, 3047, 9158
250.00, 249.09, 100, 79, 12205, 3047, 9158
250.00, 249.09, 100, 79, 12205, 3047, 9158
250.00, 249.09, 100, 79, 12205, 3047, 9158
250.00, 249.09, 100, 79, 12205, 3047, 9158
250.00, 243.98, 100, 78, 12205, 3047, 9158
250.00, 243.98, 100, 78, 12205, 3047, 9158
250.00, 243.98, 100, 78, 12205, 3047, 9158
250.00, 243.98, 100, 78, 12205, 3047, 9158
250.00, 243.98, 100, 78, 12205, 3047, 9158
250.00, 243.98, 100, 78, 12205, 3047, 9158
250.00, 243.98, 100, 78, 12205, 3047, 9158
250.00, 243.98, 100, 78, 12205, 3047, 9158
250.00, 243.98, 100, 78, 12205, 3047, 9158
250.00, 240.83, 100, 78, 12205, 3047, 9158
250.00, 240.83, 100, 78, 12205, 3047, 9158
250.00, 240.83, 100, 78, 12205, 3047, 9158
250.00, 240.83, 100, 78, 12205, 3047, 9158
250.00, 240.83, 100, 78, 12205, 3047, 9158
250.00, 240.83, 100, 78, 12205, 3047, 9158
250.00, 240.83, 100, 78, 12205, 3047, 9158
250.00, 240.83, 100, 78, 12205, 3047, 9158
250.00, 240.83, 100, 78, 12205, 3047, 9158
250.00, 247.67, 100, 78, 12205, 3047, 9158
250.00, 247.67, 100, 78, 12205, 3047, 9158
250.00, 247.67, 100, 78, 12205, 3047, 9158
250.00, 247.67, 100, 78, 12205, 3047, 9158
250.00, 247.67, 100, 78, 12205, 3047, 9158
250.00, 247.67, 100, 78, 12205, 3047, 9158
250.00, 247.67, 100, 78, 12205, 3047, 9158
250.00, 247.67, 100, 78, 12205, 3047, 9158
250.00, 247.67, 100, 78, 12205, 3047, 9158
250.00, 250.06, 100, 78, 12205, 3047, 9158
250.00, 250.06, 100, 78, 12205, 3047, 9158
250.00, 250.06, 100, 80, 12205, 3047, 9158
250.00, 250.06, 100, 80, 12205, 3047, 9158
250.00, 250.06, 100, 80, 12205, 3047, 9158
250.00, 250.06, 100, 80, 12205, 3047, 9158
250.00, 250.06, 100, 80, 12205, 3047, 9158
250.00, 250.06, 100, 80, 12205, 3047, 9158
250.00, 250.95, 100, 80, 12205, 3047, 9158
250.00, 250.95, 100, 80, 12205, 3047, 9158
250.00, 250.95, 100, 80, 12205, 3047, 9158
250.00, 250.95, 100, 80, 12205, 3047, 9158
250.00, 250.95, 100, 80, 12205, 3047, 9158
250.00, 250.95, 100, 80, 12205, 3047, 9158
250.00, 250.95, 100, 80, 12205, 3047, 9158
250.00, 250.95, 100, 80, 12205, 3047, 9158
250.00, 250.95, 100, 77, 12205, 3047, 9158
250.00, 242.71, 100, 77, 12205, 3047, 9158
250.00, 242.71, 100, 77, 12205, 3047, 9158
250.00, 242.71, 100, 77, 12205, 3047, 9158
250.00, 242.71, 100, 77, 12205, 3047, 9158
250.00, 242.71, 100, 77, 12205, 3047, 9158
250.00, 242.71, 100, 77, 12205, 3047, 9158
250.00, 242.71, 100, 77, 12205, 3047, 9158
250.00, 242.71, 100, 77, 12205, 3047, 9158
250.00, 242.71, 100, 77, 12205, 3047, 9158
250.00, 248.52, 100, 77, 12205, 3047, 9158
250.00, 248.52, 100, 77, 12205, 3047, 9158
250.00, 248.52, 100, 77, 12205, 3047, 9158
250.00, 248.52, 100, 77, 12205, 3047, 9158
250.00, 248.52, 100, 77, 12205, 3047, 9158
250.00, 248.52, 100, 79, 12205, 3047, 9158
250.00, 248.52, 100, 79, 12205, 3047, 9158
250.00, 248.52, 100, 79, 12205, 3047, 9158
250.00, 249.05, 100, 79, 12205, 3047, 9158
250.00, 249.05, 100, 79, 12205, 3047, 9158
250.00, 249.05, 100, 79, 12205, 3047, 9158
250.00, 249.05, 100, 79, 12205, 3047, 9158
250.00, 249.05, 100, 79, 12205, 3047, 9158
250.00, 249.05, 100, 79, 12205, 3047, 9158
250.00, 249.05, 100, 79, 12205, 3047, 9158
250.00, 249.05, 100, 79, 12205, 3047, 9158
250.00, 249.05, 100, 79, 12205, 3047, 9158
250.00, 251.11, 100, 79, 12205, 3047, 9158
250.00, 251.11, 100, 79, 12205, 3047, 9158
250.00, 251.11, 100, 79, 12205, 3047, 9158
250.00, 251.11, 100, 79, 12205, 3047, 9158
250.00, 251.11, 100, 79, 12205, 3047, 9158
250.00, 251.11, 100, 79, 12205, 3047, 9158
250.00, 251.11, 100, 79, 12205, 3047, 9158
250.00, 251.11, 100, 79, 12205, 3047, 9158
250.00, 251.11, 100, 79, 12205, 3047, 9158
250.00, 245.01, 100, 79, 12205, 3047, 9158
250.00, 245.01, 100, 79, 12205, 3047, 9158
250.00, 245.01, 100, 79, 12205, 3047, 9158
250.00, 245.01, 100, 79, 12205, 3047, 9158
250.00, 245.01, 100, 79, 12205, 3047, 9158
250.00, 245.01, 100, 79, 12205, 3047, 9158
250.00, 245.01, 100, 79, 12205, 3047, 9158
