power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 43.59, 55, 5, 16276, 3161, 13115
250.00, 44.08, 55, 5, 16276, 3161, 13115
250.00, 44.08, 55, 5, 16276, 3161, 13115
250.00, 44.08, 55, 5, 16276, 3163, 13113
250.00, 44.33, 55, 5, 16276, 3163, 13113
250.00, 44.33, 55, 5, 16276, 3165, 13111
250.00, 44.08, 55, 5, 16276, 3165, 13111
250.00, 44.33, 55, 5, 16276, 3167, 13109
250.00, 44.33, 55, 5, 16276, 3169, 13107
250.00, 44.58, 55, 5, 16276, 3169, 13107
250.00, 44.58, 55, 5, 16276, 3171, 13105
250.00, 44.58, 55, 5, 16276, 3171, 13105
250.00, 44.58, 5, 0, 16276, 3173, 13103
250.00, 44.58, 5, 0, 16276, 3175, 13101
250.00, 44.58, 5, 0, 16276, 3177, 13099
250.00, 44.58, 5, 0, 16276, 3177, 13099
250.00, 44.58, 5, 0, 16276, 3179, 13097
250.00, 44.58, 5, 0, 16276, 3181, 13095
250.00, 44.58, 5, 0, 16276, 3183, 13093
250.00, 44.58, 5, 0, 16276, 3183, 13093
250.00, 44.58, 5, 0, 16276, 3185, 13091
250.00, 44.58, 5, 0, 16276, 3187, 13089
250.00, 44.58, 5, 0, 16276, 3189, 13087
250.00, 99.20, 5, 0, 16276, 3193, 13083
250.00, 99.20, 16, 35, 16276, 3193, 13083
250.00, 135.85, 16, 35, 16276, 3193, 13083
250.00, 139.04, 16, 35, 16276, 3193, 13083
250.00, 139.04, 16, 35, 16276, 3193, 13083
250.00, 139.94, 16, 35, 16276, 3193, 13083
250.00, 142.39, 16, 35, 16276, 3193, 13083
250.00, 142.15, 16, 35, 16276, 3193, 13083
250.00, 142.15, 16, 35, 16276, 3193, 13083
250.00, 143.13, 16, 35, 16276, 3193, 13083
250.00, 142.88, 16, 35, 16276, 3193, 13083
250.00, 142.88, 16, 35, 16276, 3193, 13083
250.00, 143.37, 16, 35, 16276, 3193, 13083
250.00, 143.37, 99, 100, 16276, 3193, 13083
250.00, 143.37, 99, 100, 16276, 3193, 13083
250.00, 143.37, 99, 100, 16276, 3193, 13083
250.00, 143.62, 99, 100, 16276, 3193, 13083
250.00, 143.62, 99, 100, 16276, 3193, 13083
250.00, 143.62, 99, 100, 16276, 3193, 13083
250.00, 142.64, 99, 100, 16276, 3193, 13083
250.00, 142.64, 99, 100, 16276, 3193, 13083
250.00, 142.15, 99, 100, 16276, 3193, 13083
250.00, 143.70, 99, 100, 16276, 3193, 13083
250.00, 143.70, 99, 100, 16276, 3193, 13083
250.00, 141.66, 99, 100, 16276, 3193, 13083
250.00, 142.88, 99, 100, 16276, 3193, 13083
250.00, 142.88, 99, 100, 16276, 3193, 13083
250.00, 143.37, 99, 100, 16276, 3193, 13083
250.00, 144.35, 99, 100, 16276, 3193, 13083
250.00, 144.35, 99, 100, 16276, 3193, 13083
250.00, 143.62, 99, 100, 16276, 3193, 13083
250.00, 144.60, 99, 100, 16276, 3193, 13083
250.00, 144.68, 99, 100, 16276, 3193, 13083
250.00, 144.68, 99, 100, 16276, 3193, 13083
250.00, 144.60, 99, 100, 16276, 3193, 13083
250.00, 144.60, 99, 100, 16276, 3193, 13083
250.00, 144.60, 99, 100, 16276, 3193, 13083
250.00, 143.62, 99, 100, 16276, 3193, 13083
250.00, 144.60, 99, 100, 16276, 3193, 13083
250.00, 144.60, 99, 100, 16276, 3193, 13083
250.00, 144.11, 99, 100, 16276, 3193, 13083
250.00, 145.09, 99, 100, 16276, 3193, 13083
250.00, 145.09, 99, 100, 16276, 3193, 13083
250.00, 143.86, 99, 100, 16276, 3193, 13083
250.00, 145.09, 99, 100, 16276, 3193, 13083
250.00, 145.09, 99, 100, 16276, 3193, 13083
250.00, 143.13, 99, 100, 16276, 3193, 13083
250.00, 143.37, 99, 100, 16276, 3193, 13083
250.00, 143.37, 99, 100, 16276, 3193, 13083
250.00, 143.13, 99, 100, 16276, 3193, 13083
250.00, 145.09, 99, 100, 16276, 3193, 13083
250.00, 145.09, 99, 100, 16276, 3193, 13083
250.00, 144.84, 99, 100, 16276, 3193, 13083
250.00, 143.36, 99, 100, 16276, 3193, 13083
250.00, 144.84, 99, 100, 16276, 3193, 13083
250.00, 144.84, 99, 100, 16276, 3193, 13083
250.00, 143.86, 99, 100, 16276, 3193, 13083
250.00, 144.11, 99, 100, 16276, 3193, 13083
250.00, 144.11, 99, 100, 16276, 3193, 13083
250.00, 143.60, 99, 100, 16276, 3193, 13083
250.00, 146.07, 99, 100, 16276, 3193, 13083
250.00, 146.07, 99, 100, 16276, 3193, 13083
250.00, 146.15, 99, 100, 16276, 3193, 13083
250.00, 145.33, 99, 100, 16276, 3193, 13083
250.00, 145.33, 99, 100, 16276, 3193, 13083
250.00, 145.49, 99, 100, 16276, 3193, 13083
250.00, 146.56, 99, 100, 16276, 3193, 13083
