power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
149.00, 63.62, 93, 4, 12205, 2947, 9258
149.00, 63.62, 93, 4, 12205, 2953, 9252
149.00, 63.62, 93, 4, 12205, 2954, 9251
149.00, 63.62, 93, 4, 12205, 2956, 9249
149.00, 63.62, 93, 4, 12205, 2957, 9248
149.00, 62.21, 93, 4, 12205, 2959, 9246
149.00, 62.21, 38, 2, 12205, 2961, 9244
149.00, 62.21, 38, 2, 12205, 2962, 9243
149.00, 62.21, 38, 2, 12205, 2963, 9242
149.00, 62.21, 38, 2, 12205, 2965, 9240
149.00, 62.21, 38, 2, 12205, 2966, 9239
149.00, 62.21, 38, 2, 12205, 2967, 9238
149.00, 62.21, 38, 2, 12205, 2972, 9233
149.00, 62.21, 38, 2, 12205, 2972, 9233
149.00, 70.84, 38, 2, 12205, 2972, 9233
149.00, 70.84, 38, 2, 12205, 2972, 9233
149.00, 70.84, 38, 2, 12205, 2972, 9233
149.00, 70.84, 38, 2, 12205, 2972, 9233
149.00, 70.84, 38, 2, 12205, 2972, 9233
149.00, 70.84, 38, 2, 12205, 2972, 9233
149.00, 70.84, 38, 2, 12205, 2972, 9233
149.00, 70.84, 63, 16, 12205, 2972, 9233
149.00, 70.84, 63, 16, 12205, 2972, 9233
149.00, 92.22, 63, 16, 12205, 2972, 9233
149.00, 92.22, 63, 16, 12205, 2972, 9233
149.00, 92.22, 63, 16, 12205, 2972, 9233
149.00, 92.22, 63, 16, 12205, 2972, 9233
149.00, 92.22, 63, 16, 12205, 2972, 9233
149.00, 92.22, 63, 16, 12205, 2972, 9233
149.00, 92.22, 63, 16, 12205, 2972, 9233
149.00, 92.22, 63, 16, 12205, 2972, 9233
149.00, 92.22, 63, 16, 12205, 2972, 9233
149.00, 102.77, 63, 16, 12205, 2972, 9233
149.00, 102.77, 63, 16, 12205, 2972, 9233
149.00, 102.77, 63, 16, 12205, 2972, 9233
149.00, 102.77, 63, 16, 12205, 2972, 9233
149.00, 102.77, 100, 31, 12205, 2972, 9233
149.00, 102.77, 100, 31, 12205, 2972, 9233
149.00, 102.77, 100, 31, 12205, 2972, 9233
149.00, 102.77, 100, 31, 12205, 2972, 9233
149.00, 102.77, 100, 31, 12205, 2972, 9233
149.00, 113.17, 100, 31, 12205, 2972, 9233
149.00, 113.17, 100, 31, 12205, 2972, 9233
149.00, 113.17, 100, 31, 12205, 2972, 9233
149.00, 113.17, 100, 31, 12205, 2972, 9233
149.00, 113.17, 100, 31, 12205, 2972, 9233
149.00, 113.17, 100, 31, 12205, 2972, 9233
149.00, 113.17, 100, 31, 12205, 2972, 9233
149.00, 113.17, 100, 31, 12205, 2972, 9233
149.00, 113.17, 100, 31, 12205, 2972, 9233
149.00, 120.02, 100, 31, 12205, 2972, 9233
149.00, 120.02, 100, 34, 12205, 2972, 9233
149.00, 120.02, 100, 34, 12205, 2972, 9233
149.00, 120.02, 100, 34, 12205, 2972, 9233
149.00, 120.02, 100, 34, 12205, 2972, 9233
149.00, 120.02, 100, 34, 12205, 2972, 9233
149.00, 120.02, 100, 34, 12205, 2972, 9233
149.00, 120.02, 100, 34, 12205, 2972, 9233
149.00, 120.02, 100, 34, 12205, 2972, 9233
149.00, 129.81, 100, 34, 12205, 2972, 9233
149.00, 129.81, 100, 34, 12205, 2972, 9233
149.00, 129.81, 100, 34, 12205, 2972, 9233
149.00, 129.81, 100, 34, 12205, 2972, 9233
149.00, 129.81, 100, 34, 12205, 2972, 9233
149.00, 129.81, 100, 34, 12205, 2972, 9233
149.00, 129.81, 100, 34, 12205, 2972, 9233
149.00, 129.81, 100, 34, 12205, 2972, 9233
149.00, 129.81, 100, 34, 12205, 2972, 9233
149.00, 133.15, 100, 34, 12205, 2972, 9233
149.00, 133.15, 100, 34, 12205, 2972, 9233
149.00, 133.15, 100, 34, 12205, 2972, 9233
149.00, 133.15, 100, 34, 12205, 2972, 9233
149.00, 133.15, 100, 34, 12205, 2972, 9233
149.00, 133.15, 100, 34, 12205, 2972, 9233
149.00, 133.15, 100, 34, 12205, 2972, 9233
149.00, 133.15, 100, 34, 12205, 2972, 9233
149.00, 133.15, 100, 34, 12205, 2972, 9233
149.00, 135.04, 100, 34, 12205, 2972, 9233
149.00, 135.04, 100, 34, 12205, 2972, 9233
149.00, 135.04, 100, 34, 12205, 2972, 9233
149.00, 135.04, 100, 34, 12205, 2972, 9233
149.00, 135.04, 100, 34, 12205, 2972, 9233
149.00, 135.04, 100, 34, 12205, 2972, 9233
149.00, 135.04, 100, 34, 12205, 2972, 9233
149.00, 135.04, 100, 34, 12205, 2972, 9233
149.00, 135.04, 100, 34, 12205, 2972, 9233
149.00, 136.36, 100, 34, 12205, 2972, 9233
149.00, 136.36, 100, 34, 12205, 2972, 9233
149.00, 136.36, 100, 34, 12205, 2972, 9233
149.00, 136.36, 100, 34, 12205, 2972, 9233
149.00, 136.36, 100, 34, 12205, 2972, 9233
149.00, 136.36, 100, 34, 12205, 2972, 9233
149.00, 136.36, 100, 34, 12205, 2972, 9233
149.00, 136.36, 100, 34, 12205, 2972, 9233
149.00, 136.36, 100, 34, 12205, 2972, 9233
149.00, 136.63, 100, 34, 12205, 2972, 9233
149.00, 136.63, 100, 34, 12205, 2972, 9233
149.00, 136.63, 100, 34, 12205, 2972, 9233
149.00, 136.63, 100, 34, 12205, 2972, 9233
149.00, 136.63, 100, 34, 12205, 2972, 9233
149.00, 136.63, 100, 34, 12205, 2972, 9233
149.00, 136.63, 100, 34, 12205, 2972, 9233
149.00, 136.63, 100, 34, 12205, 2972, 9233
149.00, 136.63, 100, 34, 12205, 2972, 9233
149.00, 135.82, 100, 34, 12205, 2972, 9233
149.00, 135.82, 100, 34, 12205, 2972, 9233
149.00, 135.82, 100, 34, 12205, 2972, 9233
149.00, 135.82, 100, 34, 12205, 2972, 9233
149.00, 135.82, 100, 34, 12205, 2972, 9233
149.00, 135.82, 100, 34, 12205, 2972, 9233
149.00, 135.82, 100, 34, 12205, 2972, 9233
149.00, 135.82, 100, 34, 12205, 2972, 9233
149.00, 135.82, 100, 34, 12205, 2972, 9233
149.00, 135.56, 100, 34, 12205, 2972, 9233
149.00, 135.56, 100, 34, 12205, 2972, 9233
149.00, 135.56, 100, 34, 12205, 2972, 9233
149.00, 135.56, 100, 34, 12205, 2972, 9233
149.00, 135.56, 100, 34, 12205, 2972, 9233
149.00, 135.56, 100, 34, 12205, 2972, 9233
149.00, 135.56, 100, 34, 12205, 2972, 9233
149.00, 135.56, 100, 34, 12205, 2972, 9233
149.00, 135.56, 100, 34, 12205, 2972, 9233
149.00, 135.57, 100, 34, 12205, 2972, 9233
149.00, 135.57, 100, 34, 12205, 2972, 9233
149.00, 135.57, 100, 34, 12205, 2972, 9233
149.00, 135.57, 100, 34, 12205, 2972, 9233
149.00, 135.57, 100, 34, 12205, 2972, 9233
149.00, 135.57, 100, 34, 12205, 2972, 9233
149.00, 135.57, 100, 34, 12205, 2972, 9233
149.00, 135.57, 100, 34, 12205, 2972, 9233
149.00, 135.57, 100, 34, 12205, 2972, 9233
149.00, 135.85, 100, 34, 12205, 2972, 9233
149.00, 135.85, 100, 34, 12205, 2972, 9233
149.00, 135.85, 100, 34, 12205, 2972, 9233
149.00, 135.85, 100, 34, 12205, 2972, 9233
149.00, 135.85, 100, 34, 12205, 2972, 9233
149.00, 135.85, 100, 34, 12205, 2972, 9233
149.00, 135.85, 100, 34, 12205, 2972, 9233
149.00, 135.85, 100, 34, 12205, 2972, 9233
149.00, 135.85, 100, 34, 12205, 2972, 9233
149.00, 135.63, 100, 34, 12205, 2972, 9233
149.00, 135.63, 100, 35, 12205, 2972, 9233
149.00, 135.63, 100, 35, 12205, 2972, 9233
149.00, 135.63, 100, 35, 12205, 2972, 9233
149.00, 135.63, 100, 35, 12205, 2972, 9233
149.00, 135.63, 100, 35, 12205, 2972, 9233
149.00, 135.63, 100, 35, 12205, 2972, 9233
149.00, 135.63, 100, 35, 12205, 2972, 9233
149.00, 135.63, 100, 35, 12205, 2972, 9233
149.00, 135.08, 100, 35, 12205, 2972, 9233
149.00, 135.08, 100, 35, 12205, 2972, 9233
149.00, 135.08, 100, 35, 12205, 2972, 9233
149.00, 135.08, 100, 35, 12205, 2972, 9233
149.00, 135.08, 100, 35, 12205, 2972, 9233
149.00, 135.08, 100, 35, 12205, 2972, 9233
149.00, 135.08, 100, 35, 12205, 2972, 9233
149.00, 135.08, 100, 34, 12205, 2972, 9233
149.00, 135.08, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.38, 100, 34, 12205, 2972, 9233
149.00, 135.38, 100, 34, 12205, 2972, 9233
149.00, 135.38, 100, 34, 12205, 2972, 9233
149.00, 135.38, 100, 34, 12205, 2972, 9233
149.00, 135.38, 100, 34, 12205, 2972, 9233
149.00, 135.38, 100, 34, 12205, 2972, 9233
149.00, 135.38, 100, 34, 12205, 2972, 9233
149.00, 135.38, 100, 34, 12205, 2972, 9233
149.00, 135.38, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 134.61, 100, 34, 12205, 2972, 9233
149.00, 134.61, 100, 34, 12205, 2972, 9233
149.00, 134.61, 100, 34, 12205, 2972, 9233
149.00, 134.61, 100, 34, 12205, 2972, 9233
149.00, 134.61, 100, 34, 12205, 2972, 9233
149.00, 134.61, 100, 34, 12205, 2972, 9233
149.00, 134.61, 100, 34, 12205, 2972, 9233
149.00, 134.61, 100, 34, 12205, 2972, 9233
149.00, 134.61, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 34, 12205, 2972, 9233
149.00, 135.09, 100, 35, 12205, 2972, 9233
149.00, 135.09, 100, 35, 12205, 2972, 9233
149.00, 135.40, 100, 35, 12205, 2972, 9233
149.00, 135.40, 100, 35, 12205, 2972, 9233
149.00, 135.40, 100, 35, 12205, 2972, 9233
149.00, 135.40, 100, 35, 12205, 2972, 9233
149.00, 135.40, 100, 35, 12205, 2972, 9233
149.00, 135.40, 100, 35, 12205, 2972, 9233
149.00, 135.40, 100, 35, 12205, 2972, 9233
149.00, 135.40, 100, 35, 12205, 2972, 9233
149.00, 135.40, 100, 35, 12205, 2972, 9233
149.00, 134.80, 100, 35, 12205, 2972, 9233
149.00, 134.80, 100, 35, 12205, 2972, 9233
149.00, 134.80, 100, 35, 12205, 2972, 9233
149.00, 134.80, 100, 35, 12205, 2972, 9233
149.00, 134.80, 100, 34, 12205, 2972, 9233
149.00, 134.80, 100, 34, 12205, 2972, 9233
149.00, 134.80, 100, 34, 12205, 2972, 9233
149.00, 134.80, 100, 34, 12205, 2972, 9233
149.00, 134.80, 100, 34, 12205, 2972, 9233
149.00, 133.77, 100, 34, 12205, 2972, 9233
149.00, 133.77, 100, 34, 12205, 2972, 9233
149.00, 133.77, 100, 34, 12205, 2972, 9233
149.00, 133.77, 100, 34, 12205, 2972, 9233
149.00, 133.77, 100, 34, 12205, 2972, 9233
149.00, 133.77, 100, 34, 12205, 2972, 9233
149.00, 133.77, 100, 34, 12205, 2972, 9233
149.00, 133.77, 100, 34, 12205, 2972, 9233
149.00, 133.77, 100, 34, 12205, 2972, 9233
