***wlm_anotherLSTM_iter_test Benchmarking***
Usage ./run_gpu_wlm_anotherLSTM_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_wlm_anotherLSTM_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iteration time in ms)****	
1 82.550048828125 ms	
2 273.85592460632 ms	
3 357.50913619995 ms	
4 351.33004188538 ms	
5 356.3380241394 ms	
6 353.29008102417 ms	
7 352.56695747375 ms	
8 352.53810882568 ms	
9 358.43896865845 ms	
10 354.48503494263 ms	
11 358.92510414124 ms	
12 354.83407974243 ms	
13 356.83512687683 ms	
14 354.59184646606 ms	
15 352.43701934814 ms	
16 357.64098167419 ms	
17 353.26099395752 ms	
18 355.35097122192 ms	
19 355.78083992004 ms	
20 358.21008682251 ms	
21 359.8849773407 ms	
22 354.21204566956 ms	
23 357.63001441956 ms	
24 360.10408401489 ms	
25 359.3111038208 ms	
26 358.46614837646 ms	
27 359.6019744873 ms	
28 356.10222816467 ms	
29 358.21199417114 ms	
30 360.35919189453 ms	
31 358.82711410522 ms	
32 360.72993278503 ms	
33 359.36689376831 ms	
34 360.8980178833 ms	
35 361.16814613342 ms	
36 360.8992099762 ms	
37 362.60199546814 ms	
38 359.58313941956 ms	
39 360.39018630981 ms	
40 362.81895637512 ms	
41 360.56709289551 ms	
42 361.15002632141 ms	
43 361.28211021423 ms	
44 360.39996147156 ms	
45 359.82513427734 ms	
46 359.68899726868 ms	
47 360.14294624329 ms	
48 362.03193664551 ms	
49 357.23304748535 ms	
50 361.66906356812 ms	
51 360.92805862427 ms	
52 360.55207252502 ms	
53 358.58297348022 ms	
54 358.90889167786 ms	
55 359.75909233093 ms	
56 359.23218727112 ms	
57 357.20610618591 ms	
58 358.88504981995 ms	
59 360.3630065918 ms	
60 355.18383979797 ms	
61 360.79287528992 ms	
62 360.53705215454 ms	
63 358.67404937744 ms	
64 362.59484291077 ms	
65 360.38708686829 ms	
66 358.97493362427 ms	
67 360.62812805176 ms	
68 359.16495323181 ms	
69 360.51511764526 ms	
70 365.05198478699 ms	
71 362.96486854553 ms	
72 360.74113845825 ms	
73 363.05093765259 ms	
74 357.20086097717 ms	
75 358.59298706055 ms	
76 357.06615447998 ms	
77 356.20284080505 ms	
78 365.92197418213 ms	
79 364.93706703186 ms	
80 357.79309272766 ms	
81 358.08610916138 ms	
82 361.00697517395 ms	
83 366.28794670105 ms	
84 365.35906791687 ms	
85 360.68415641785 ms	
86 370.23496627808 ms	
87 361.22798919678 ms	
88 366.24479293823 ms	
89 360.40782928467 ms	
90 368.54100227356 ms	
91 366.05405807495 ms	
92 359.66491699219 ms	
93 364.91799354553 ms	
