***wlm_anotherLSTM_iter_test Benchmarking***
Usage ./run_gpu_wlm_anotherLSTM_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_wlm_anotherLSTM_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iteration time in ms)****	
1 137.23301887512 ms	
2 300.9078502655 ms	
3 340.80004692078 ms	
4 339.75696563721 ms	
5 339.84303474426 ms	
6 339.8540019989 ms	
7 339.83993530273 ms	
8 339.84518051147 ms	
9 339.81800079346 ms	
10 339.73097801208 ms	
11 339.92695808411 ms	
12 339.77293968201 ms	
13 339.74719047546 ms	
14 339.8699760437 ms	
15 339.82491493225 ms	
16 339.77699279785 ms	
17 339.83206748962 ms	
18 339.67685699463 ms	
19 339.7810459137 ms	
20 339.85996246338 ms	
21 339.76197242737 ms	
22 339.90788459778 ms	
23 339.8289680481 ms	
24 339.82801437378 ms	
25 339.83016014099 ms	
26 339.81800079346 ms	
27 339.81108665466 ms	
28 339.79487419128 ms	
29 339.79606628418 ms	
30 339.93697166443 ms	
31 339.84208106995 ms	
32 339.87808227539 ms	
33 339.74885940552 ms	
34 339.87498283386 ms	
35 339.80798721313 ms	
36 339.85090255737 ms	
37 339.84398841858 ms	
38 339.81204032898 ms	
39 339.91098403931 ms	
40 339.7970199585 ms	
41 339.98894691467 ms	
42 339.87784385681 ms	
43 339.77699279785 ms	
44 339.80894088745 ms	
45 339.80512619019 ms	
46 339.76101875305 ms	
47 339.7650718689 ms	
48 339.85090255737 ms	
49 339.83397483826 ms	
50 339.84088897705 ms	
51 339.93101119995 ms	
52 339.85900878906 ms	
53 339.85018730164 ms	
54 339.87092971802 ms	
55 339.86687660217 ms	
56 339.90597724915 ms	
57 339.76411819458 ms	
58 339.88308906555 ms	
59 340.02113342285 ms	
60 339.90907669067 ms	
61 339.81394767761 ms	
62 339.90812301636 ms	
63 339.91003036499 ms	
64 339.89095687866 ms	
65 339.96987342834 ms	
66 339.89381790161 ms	
67 339.82992172241 ms	
68 339.78295326233 ms	
69 339.88809585571 ms	
70 339.83707427979 ms	
71 339.89596366882 ms	
72 339.84994888306 ms	
73 339.87188339233 ms	
74 339.8540019989 ms	
75 339.76912498474 ms	
76 339.85209465027 ms	
77 339.93697166443 ms	
78 339.89405632019 ms	
79 339.83111381531 ms	
80 339.67280387878 ms	
81 339.87402915955 ms	
82 339.88690376282 ms	
83 339.85686302185 ms	
84 339.87903594971 ms	
85 339.84303474426 ms	
86 339.82491493225 ms	
87 339.90788459778 ms	
88 339.86496925354 ms	
89 339.88785743713 ms	
90 339.98394012451 ms	
91 339.82396125793 ms	
92 339.97106552124 ms	
93 339.77317810059 ms	
94 339.93005752563 ms	
95 339.81895446777 ms	
96 339.76197242737 ms	
97 339.82110023499 ms	
98 339.93792533875 ms	
99 339.78891372681 ms	
100 339.84708786011 ms	
101 339.90001678467 ms	
102 339.85495567322 ms	
103 339.9178981781 ms	
104 339.78295326233 ms	
105 339.87784385681 ms	
106 339.88809585571 ms	
107 339.88690376282 ms	
108 339.88499641418 ms	
109 339.72716331482 ms	
110 339.79105949402 ms	
111 339.82706069946 ms	
112 339.92004394531 ms	
113 339.76697921753 ms	
114 339.80011940002 ms	
115 339.80488777161 ms	
116 339.88404273987 ms	
117 339.88094329834 ms	
118 339.90478515625 ms	
119 339.88904953003 ms	
120 339.88809585571 ms	
121 339.95699882507 ms	
122 339.94603157043 ms	
123 339.94603157043 ms	
124 339.83683586121 ms	
125 339.84899520874 ms	
126 339.92791175842 ms	
127 339.79797363281 ms	
128 339.87808227539 ms	
129 339.83397483826 ms	
130 339.84422683716 ms	
131 339.90097045898 ms	
132 339.84899520874 ms	
133 339.8768901825 ms	
134 339.75696563721 ms	
135 339.8699760437 ms	
136 339.81609344482 ms	
137 339.96200561523 ms	
138 339.92791175842 ms	
139 339.89810943604 ms	
140 339.86401557922 ms	
141 339.84708786011 ms	
142 339.88094329834 ms	
143 339.96796607971 ms	
144 340.03591537476 ms	
145 339.89286422729 ms	
146 339.85614776611 ms	
147 339.89095687866 ms	
148 339.93911743164 ms	
149 339.92695808411 ms	
150 339.76197242737 ms	
**batch size 16**
****GPU Data (iteration time in ms)****	
1 143.23306083679 ms	
2 1151.3929367065 ms	
3 1309.8149299622 ms	
4 1306.5600395203 ms	
5 1308.1238269806 ms	
6 1307.6000213623 ms	
7 1307.1889877319 ms	
8 1308.9981079102 ms	
9 1307.7428340912 ms	
10 1306.4107894897 ms	
11 1307.5239658356 ms	
12 1308.3369731903 ms	
13 1310.9188079834 ms	
14 1307.9180717468 ms	
15 1308.2349300385 ms	
16 1307.6050281525 ms	
17 1309.0898990631 ms	
18 1305.2761554718 ms	
19 1309.0178966522 ms	
20 1307.8570365906 ms	
21 1308.9737892151 ms	
22 1307.3568344116 ms	
23 1308.9940547943 ms	
24 1309.7178936005 ms	
25 1308.925151825 ms	
26 1306.8971633911 ms	
27 1307.5687885284 ms	
28 1310.436964035 ms	
29 1310.1329803467 ms	
30 1309.5569610596 ms	
31 1307.5089454651 ms	
32 1308.9258670807 ms	
33 1310.0061416626 ms	
34 1307.6648712158 ms	
35 1310.7769489288 ms	
36 1308.9940547943 ms	
37 1309.7779750824 ms	
38 1309.8571300507 ms	
39 1311.429977417 ms	
40 1306.1549663544 ms	
41 1308.1200122833 ms	
42 1309.3299865723 ms	
43 1307.7869415283 ms	
44 1308.0759048462 ms	
45 1308.6960315704 ms	
46 1308.8128566742 ms	
47 1307.9850673676 ms	
48 1309.149980545 ms	
49 1311.7260932922 ms	
50 1310.427904129 ms	
51 1310.4708194733 ms	
52 1306.9999217987 ms	
53 1309.191942215 ms	
54 1309.8380565643 ms	
55 1311.0139369965 ms	
56 1308.3708286285 ms	
57 1305.643081665 ms	
58 1309.2770576477 ms	
59 1309.6289634705 ms	
60 1306.8459033966 ms	
61 1310.0981712341 ms	
62 1311.0821247101 ms	
63 1308.4499835968 ms	
64 1310.2660179138 ms	
65 1309.1950416565 ms	
66 1308.8009357452 ms	
67 1307.6159954071 ms	
68 1309.5939159393 ms	
69 1311.6898536682 ms	
70 1312.6850128174 ms	
71 1309.2451095581 ms	
72 1308.1159591675 ms	
73 1309.2751502991 ms	
74 1309.0310096741 ms	
75 1309.4511032104 ms	
76 1307.1579933167 ms	
77 1308.3720207214 ms	
78 1309.1368675232 ms	
79 1309.6740245819 ms	
80 1307.2481155396 ms	
81 1308.9299201965 ms	
82 1308.3848953247 ms	
83 1309.7701072693 ms	
84 1308.7491989136 ms	
85 1309.0219497681 ms	
