***wlm_anotherLSTM_iter_test Benchmarking***
Usage ./run_gpu_wlm_anotherLSTM_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_wlm_anotherLSTM_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iteration time in ms)****	
1 342.81611442566 ms	
2 59.146165847778 ms	
3 133.62383842468 ms	
4 134.57608222961 ms	
5 133.19492340088 ms	
6 133.18705558777 ms	
7 135.30087471008 ms	
8 135.11896133423 ms	
9 134.56892967224 ms	
10 134.48619842529 ms	
11 134.56511497498 ms	
12 134.18793678284 ms	
13 134.2499256134 ms	
14 133.78405570984 ms	
15 134.23705101013 ms	
16 133.73279571533 ms	
17 133.19396972656 ms	
18 133.71610641479 ms	
19 133.48197937012 ms	
20 133.12578201294 ms	
21 133.29696655273 ms	
22 133.06307792664 ms	
23 133.55803489685 ms	
24 133.5129737854 ms	
25 133.53204727173 ms	
26 133.31604003906 ms	
27 133.06093215942 ms	
28 133.56494903564 ms	
29 133.53490829468 ms	
30 133.62598419189 ms	
31 133.45098495483 ms	
32 133.28814506531 ms	
33 133.39591026306 ms	
34 133.48484039307 ms	
35 133.53300094604 ms	
36 133.05497169495 ms	
37 133.83889198303 ms	
38 133.42595100403 ms	
39 134.01293754578 ms	
40 133.59117507935 ms	
41 133.50296020508 ms	
42 133.63790512085 ms	
43 133.09693336487 ms	
44 133.62193107605 ms	
45 133.43596458435 ms	
46 133.53705406189 ms	
47 133.82506370544 ms	
48 133.36396217346 ms	
49 133.47792625427 ms	
50 133.75782966614 ms	
51 133.1741809845 ms	
52 133.81314277649 ms	
53 133.42595100403 ms	
54 133.48317146301 ms	
55 133.92901420593 ms	
56 133.60595703125 ms	
57 133.38804244995 ms	
58 133.10694694519 ms	
59 133.46695899963 ms	
60 134.13000106812 ms	
61 133.55302810669 ms	
62 133.53395462036 ms	
63 133.56590270996 ms	
64 133.53705406189 ms	
65 133.83913040161 ms	
66 133.30292701721 ms	
67 133.67414474487 ms	
68 133.49390029907 ms	
69 133.17608833313 ms	
70 133.21304321289 ms	
71 133.87107849121 ms	
72 133.84008407593 ms	
73 133.33511352539 ms	
74 133.56685638428 ms	
75 133.7559223175 ms	
76 133.61501693726 ms	
77 133.36086273193 ms	
78 133.53514671326 ms	
79 133.04591178894 ms	
80 133.77690315247 ms	
81 134.03797149658 ms	
82 133.81004333496 ms	
83 134.28688049316 ms	
84 133.54301452637 ms	
85 133.36706161499 ms	
86 133.02111625671 ms	
87 133.73589515686 ms	
88 133.46600532532 ms	
89 133.37421417236 ms	
90 133.87584686279 ms	
91 133.71300697327 ms	
92 133.96811485291 ms	
93 133.65316390991 ms	
94 133.59999656677 ms	
95 133.46004486084 ms	
96 133.48412513733 ms	
97 133.27789306641 ms	
98 133.78500938416 ms	
99 133.22305679321 ms	
100 133.34608078003 ms	
101 133.48412513733 ms	
102 133.48197937012 ms	
103 133.73804092407 ms	
104 133.48698616028 ms	
105 133.25309753418 ms	
106 133.70895385742 ms	
107 133.49103927612 ms	
108 133.17108154297 ms	
109 133.73184204102 ms	
110 133.61597061157 ms	
111 133.33010673523 ms	
112 133.42499732971 ms	
113 133.8369846344 ms	
114 134.16194915771 ms	
115 133.37993621826 ms	
116 133.60691070557 ms	
117 133.45503807068 ms	
118 133.15415382385 ms	
119 133.62097740173 ms	
120 133.59594345093 ms	
121 133.32509994507 ms	
122 133.80408287048 ms	
123 133.55112075806 ms	
124 133.58187675476 ms	
125 133.40306282043 ms	
126 133.71801376343 ms	
127 133.1889629364 ms	
128 133.70299339294 ms	
129 133.60095024109 ms	
130 133.45313072205 ms	
131 134.12499427795 ms	
132 133.57520103455 ms	
133 133.51583480835 ms	
134 133.88419151306 ms	
135 133.95881652832 ms	
136 133.36992263794 ms	
137 133.46290588379 ms	
138 133.97908210754 ms	
139 133.52608680725 ms	
140 133.63885879517 ms	
141 133.50987434387 ms	
142 133.3429813385 ms	
143 133.6681842804 ms	
144 133.22806358337 ms	
145 133.44693183899 ms	
146 133.88991355896 ms	
147 133.86011123657 ms	
148 133.73780250549 ms	
149 133.4400177002 ms	
150 133.55708122253 ms	
**batch size 16**
****GPU Data (iteration time in ms)****	
1 347.15390205383 ms	
2 420.00985145569 ms	
3 502.11501121521 ms	
4 502.65789031982 ms	
5 501.80983543396 ms	
6 502.76494026184 ms	
7 502.18296051025 ms	
8 502.09712982178 ms	
9 502.08401679993 ms	
10 502.50792503357 ms	
11 502.3820400238 ms	
12 502.13813781738 ms	
13 502.26998329163 ms	
14 501.88207626343 ms	
15 502.30598449707 ms	
16 502.96783447266 ms	
17 502.16507911682 ms	
18 502.00510025024 ms	
19 502.35486030579 ms	
20 502.35891342163 ms	
21 502.3980140686 ms	
22 501.87087059021 ms	
23 502.34198570251 ms	
24 502.18892097473 ms	
25 502.31003761292 ms	
26 502.02393531799 ms	
27 501.98912620544 ms	
28 502.06112861633 ms	
29 502.15911865234 ms	
30 502.77996063232 ms	
31 502.24614143372 ms	
32 502.10785865784 ms	
33 502.00605392456 ms	
34 501.82700157166 ms	
35 502.14099884033 ms	
36 502.33793258667 ms	
37 502.22396850586 ms	
38 501.57594680786 ms	
39 501.65486335754 ms	
40 502.49195098877 ms	
41 502.59709358215 ms	
42 502.03990936279 ms	
43 502.41613388062 ms	
44 502.52890586853 ms	
45 502.23898887634 ms	
46 502.00891494751 ms	
47 502.26998329163 ms	
48 502.11095809937 ms	
49 502.66194343567 ms	
50 502.30693817139 ms	
51 502.48885154724 ms	
52 502.39300727844 ms	
53 502.24900245667 ms	
54 502.10189819336 ms	
55 502.21395492554 ms	
56 502.74515151978 ms	
57 501.98888778687 ms	
58 502.13193893433 ms	
59 502.20894813538 ms	
60 501.90711021423 ms	
61 501.84988975525 ms	
62 502.2599697113 ms	
63 502.69508361816 ms	
64 502.18391418457 ms	
65 502.41208076477 ms	
66 502.3729801178 ms	
67 502.76112556458 ms	
68 502.03204154968 ms	
69 502.38704681396 ms	
70 502.20417976379 ms	
71 502.78902053833 ms	
72 502.20108032227 ms	
73 502.22587585449 ms	
74 501.72996520996 ms	
75 502.62880325317 ms	
76 502.366065979 ms	
77 502.53582000732 ms	
78 502.41208076477 ms	
