power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 47.29, 66, 8, 16276, 5415, 10861
250.00, 46.05, 66, 8, 16276, 5417, 10859
250.00, 45.59, 66, 8, 16276, 5417, 10859
250.00, 45.59, 66, 8, 16276, 5419, 10857
250.00, 45.56, 66, 8, 16276, 5419, 10857
250.00, 45.32, 66, 8, 16276, 5421, 10855
250.00, 45.32, 66, 8, 16276, 5423, 10853
250.00, 45.32, 66, 8, 16276, 5423, 10853
250.00, 45.32, 66, 8, 16276, 5423, 10853
250.00, 45.34, 66, 8, 16276, 5427, 10849
250.00, 45.34, 66, 8, 16276, 5429, 10847
250.00, 45.32, 66, 8, 16276, 5429, 10847
250.00, 45.32, 6, 0, 16276, 5431, 10845
250.00, 45.32, 6, 0, 16276, 5433, 10843
250.00, 45.32, 6, 0, 16276, 5433, 10843
250.00, 45.34, 6, 0, 16276, 5435, 10841
250.00, 45.34, 6, 0, 16276, 5437, 10839
250.00, 45.32, 6, 0, 16276, 5437, 10839
250.00, 45.34, 6, 0, 16276, 5439, 10837
250.00, 45.34, 6, 0, 16276, 5441, 10835
250.00, 45.34, 6, 0, 16276, 5443, 10833
250.00, 102.20, 6, 0, 16276, 5771, 10505
250.00, 149.50, 6, 0, 16276, 5771, 10505
250.00, 149.50, 6, 0, 16276, 5771, 10505
250.00, 164.61, 34, 32, 16276, 5771, 10505
250.00, 148.52, 34, 32, 16276, 5771, 10505
250.00, 148.52, 34, 32, 16276, 5771, 10505
250.00, 160.69, 34, 32, 16276, 5771, 10505
250.00, 159.96, 34, 32, 16276, 5771, 10505
250.00, 159.96, 34, 32, 16276, 5771, 10505
250.00, 166.33, 34, 32, 16276, 5771, 10505
250.00, 167.31, 34, 32, 16276, 5771, 10505
250.00, 167.31, 34, 32, 16276, 5771, 10505
250.00, 154.90, 34, 32, 16276, 5771, 10505
250.00, 158.24, 34, 32, 16276, 5771, 10505
250.00, 158.24, 34, 32, 16276, 5771, 10505
250.00, 164.12, 34, 32, 16276, 5771, 10505
250.00, 166.57, 100, 100, 16276, 5771, 10505
250.00, 166.57, 100, 100, 16276, 5771, 10505
250.00, 167.80, 100, 100, 16276, 5771, 10505
250.00, 154.89, 100, 100, 16276, 5771, 10505
250.00, 154.89, 100, 100, 16276, 5771, 10505
250.00, 159.55, 100, 100, 16276, 5771, 10505
250.00, 162.90, 100, 100, 16276, 5771, 10505
250.00, 162.90, 100, 100, 16276, 5771, 10505
250.00, 167.80, 100, 100, 16276, 5771, 10505
250.00, 168.78, 100, 100, 16276, 5771, 10505
250.00, 168.78, 100, 100, 16276, 5771, 10505
250.00, 154.15, 100, 100, 16276, 5771, 10505
250.00, 162.65, 100, 100, 16276, 5771, 10505
250.00, 163.14, 100, 100, 16276, 5771, 10505
250.00, 163.14, 100, 100, 16276, 5771, 10505
250.00, 168.29, 100, 100, 16276, 5771, 10505
250.00, 168.78, 100, 100, 16276, 5771, 10505
250.00, 168.78, 100, 100, 16276, 5771, 10505
250.00, 155.16, 100, 100, 16276, 5771, 10505
250.00, 161.18, 100, 100, 16276, 5771, 10505
250.00, 161.18, 100, 100, 16276, 5771, 10505
250.00, 165.84, 100, 100, 16276, 5771, 10505
250.00, 168.04, 100, 100, 16276, 5771, 10505
250.00, 168.04, 100, 100, 16276, 5771, 10505
250.00, 169.27, 100, 100, 16276, 5771, 10505
250.00, 156.12, 100, 100, 16276, 5771, 10505
250.00, 156.12, 100, 100, 16276, 5771, 10505
250.00, 159.79, 100, 100, 16276, 5771, 10505
250.00, 166.82, 100, 100, 16276, 5771, 10505
250.00, 166.82, 100, 100, 16276, 5771, 10505
250.00, 171.23, 100, 100, 16276, 5771, 10505
250.00, 171.96, 100, 100, 16276, 5771, 10505
250.00, 171.96, 100, 100, 16276, 5771, 10505
250.00, 158.81, 100, 100, 16276, 5771, 10505
250.00, 162.65, 100, 100, 16276, 5771, 10505
250.00, 162.65, 100, 100, 16276, 5771, 10505
250.00, 169.27, 100, 100, 16276, 5771, 10505
250.00, 171.23, 100, 100, 16276, 5771, 10505
250.00, 171.23, 100, 100, 16276, 5771, 10505
250.00, 169.51, 100, 100, 16276, 5771, 10505
250.00, 158.81, 100, 100, 16276, 5771, 10505
250.00, 158.81, 100, 100, 16276, 5771, 10505
250.00, 162.49, 100, 100, 16276, 5771, 10505
250.00, 168.53, 100, 100, 16276, 5771, 10505
250.00, 171.47, 100, 100, 16276, 5771, 10505
250.00, 171.47, 100, 100, 16276, 5771, 10505
250.00, 172.21, 100, 100, 16276, 5771, 10505
250.00, 156.04, 100, 100, 16276, 5771, 10505
250.00, 156.04, 100, 100, 16276, 5771, 10505
250.00, 161.67, 100, 100, 16276, 5771, 10505
250.00, 168.78, 100, 100, 16276, 5771, 10505
250.00, 168.78, 100, 100, 16276, 5771, 10505
250.00, 172.09, 100, 100, 16276, 5771, 10505
250.00, 172.83, 100, 100, 16276, 5771, 10505
250.00, 172.83, 100, 100, 16276, 5771, 10505
250.00, 161.67, 100, 100, 16276, 5771, 10505
250.00, 160.45, 100, 100, 16276, 5771, 10505
250.00, 160.45, 100, 100, 16276, 5771, 10505
250.00, 170.25, 100, 100, 16276, 5771, 10505
250.00, 171.96, 100, 100, 16276, 5771, 10505
250.00, 171.96, 100, 100, 16276, 5771, 10505
250.00, 160.04, 100, 100, 16276, 5771, 10505
250.00, 157.59, 100, 100, 16276, 5771, 10505
250.00, 157.59, 100, 100, 16276, 5771, 10505
250.00, 164.12, 100, 100, 16276, 5771, 10505
250.00, 169.76, 100, 100, 16276, 5771, 10505
250.00, 169.76, 100, 100, 16276, 5771, 10505
250.00, 172.45, 100, 100, 16276, 5771, 10505
250.00, 172.67, 100, 100, 16276, 5771, 10505
250.00, 172.67, 100, 100, 16276, 5771, 10505
250.00, 163.88, 100, 100, 16276, 5771, 10505
250.00, 161.51, 100, 100, 16276, 5771, 10505
250.00, 161.51, 100, 100, 16276, 5771, 10505
250.00, 171.23, 100, 100, 16276, 5771, 10505
250.00, 172.09, 100, 100, 16276, 5771, 10505
250.00, 172.09, 100, 100, 16276, 5771, 10505
250.00, 155.63, 100, 100, 16276, 5771, 10505
250.00, 161.26, 100, 100, 16276, 5771, 10505
250.00, 161.43, 100, 100, 16276, 5771, 10505
250.00, 161.43, 100, 100, 16276, 5771, 10505
250.00, 170.98, 100, 100, 16276, 5771, 10505
250.00, 172.58, 100, 100, 16276, 5771, 10505
250.00, 172.58, 100, 100, 16276, 5771, 10505
250.00, 155.14, 100, 100, 16276, 5771, 10505
250.00, 159.47, 100, 100, 16276, 5771, 10505
250.00, 159.47, 100, 100, 16276, 5771, 10505
250.00, 166.30, 100, 100, 16276, 5771, 10505
250.00, 170.71, 100, 100, 16276, 5771, 10505
250.00, 170.71, 100, 100, 16276, 5771, 10505
250.00, 173.32, 100, 100, 16276, 5771, 10505
250.00, 168.26, 100, 100, 16276, 5771, 10505
250.00, 168.26, 100, 100, 16276, 5771, 10505
250.00, 164.61, 100, 100, 16276, 5771, 10505
250.00, 163.63, 100, 100, 16276, 5771, 10505
