power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 98.69, 89, 5, 12205, 3536, 8669
250.00, 98.60, 89, 5, 12205, 3539, 8666
250.00, 98.60, 57, 3, 12205, 3541, 8664
250.00, 98.60, 57, 3, 12205, 3544, 8661
250.00, 98.60, 57, 3, 12205, 3546, 8659
250.00, 98.60, 57, 3, 12205, 3549, 8656
250.00, 98.60, 57, 3, 12205, 3591, 8614
250.00, 98.60, 57, 3, 12205, 3591, 8614
250.00, 98.60, 57, 3, 12205, 3591, 8614
250.00, 147.50, 57, 3, 12205, 3591, 8614
250.00, 147.50, 57, 3, 12205, 3591, 8614
250.00, 147.50, 57, 3, 12205, 3591, 8614
250.00, 147.50, 57, 3, 12205, 3591, 8614
250.00, 147.50, 57, 3, 12205, 3591, 8614
250.00, 147.50, 57, 3, 12205, 3591, 8614
250.00, 147.50, 57, 3, 12205, 3591, 8614
250.00, 147.50, 76, 33, 12205, 3591, 8614
250.00, 147.50, 76, 33, 12205, 3591, 8614
250.00, 209.32, 76, 33, 12205, 3591, 8614
250.00, 209.32, 76, 33, 12205, 3591, 8614
250.00, 209.32, 76, 33, 12205, 3591, 8614
250.00, 209.32, 76, 33, 12205, 3591, 8614
250.00, 209.32, 76, 33, 12205, 3591, 8614
250.00, 209.32, 76, 33, 12205, 3591, 8614
250.00, 209.32, 76, 33, 12205, 3591, 8614
250.00, 209.32, 76, 33, 12205, 3591, 8614
250.00, 209.32, 76, 33, 12205, 3591, 8614
250.00, 231.33, 76, 33, 12205, 3591, 8614
250.00, 231.33, 76, 33, 12205, 3591, 8614
250.00, 231.33, 76, 33, 12205, 3591, 8614
250.00, 231.33, 76, 33, 12205, 3591, 8614
250.00, 231.33, 100, 45, 12205, 3591, 8614
250.00, 231.33, 100, 45, 12205, 3591, 8614
250.00, 231.33, 100, 45, 12205, 3591, 8614
250.00, 231.33, 100, 45, 12205, 3591, 8614
250.00, 231.33, 100, 45, 12205, 3591, 8614
250.00, 240.46, 100, 45, 12205, 3591, 8614
250.00, 240.46, 100, 45, 12205, 3591, 8614
250.00, 240.46, 100, 45, 12205, 3591, 8614
250.00, 240.46, 100, 45, 12205, 3591, 8614
250.00, 240.46, 100, 45, 12205, 3591, 8614
250.00, 240.46, 100, 45, 12205, 3591, 8614
250.00, 240.46, 100, 45, 12205, 3591, 8614
250.00, 240.46, 100, 45, 12205, 3591, 8614
250.00, 242.31, 100, 44, 12205, 3591, 8614
250.00, 242.31, 100, 44, 12205, 3591, 8614
250.00, 242.31, 100, 44, 12205, 3591, 8614
250.00, 242.31, 100, 44, 12205, 3591, 8614
250.00, 242.31, 100, 44, 12205, 3591, 8614
250.00, 242.31, 100, 44, 12205, 3591, 8614
250.00, 242.31, 100, 44, 12205, 3591, 8614
250.00, 242.31, 100, 44, 12205, 3591, 8614
250.00, 242.31, 100, 44, 12205, 3591, 8614
250.00, 241.69, 100, 44, 12205, 3591, 8614
250.00, 241.69, 100, 44, 12205, 3591, 8614
250.00, 241.69, 100, 44, 12205, 3591, 8614
250.00, 241.69, 100, 44, 12205, 3591, 8614
250.00, 241.69, 100, 44, 12205, 3591, 8614
250.00, 241.69, 100, 44, 12205, 3591, 8614
250.00, 241.69, 100, 44, 12205, 3591, 8614
250.00, 241.69, 100, 45, 12205, 3591, 8614
250.00, 241.69, 100, 45, 12205, 3591, 8614
250.00, 240.89, 100, 45, 12205, 3591, 8614
250.00, 240.89, 100, 45, 12205, 3591, 8614
250.00, 240.89, 100, 45, 12205, 3591, 8614
250.00, 240.89, 100, 45, 12205, 3591, 8614
250.00, 240.89, 100, 45, 12205, 3591, 8614
250.00, 240.89, 100, 45, 12205, 3591, 8614
250.00, 240.89, 100, 45, 12205, 3591, 8614
250.00, 240.89, 100, 45, 12205, 3591, 8614
250.00, 240.89, 100, 45, 12205, 3591, 8614
250.00, 239.44, 100, 45, 12205, 3591, 8614
250.00, 239.44, 100, 45, 12205, 3591, 8614
250.00, 239.44, 100, 45, 12205, 3591, 8614
250.00, 239.44, 100, 45, 12205, 3591, 8614
250.00, 239.44, 100, 45, 12205, 3591, 8614
250.00, 239.44, 100, 45, 12205, 3591, 8614
250.00, 239.44, 100, 45, 12205, 3591, 8614
250.00, 239.44, 100, 45, 12205, 3591, 8614
250.00, 239.44, 100, 45, 12205, 3591, 8614
250.00, 240.11, 100, 45, 12205, 3591, 8614
250.00, 240.11, 100, 45, 12205, 3591, 8614
250.00, 240.11, 100, 45, 12205, 3591, 8614
250.00, 240.11, 100, 45, 12205, 3591, 8614
250.00, 240.11, 100, 45, 12205, 3591, 8614
250.00, 240.11, 100, 45, 12205, 3591, 8614
250.00, 240.11, 100, 45, 12205, 3591, 8614
250.00, 240.11, 100, 45, 12205, 3591, 8614
250.00, 239.72, 100, 45, 12205, 3591, 8614
250.00, 239.72, 100, 45, 12205, 3591, 8614
250.00, 239.72, 100, 45, 12205, 3591, 8614
250.00, 239.72, 100, 45, 12205, 3591, 8614
250.00, 239.72, 100, 45, 12205, 3591, 8614
250.00, 239.72, 100, 45, 12205, 3591, 8614
250.00, 239.72, 100, 45, 12205, 3591, 8614
250.00, 239.72, 100, 45, 12205, 3591, 8614
250.00, 239.72, 100, 45, 12205, 3591, 8614
250.00, 242.02, 100, 45, 12205, 3591, 8614
250.00, 242.02, 100, 45, 12205, 3591, 8614
