power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
149.00, 64.76, 93, 5, 12205, 3391, 8814
149.00, 64.76, 93, 5, 12205, 3392, 8813
149.00, 64.76, 93, 5, 12205, 3393, 8812
149.00, 64.76, 93, 5, 12205, 3395, 8810
149.00, 64.38, 46, 2, 12205, 3396, 8809
149.00, 64.38, 46, 2, 12205, 3397, 8808
149.00, 64.38, 46, 2, 12205, 3399, 8806
149.00, 64.38, 46, 2, 12205, 3401, 8804
149.00, 64.38, 46, 2, 12205, 3402, 8803
149.00, 64.38, 46, 2, 12205, 3403, 8802
149.00, 64.38, 46, 2, 12205, 3405, 8800
149.00, 64.38, 46, 2, 12205, 3448, 8757
149.00, 64.38, 46, 2, 12205, 3448, 8757
149.00, 76.54, 46, 2, 12205, 3448, 8757
149.00, 76.54, 46, 2, 12205, 3448, 8757
149.00, 76.54, 46, 2, 12205, 3448, 8757
149.00, 76.54, 46, 2, 12205, 3448, 8757
149.00, 76.54, 46, 2, 12205, 3448, 8757
149.00, 76.54, 46, 2, 12205, 3448, 8757
149.00, 76.54, 57, 14, 12205, 3448, 8757
149.00, 76.54, 57, 14, 12205, 3448, 8757
149.00, 76.54, 57, 14, 12205, 3448, 8757
149.00, 104.59, 57, 14, 12205, 3448, 8757
149.00, 104.59, 57, 14, 12205, 3448, 8757
149.00, 104.59, 57, 14, 12205, 3448, 8757
149.00, 104.59, 57, 14, 12205, 3448, 8757
149.00, 104.59, 57, 14, 12205, 3448, 8757
149.00, 104.59, 57, 14, 12205, 3448, 8757
149.00, 104.59, 57, 14, 12205, 3448, 8757
149.00, 104.59, 57, 14, 12205, 3448, 8757
149.00, 104.59, 57, 14, 12205, 3448, 8757
149.00, 115.80, 57, 14, 12205, 3448, 8757
149.00, 115.80, 57, 14, 12205, 3448, 8757
149.00, 115.80, 57, 14, 12205, 3448, 8757
149.00, 115.80, 100, 29, 12205, 3448, 8757
149.00, 115.80, 100, 29, 12205, 3448, 8757
149.00, 115.80, 100, 29, 12205, 3448, 8757
149.00, 115.80, 100, 29, 12205, 3448, 8757
149.00, 115.80, 100, 29, 12205, 3448, 8757
149.00, 115.80, 100, 29, 12205, 3448, 8757
149.00, 128.27, 100, 29, 12205, 3448, 8757
149.00, 128.27, 100, 29, 12205, 3448, 8757
149.00, 128.27, 100, 29, 12205, 3448, 8757
149.00, 128.27, 100, 29, 12205, 3448, 8757
149.00, 128.27, 100, 29, 12205, 3448, 8757
149.00, 128.27, 100, 29, 12205, 3448, 8757
149.00, 128.27, 100, 29, 12205, 3448, 8757
149.00, 128.27, 100, 29, 12205, 3448, 8757
149.00, 128.27, 100, 29, 12205, 3448, 8757
149.00, 135.09, 100, 29, 12205, 3448, 8757
149.00, 135.09, 100, 29, 12205, 3448, 8757
149.00, 135.09, 100, 29, 12205, 3448, 8757
149.00, 135.09, 100, 29, 12205, 3448, 8757
149.00, 135.09, 100, 29, 12205, 3448, 8757
149.00, 135.09, 100, 29, 12205, 3448, 8757
149.00, 135.09, 100, 29, 12205, 3448, 8757
149.00, 135.09, 100, 29, 12205, 3448, 8757
149.00, 135.09, 100, 29, 12205, 3448, 8757
149.00, 140.38, 100, 29, 12205, 3448, 8757
149.00, 140.38, 100, 29, 12205, 3448, 8757
149.00, 140.38, 100, 29, 12205, 3448, 8757
149.00, 140.38, 100, 29, 12205, 3448, 8757
149.00, 140.38, 100, 29, 12205, 3448, 8757
149.00, 140.38, 100, 29, 12205, 3448, 8757
149.00, 140.38, 100, 31, 12205, 3448, 8757
149.00, 140.38, 100, 31, 12205, 3448, 8757
149.00, 143.63, 100, 31, 12205, 3448, 8757
149.00, 143.63, 100, 31, 12205, 3448, 8757
149.00, 143.63, 100, 31, 12205, 3448, 8757
149.00, 143.63, 100, 31, 12205, 3448, 8757
149.00, 143.63, 100, 31, 12205, 3448, 8757
149.00, 143.63, 100, 31, 12205, 3448, 8757
149.00, 143.63, 100, 31, 12205, 3448, 8757
149.00, 143.63, 100, 31, 12205, 3448, 8757
149.00, 143.63, 100, 31, 12205, 3448, 8757
149.00, 144.46, 100, 31, 12205, 3448, 8757
149.00, 144.46, 100, 31, 12205, 3448, 8757
149.00, 144.46, 100, 31, 12205, 3448, 8757
149.00, 144.46, 100, 30, 12205, 3448, 8757
149.00, 144.46, 100, 30, 12205, 3448, 8757
149.00, 144.46, 100, 30, 12205, 3448, 8757
149.00, 144.46, 100, 30, 12205, 3448, 8757
149.00, 144.46, 100, 30, 12205, 3448, 8757
149.00, 144.46, 100, 30, 12205, 3448, 8757
149.00, 145.36, 100, 30, 12205, 3448, 8757
149.00, 145.36, 100, 30, 12205, 3448, 8757
149.00, 145.36, 100, 30, 12205, 3448, 8757
149.00, 145.36, 100, 30, 12205, 3448, 8757
149.00, 145.36, 100, 30, 12205, 3448, 8757
149.00, 145.36, 100, 30, 12205, 3448, 8757
149.00, 145.36, 100, 30, 12205, 3448, 8757
149.00, 145.36, 100, 30, 12205, 3448, 8757
149.00, 145.36, 100, 30, 12205, 3448, 8757
149.00, 144.88, 100, 31, 12205, 3448, 8757
149.00, 144.88, 100, 31, 12205, 3448, 8757
149.00, 144.88, 100, 31, 12205, 3448, 8757
149.00, 144.88, 100, 31, 12205, 3448, 8757
149.00, 144.88, 100, 31, 12205, 3448, 8757
149.00, 144.88, 100, 31, 12205, 3448, 8757
149.00, 144.88, 100, 31, 12205, 3448, 8757
149.00, 144.88, 100, 31, 12205, 3448, 8757
149.00, 144.88, 100, 31, 12205, 3448, 8757
149.00, 145.23, 100, 31, 12205, 3448, 8757
149.00, 145.23, 100, 31, 12205, 3448, 8757
149.00, 145.23, 100, 31, 12205, 3448, 8757
149.00, 145.23, 100, 31, 12205, 3448, 8757
149.00, 145.23, 100, 31, 12205, 3448, 8757
149.00, 145.23, 100, 31, 12205, 3448, 8757
149.00, 145.23, 100, 31, 12205, 3448, 8757
149.00, 145.23, 100, 31, 12205, 3448, 8757
149.00, 145.23, 100, 31, 12205, 3448, 8757
149.00, 145.02, 100, 31, 12205, 3448, 8757
149.00, 145.02, 100, 31, 12205, 3448, 8757
149.00, 145.02, 100, 31, 12205, 3448, 8757
149.00, 145.02, 100, 31, 12205, 3448, 8757
149.00, 145.02, 100, 31, 12205, 3448, 8757
149.00, 145.02, 100, 31, 12205, 3448, 8757
149.00, 145.02, 100, 31, 12205, 3448, 8757
149.00, 145.02, 100, 31, 12205, 3448, 8757
149.00, 145.02, 100, 31, 12205, 3448, 8757
149.00, 144.88, 100, 31, 12205, 3448, 8757
149.00, 144.88, 100, 31, 12205, 3448, 8757
149.00, 144.88, 100, 31, 12205, 3448, 8757
149.00, 144.88, 100, 32, 12205, 3448, 8757
149.00, 144.88, 100, 32, 12205, 3448, 8757
149.00, 144.88, 100, 32, 12205, 3448, 8757
149.00, 144.88, 100, 32, 12205, 3448, 8757
149.00, 144.88, 100, 32, 12205, 3448, 8757
149.00, 144.88, 100, 32, 12205, 3448, 8757
149.00, 144.97, 100, 32, 12205, 3448, 8757
149.00, 144.97, 100, 32, 12205, 3448, 8757
149.00, 144.97, 100, 32, 12205, 3448, 8757
149.00, 144.97, 100, 32, 12205, 3448, 8757
149.00, 144.97, 100, 32, 12205, 3448, 8757
149.00, 144.97, 100, 32, 12205, 3448, 8757
149.00, 144.97, 100, 32, 12205, 3448, 8757
149.00, 144.97, 100, 32, 12205, 3448, 8757
149.00, 143.93, 100, 32, 12205, 3448, 8757
149.00, 143.93, 100, 31, 12205, 3448, 8757
149.00, 143.93, 100, 31, 12205, 3448, 8757
149.00, 143.93, 100, 31, 12205, 3448, 8757
149.00, 143.93, 100, 31, 12205, 3448, 8757
149.00, 143.93, 100, 31, 12205, 3448, 8757
149.00, 143.93, 100, 31, 12205, 3448, 8757
149.00, 143.93, 100, 31, 12205, 3448, 8757
149.00, 143.93, 100, 31, 12205, 3448, 8757
149.00, 144.53, 100, 31, 12205, 3448, 8757
149.00, 144.53, 100, 31, 12205, 3448, 8757
149.00, 144.53, 100, 31, 12205, 3448, 8757
149.00, 144.53, 100, 31, 12205, 3448, 8757
149.00, 144.53, 100, 31, 12205, 3448, 8757
149.00, 144.53, 100, 31, 12205, 3448, 8757
149.00, 144.53, 100, 31, 12205, 3448, 8757
149.00, 144.53, 100, 31, 12205, 3448, 8757
149.00, 144.53, 100, 31, 12205, 3448, 8757
149.00, 143.54, 100, 31, 12205, 3448, 8757
149.00, 143.54, 100, 31, 12205, 3448, 8757
149.00, 143.54, 100, 31, 12205, 3448, 8757
149.00, 143.54, 100, 31, 12205, 3448, 8757
149.00, 143.54, 100, 31, 12205, 3448, 8757
149.00, 143.54, 100, 31, 12205, 3448, 8757
149.00, 143.54, 100, 31, 12205, 3448, 8757
149.00, 143.54, 100, 31, 12205, 3448, 8757
149.00, 143.54, 100, 31, 12205, 3448, 8757
149.00, 144.98, 100, 31, 12205, 3448, 8757
149.00, 144.98, 100, 31, 12205, 3448, 8757
149.00, 144.98, 100, 31, 12205, 3448, 8757
149.00, 144.98, 100, 31, 12205, 3448, 8757
149.00, 144.98, 100, 31, 12205, 3448, 8757
149.00, 144.98, 100, 31, 12205, 3448, 8757
149.00, 144.98, 100, 31, 12205, 3448, 8757
149.00, 144.98, 100, 31, 12205, 3448, 8757
149.00, 144.98, 100, 31, 12205, 3448, 8757
149.00, 142.79, 100, 31, 12205, 3448, 8757
149.00, 142.79, 100, 31, 12205, 3448, 8757
149.00, 142.79, 100, 31, 12205, 3448, 8757
149.00, 142.79, 100, 31, 12205, 3448, 8757
149.00, 142.79, 100, 31, 12205, 3448, 8757
149.00, 142.79, 100, 31, 12205, 3448, 8757
149.00, 142.79, 100, 31, 12205, 3448, 8757
149.00, 142.79, 100, 31, 12205, 3448, 8757
149.00, 142.79, 100, 31, 12205, 3448, 8757
149.00, 144.54, 100, 32, 12205, 3448, 8757
149.00, 144.54, 100, 32, 12205, 3448, 8757
149.00, 144.54, 100, 32, 12205, 3448, 8757
149.00, 144.54, 100, 32, 12205, 3448, 8757
149.00, 144.54, 100, 32, 12205, 3448, 8757
149.00, 144.54, 100, 32, 12205, 3448, 8757
149.00, 144.54, 100, 32, 12205, 3448, 8757
149.00, 144.54, 100, 32, 12205, 3448, 8757
149.00, 144.54, 100, 32, 12205, 3448, 8757
149.00, 143.45, 100, 32, 12205, 3448, 8757
149.00, 143.45, 100, 32, 12205, 3448, 8757
149.00, 143.45, 100, 32, 12205, 3448, 8757
149.00, 143.45, 100, 32, 12205, 3448, 8757
149.00, 143.45, 100, 32, 12205, 3448, 8757
149.00, 143.45, 100, 32, 12205, 3448, 8757
149.00, 143.45, 100, 32, 12205, 3448, 8757
149.00, 143.45, 100, 32, 12205, 3448, 8757
149.00, 143.45, 100, 32, 12205, 3448, 8757
149.00, 145.97, 100, 32, 12205, 3448, 8757
149.00, 145.97, 100, 32, 12205, 3448, 8757
149.00, 145.97, 100, 32, 12205, 3448, 8757
149.00, 145.97, 100, 32, 12205, 3448, 8757
149.00, 145.97, 100, 32, 12205, 3448, 8757
149.00, 145.97, 100, 32, 12205, 3448, 8757
149.00, 145.97, 100, 32, 12205, 3448, 8757
149.00, 145.97, 100, 32, 12205, 3448, 8757
149.00, 145.97, 100, 32, 12205, 3448, 8757
149.00, 146.87, 100, 32, 12205, 3448, 8757
149.00, 146.87, 100, 32, 12205, 3448, 8757
149.00, 146.87, 100, 32, 12205, 3448, 8757
149.00, 146.87, 100, 32, 12205, 3448, 8757
149.00, 146.87, 100, 32, 12205, 3448, 8757
