power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
149.00, 63.34, 86, 5, 12205, 3203, 9002
149.00, 63.34, 86, 5, 12205, 3204, 9001
149.00, 63.34, 86, 5, 12205, 3205, 9000
149.00, 63.34, 86, 5, 12205, 3207, 8998
149.00, 63.34, 42, 2, 12205, 3208, 8997
149.00, 63.34, 42, 2, 12205, 3210, 8995
149.00, 63.34, 42, 2, 12205, 3211, 8994
149.00, 63.34, 42, 2, 12205, 3213, 8992
149.00, 63.34, 42, 2, 12205, 3214, 8991
149.00, 62.99, 42, 2, 12205, 3215, 8990
149.00, 62.99, 42, 2, 12205, 3217, 8988
149.00, 62.99, 42, 2, 12205, 3220, 8985
149.00, 62.99, 42, 2, 12205, 3228, 8977
149.00, 62.99, 42, 2, 12205, 3230, 8975
149.00, 62.99, 42, 2, 12205, 3230, 8975
149.00, 62.99, 42, 2, 12205, 3230, 8975
149.00, 62.99, 42, 2, 12205, 3230, 8975
149.00, 62.99, 42, 2, 12205, 3230, 8975
149.00, 87.59, 42, 2, 12205, 3230, 8975
149.00, 87.59, 54, 14, 12205, 3230, 8975
149.00, 87.59, 54, 14, 12205, 3230, 8975
149.00, 87.59, 54, 14, 12205, 3230, 8975
149.00, 87.59, 54, 14, 12205, 3230, 8975
149.00, 87.59, 54, 14, 12205, 3230, 8975
149.00, 87.59, 54, 14, 12205, 3230, 8975
149.00, 87.59, 54, 14, 12205, 3230, 8975
149.00, 87.59, 54, 14, 12205, 3230, 8975
149.00, 102.13, 54, 14, 12205, 3230, 8975
149.00, 102.13, 54, 14, 12205, 3230, 8975
149.00, 102.13, 54, 14, 12205, 3230, 8975
149.00, 102.13, 54, 14, 12205, 3230, 8975
149.00, 102.13, 54, 14, 12205, 3230, 8975
149.00, 102.13, 54, 14, 12205, 3230, 8975
149.00, 102.13, 54, 14, 12205, 3230, 8975
149.00, 102.13, 100, 32, 12205, 3230, 8975
149.00, 102.13, 100, 32, 12205, 3230, 8975
149.00, 111.12, 100, 32, 12205, 3230, 8975
149.00, 111.12, 100, 32, 12205, 3230, 8975
149.00, 111.12, 100, 32, 12205, 3230, 8975
149.00, 111.12, 100, 32, 12205, 3230, 8975
149.00, 111.12, 100, 32, 12205, 3230, 8975
149.00, 111.12, 100, 32, 12205, 3230, 8975
149.00, 111.12, 100, 32, 12205, 3230, 8975
149.00, 111.12, 100, 32, 12205, 3230, 8975
149.00, 111.12, 100, 32, 12205, 3230, 8975
149.00, 120.27, 100, 32, 12205, 3230, 8975
149.00, 120.27, 100, 32, 12205, 3230, 8975
149.00, 120.27, 100, 32, 12205, 3230, 8975
149.00, 120.27, 100, 32, 12205, 3230, 8975
149.00, 120.27, 100, 34, 12205, 3230, 8975
149.00, 120.27, 100, 34, 12205, 3230, 8975
149.00, 120.27, 100, 34, 12205, 3230, 8975
149.00, 120.27, 100, 34, 12205, 3230, 8975
149.00, 120.27, 100, 34, 12205, 3230, 8975
149.00, 127.67, 100, 34, 12205, 3230, 8975
149.00, 127.67, 100, 34, 12205, 3230, 8975
149.00, 127.67, 100, 34, 12205, 3230, 8975
149.00, 127.67, 100, 34, 12205, 3230, 8975
149.00, 127.67, 100, 34, 12205, 3230, 8975
149.00, 127.67, 100, 34, 12205, 3230, 8975
149.00, 127.67, 100, 34, 12205, 3230, 8975
149.00, 127.67, 100, 34, 12205, 3230, 8975
149.00, 127.67, 100, 34, 12205, 3230, 8975
149.00, 130.77, 100, 34, 12205, 3230, 8975
149.00, 130.77, 100, 33, 12205, 3230, 8975
149.00, 130.77, 100, 33, 12205, 3230, 8975
149.00, 130.77, 100, 33, 12205, 3230, 8975
149.00, 130.77, 100, 33, 12205, 3230, 8975
149.00, 130.77, 100, 33, 12205, 3230, 8975
149.00, 130.77, 100, 33, 12205, 3230, 8975
149.00, 130.77, 100, 33, 12205, 3230, 8975
149.00, 130.77, 100, 33, 12205, 3230, 8975
149.00, 132.30, 100, 33, 12205, 3230, 8975
149.00, 132.30, 100, 33, 12205, 3230, 8975
149.00, 132.30, 100, 33, 12205, 3230, 8975
