power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 87.14, 88, 5, 12205, 3411, 8794
250.00, 87.14, 88, 5, 12205, 3413, 8792
250.00, 87.14, 59, 3, 12205, 3416, 8789
250.00, 87.14, 59, 3, 12205, 3417, 8788
250.00, 87.14, 59, 3, 12205, 3421, 8784
250.00, 87.14, 59, 3, 12205, 3423, 8782
250.00, 87.14, 59, 3, 12205, 3447, 8758
250.00, 87.14, 59, 3, 12205, 3447, 8758
250.00, 87.14, 59, 3, 12205, 3447, 8758
250.00, 139.05, 59, 3, 12205, 3447, 8758
250.00, 139.05, 59, 3, 12205, 3447, 8758
250.00, 139.05, 59, 3, 12205, 3447, 8758
250.00, 139.05, 59, 3, 12205, 3447, 8758
250.00, 139.05, 59, 3, 12205, 3447, 8758
250.00, 139.05, 59, 3, 12205, 3447, 8758
250.00, 139.05, 59, 3, 12205, 3447, 8758
250.00, 139.05, 74, 53, 12205, 3447, 8758
250.00, 139.05, 74, 53, 12205, 3447, 8758
250.00, 209.30, 74, 53, 12205, 3447, 8758
250.00, 209.30, 74, 53, 12205, 3447, 8758
250.00, 209.30, 74, 53, 12205, 3447, 8758
250.00, 209.30, 74, 53, 12205, 3447, 8758
250.00, 209.30, 74, 53, 12205, 3447, 8758
250.00, 209.30, 74, 53, 12205, 3447, 8758
250.00, 209.30, 74, 53, 12205, 3447, 8758
250.00, 209.30, 74, 53, 12205, 3447, 8758
250.00, 234.15, 74, 53, 12205, 3447, 8758
250.00, 234.15, 74, 53, 12205, 3447, 8758
250.00, 234.15, 74, 53, 12205, 3447, 8758
