***wlm_bigLSTM_iter_test Benchmarking***
Usage ./run_gpu_wlm_bigLSTM_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_wlm_bigLSTM_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iterations time in ms)****	
1 296.0832118988 ms	
2 396.07501029968 ms	
3 391.85905456543 ms	
4 391.81113243103 ms	
5 391.73102378845 ms	
6 391.82305335999 ms	
7 391.86787605286 ms	
8 391.8731212616 ms	
9 391.78395271301 ms	
10 391.93201065063 ms	
11 391.82686805725 ms	
12 391.92605018616 ms	
13 391.83688163757 ms	
14 391.88718795776 ms	
15 391.85404777527 ms	
16 391.8890953064 ms	
17 391.87598228455 ms	
18 391.90316200256 ms	
19 391.92581176758 ms	
20 391.86811447144 ms	
21 391.82114601135 ms	
22 391.83712005615 ms	
23 391.89386367798 ms	
24 391.93105697632 ms	
25 391.87002182007 ms	
26 391.84403419495 ms	
27 392.02094078064 ms	
28 391.85094833374 ms	
29 391.86811447144 ms	
30 391.88003540039 ms	
31 391.83497428894 ms	
32 391.95108413696 ms	
33 391.87097549438 ms	
34 391.9050693512 ms	
35 391.9370174408 ms	
36 391.90912246704 ms	
37 391.88694953918 ms	
38 391.88313484192 ms	
39 391.89100265503 ms	
40 391.84808731079 ms	
41 391.94798469543 ms	
42 391.91102981567 ms	
43 391.92390441895 ms	
44 391.96515083313 ms	
45 391.77393913269 ms	
46 391.89195632935 ms	
47 391.93987846375 ms	
48 391.99304580688 ms	
49 391.75295829773 ms	
50 391.94703102112 ms	
51 391.95799827576 ms	
52 391.87002182007 ms	
53 391.89004898071 ms	
54 391.7989730835 ms	
55 391.92390441895 ms	
56 391.93296432495 ms	
57 391.90411567688 ms	
58 391.88408851624 ms	
59 391.77989959717 ms	
60 391.93606376648 ms	
61 391.81995391846 ms	
62 391.94393157959 ms	
63 391.96109771729 ms	
64 391.92318916321 ms	
65 391.90006256104 ms	
66 391.97897911072 ms	
67 391.97087287903 ms	
68 391.86596870422 ms	
69 391.97206497192 ms	
70 391.92199707031 ms	
71 391.94297790527 ms	
72 391.96586608887 ms	
73 391.94989204407 ms	
74 391.94893836975 ms	
75 391.97301864624 ms	
76 391.95418357849 ms	
77 391.92295074463 ms	
78 391.84904098511 ms	
79 391.91293716431 ms	
80 392.02094078064 ms	
81 391.88694953918 ms	
82 391.95609092712 ms	
83 391.87812805176 ms	
84 391.90196990967 ms	
85 391.91699028015 ms	
86 391.95489883423 ms	
87 391.7989730835 ms	
88 391.92414283752 ms	
89 391.95489883423 ms	
90 391.81590080261 ms	
91 391.86191558838 ms	
