***wlm_bigLSTM_iter_test Benchmarking***
Usage ./run_gpu_wlm_bigLSTM_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_wlm_bigLSTM_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iterations time in ms)****	
1 440.20700454712 ms	
2 153.67293357849 ms	
3 156.00490570068 ms	
4 154.86097335815 ms	
5 154.83498573303 ms	
6 154.80518341064 ms	
7 153.63097190857 ms	
8 152.53496170044 ms	
9 152.52304077148 ms	
10 153.12886238098 ms	
11 152.59695053101 ms	
12 152.77218818665 ms	
13 153.22208404541 ms	
14 153.14197540283 ms	
15 152.83608436584 ms	
16 152.73380279541 ms	
17 152.88686752319 ms	
18 153.06615829468 ms	
19 153.05995941162 ms	
20 152.97698974609 ms	
21 152.99296379089 ms	
22 152.52184867859 ms	
23 153.60713005066 ms	
24 152.89807319641 ms	
25 153.10788154602 ms	
26 152.4920463562 ms	
27 152.46605873108 ms	
28 152.74810791016 ms	
29 152.85396575928 ms	
30 152.94313430786 ms	
31 153.00512313843 ms	
32 152.48513221741 ms	
33 152.93288230896 ms	
34 152.99391746521 ms	
35 152.53591537476 ms	
36 153.4378528595 ms	
37 152.96697616577 ms	
38 152.92692184448 ms	
39 152.59003639221 ms	
40 153.21278572083 ms	
41 153.18083763123 ms	
42 152.69112586975 ms	
43 152.87685394287 ms	
44 152.77910232544 ms	
45 153.95402908325 ms	
46 152.69708633423 ms	
47 152.47893333435 ms	
48 153.00178527832 ms	
49 153.16009521484 ms	
50 153.15699577332 ms	
51 153.32508087158 ms	
52 152.8160572052 ms	
53 153.11002731323 ms	
54 153.23400497437 ms	
55 153.08690071106 ms	
56 153.2838344574 ms	
57 153.37991714478 ms	
58 152.79698371887 ms	
59 153.17893028259 ms	
60 153.37705612183 ms	
61 152.75096893311 ms	
62 153.2199382782 ms	
63 153.38611602783 ms	
64 152.87113189697 ms	
65 152.78005599976 ms	
66 152.95696258545 ms	
67 153.43594551086 ms	
68 152.95886993408 ms	
69 153.22995185852 ms	
70 153.09691429138 ms	
71 153.21016311646 ms	
72 153.17702293396 ms	
73 153.4948348999 ms	
74 153.30410003662 ms	
75 153.28884124756 ms	
76 152.94599533081 ms	
77 152.94194221497 ms	
78 153.04803848267 ms	
79 152.79293060303 ms	
80 153.27215194702 ms	
81 153.22399139404 ms	
82 153.23495864868 ms	
83 152.88019180298 ms	
84 153.04088592529 ms	
85 152.80508995056 ms	
86 152.93908119202 ms	
87 154.03413772583 ms	
88 153.25689315796 ms	
89 152.54402160645 ms	
90 152.99105644226 ms	
91 153.14316749573 ms	
92 152.81987190247 ms	
93 153.12194824219 ms	
94 153.38706970215 ms	
95 153.14888954163 ms	
96 153.16390991211 ms	
97 152.97889709473 ms	
98 153.33104133606 ms	
99 152.96292304993 ms	
100 153.14483642578 ms	
101 153.00488471985 ms	
102 152.84991264343 ms	
103 153.28192710876 ms	
104 153.4481048584 ms	
105 153.39708328247 ms	
106 152.82392501831 ms	
107 153.71298789978 ms	
108 153.37800979614 ms	
109 153.09691429138 ms	
110 153.96499633789 ms	
111 153.03611755371 ms	
112 153.70988845825 ms	
113 153.36203575134 ms	
114 153.18512916565 ms	
115 153.94902229309 ms	
116 153.74398231506 ms	
117 153.68914604187 ms	
118 153.11813354492 ms	
119 153.94902229309 ms	
120 153.39493751526 ms	
121 153.22589874268 ms	
122 152.91810035706 ms	
123 153.22589874268 ms	
124 152.95600891113 ms	
125 153.57899665833 ms	
126 153.5530090332 ms	
127 152.9438495636 ms	
128 152.75716781616 ms	
129 152.64487266541 ms	
130 153.35607528687 ms	
131 153.70392799377 ms	
132 153.23400497437 ms	
133 153.50103378296 ms	
134 153.47409248352 ms	
135 153.00512313843 ms	
136 153.52392196655 ms	
137 153.54609489441 ms	
138 153.6271572113 ms	
139 153.35988998413 ms	
140 153.69987487793 ms	
141 153.05304527283 ms	
142 153.14197540283 ms	
143 154.01697158813 ms	
144 153.13386917114 ms	
145 152.91094779968 ms	
146 153.35416793823 ms	
147 153.43689918518 ms	
148 153.41305732727 ms	
149 152.72212028503 ms	
150 152.68898010254 ms	
**batch size 16**
****GPU Data (iterations time in ms)****	
1 401.71504020691 ms	
2 559.5920085907 ms	
3 560.04905700684 ms	
4 558.78496170044 ms	
5 558.66599082947 ms	
6 558.07614326477 ms	
7 558.64000320435 ms	
8 559.7460269928 ms	
9 559.40294265747 ms	
10 558.65907669067 ms	
11 558.83002281189 ms	
12 558.94207954407 ms	
13 560.55998802185 ms	
14 559.54480171204 ms	
15 560.54401397705 ms	
16 559.49187278748 ms	
17 559.86905097961 ms	
18 559.78798866272 ms	
19 559.22603607178 ms	
20 559.13090705872 ms	
21 559.3478679657 ms	
22 558.80093574524 ms	
23 560.15491485596 ms	
24 559.71503257751 ms	
25 560.27793884277 ms	
26 560.29105186462 ms	
27 559.78918075562 ms	
